pair_id,task,intervention,safe_horizon
brightness_first_00,brightness,visual,32
brightness_first_00,brightness,full,16
brightness_first_01,brightness,visual,32
brightness_first_01,brightness,full,32
brightness_first_02,brightness,visual,32
brightness_first_02,brightness,full,32
brightness_first_03,brightness,visual,32
brightness_first_03,brightness,full,32
brightness_first_04,brightness,visual,32
brightness_first_04,brightness,full,32
brightness_first_05,brightness,visual,32
brightness_first_05,brightness,full,16
brightness_second_02,brightness,visual,32
brightness_second_02,brightness,full,16
identity_different_00,identity,visual,32
identity_different_00,identity,full,32
identity_different_01,identity,visual,32
identity_different_01,identity,full,32
identity_different_02,identity,visual,32
identity_different_02,identity,full,32
identity_different_03,identity,visual,32
identity_different_03,identity,full,32
identity_different_04,identity,visual,32
identity_different_04,identity,full,32
identity_different_05,identity,visual,32
identity_different_05,identity,full,32
identity_same_00,identity,visual,16
identity_same_00,identity,full,16
identity_same_02,identity,visual,16
identity_same_02,identity,full,4
identity_same_03,identity,visual,8
identity_same_03,identity,full,8
identity_same_04,identity,visual,16
identity_same_04,identity,full,16
identity_same_05,identity,visual,8
identity_same_05,identity,full,8
