layer,intra_image_visual_to_visual,cross_image_visual_to_visual,question_to_visual
0,0.23160023032687604,0.18154914723709226,0.17624513246119022
1,0.2096240776591003,0.08883837284520268,0.0650419497396797
2,0.2353228908032179,0.16279429523274302,0.049507523770444095
3,0.215584269259125,0.08310117409564555,0.025319794833194464
4,0.15575180714949965,0.04266260261647403,0.015275031153578311
5,0.19399884762242436,0.04743884154595435,0.023129957087803632
6,0.19735329505056143,0.07338650291785598,0.04628002503886819
7,0.20538333943113685,0.04106067132670432,0.032665092032402754
8,0.18687785463407636,0.07918155507650226,0.02261482086032629
9,0.35699908528476954,0.07695551833603531,0.02454941876931116
10,0.28213582606986165,0.16225046361796558,0.02411347095039673
11,0.3278499720618129,0.11828697775490582,0.02388051012530923
12,0.3277599182911217,0.072126699029468,0.017420738528016955
13,0.2610668623819947,0.08495255245361477,0.019942483864724636
14,0.2696240274235606,0.08606511319521815,0.04267180082388222
15,0.314388167578727,0.07879164326004684,0.03715175046818331
16,0.34565933980047703,0.05813515943009406,0.036646603140980005
17,0.3016489162109792,0.09435057209338993,0.020118478743825108
18,0.32681886572390795,0.10633085400331765,0.032264861394651234
19,0.3560174033045769,0.06632625474594533,0.03638259996660054
20,0.33914389414712787,0.11188044701702893,0.04569953866302967
21,0.4805368250235915,0.0891230219276622,0.045840909937396646
22,0.44313552929088473,0.24207931803539395,0.07190737780183554
23,0.414372930303216,0.09667241421993822,0.06826992984861135
24,0.4999097129330039,0.1303276439430192,0.06337997643277049
25,0.41506074368953705,0.11524249205831438,0.06535870395600796
26,0.4145127506926656,0.12240877724252641,0.08211681363172829
27,0.42851273622363806,0.13935232954099774,0.09198530996218324
28,0.4030478810891509,0.10820980684366077,0.06187780178152025
29,0.3806289806962013,0.08118768210988492,0.04900893196463585
30,0.4321766383945942,0.11785257759038359,0.06265795626677573
31,0.4266641438007355,0.1242445691023022,0.07905311649665236
32,0.3794905161485076,0.11570939270313829,0.06712949404027313
33,0.4414404835551977,0.08755357773043215,0.04997729550814256
34,0.3601231728680432,0.1495251542655751,0.06244446034543216
35,0.37635283917188644,0.08148653490934521,0.05161324399523437
36,0.32783965207636356,0.0836620912887156,0.05662749498151243
37,0.3379515539854765,0.09053872444201261,0.037407896015793085
38,0.3439328372478485,0.09968460234813392,0.045106222154572606
39,0.29931217804551125,0.09292801946867257,0.05577387847006321
40,0.4144540959969163,0.09887146844994277,0.03713151055853814
41,0.26157016586512327,0.04647870420012623,0.026587521540932357
42,0.39175537321716547,0.071318423259072,0.03449986956547946
43,0.27118165232241154,0.07875549921300262,0.0413583074696362
44,0.22950981883332133,0.13214260782115161,0.04112310474738479
45,0.05400858406210318,0.02042907106806524,0.03591418836731464
46,0.20023579290136695,0.09811791637912393,0.042769494000822306
47,0.44923951104283333,0.13635809998959303,0.06549302581697702
