scope,kernel,calls_13_forward_passes,gpu_mean_duration_us,observer,raw_trace_ignored_from_git
dense,grouped_GEMM,26,275.0539615384615,Nsight Systems GPU kernel; not clean request E2E,results/nsys_dense.nsys-rep
dense,grouped_descriptor_prep,26,2.257230769230769,Nsight Systems GPU kernel; not clean request E2E,results/nsys_dense.nsys-rep
dense,elementwise,39,7.731717948717948,Nsight Systems GPU kernel; not clean request E2E,results/nsys_dense.nsys-rep
compacted,grouped_GEMM,26,102.82969230769231,Nsight Systems GPU kernel; not clean request E2E,results/nsys_compacted.nsys-rep
compacted,grouped_descriptor_prep,26,2.296615384615385,Nsight Systems GPU kernel; not clean request E2E,results/nsys_compacted.nsys-rep
compacted,elementwise,39,4.534974358974359,Nsight Systems GPU kernel; not clean request E2E,results/nsys_compacted.nsys-rep
