completion_kst_from_file_mtime,session,restart,physical_gpu_used,visible_gpus,uuid,case_count,measured_kernel_loop_seconds_excludes_import_load,independent_process,burn_during_measurement
2026-09-15T12:59:50.010487+09:00,support,1,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,see benchmark output,9.188613176345825,yes,no
2026-09-15T13:01:20.744463+09:00,support,2,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,65,9.50253939628601,yes,no
2026-09-15T13:01:53.159736+09:00,support,3,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,65,9.601439714431763,yes,no
2026-09-15T13:11:13.674962+09:00,dense_all,1,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,18,5.181322813034058,yes,no
2026-09-15T13:11:29.082607+09:00,dense_all,2,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,18,4.992275953292847,yes,no
2026-09-15T13:11:44.938242+09:00,dense_all,3,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,18,5.17414665222168,yes,no
2026-09-15T13:12:01.537859+09:00,compacted_all,1,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,28,5.830530166625977,yes,no
2026-09-15T13:12:17.649488+09:00,compacted_all,2,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,28,5.671348333358765,yes,no
2026-09-15T13:12:34.257105+09:00,compacted_all,3,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,28,5.884384393692017,yes,no
