workload,q,policy,repeat,wall_ms,waves_per_s,p50_completion_ms,p95_completion_ms,p99_completion_ms,max_relative_l2,restart
homogeneous_large,1,ll_serial,7.0,0.260611996054649,3837.121909730908,0.260281842201948,0.260281842201948,0.260281842201948,0.0,real_inflight_r1
homogeneous_large,1,ll_two_slot,7.0,0.26027392596006305,3842.1059516866035,0.258812215179204,0.258812215179204,0.258812215179204,0.0,real_inflight_r1
homogeneous_large,1,normal_serial,7.0,0.25503197684884005,3921.0769267287105,0.254588201642036,0.254588201642036,0.254588201642036,0.00040619842722900004,real_inflight_r1
homogeneous_large,2,ll_serial,7.0,0.5020969547331331,3983.29442380906,0.259144231677055,0.259144231677055,0.259144231677055,0.0,real_inflight_r1
homogeneous_large,2,ll_two_slot,7.0,0.476676970720291,4195.713497503068,0.47508673742413504,0.47508673742413504,0.47508673742413504,0.0,real_inflight_r1
homogeneous_large,2,normal_serial,7.0,0.47644181177020006,4197.7843895964525,0.25951862335205,0.25951862335205,0.25951862335205,0.00040142555157800003,real_inflight_r1
homogeneous_large,4,ll_serial,7.0,0.9877621196210381,4049.5580064708565,0.503048300743103,0.7438622415065761,0.7438622415065761,0.0,real_inflight_r1
homogeneous_large,4,ll_two_slot,7.0,0.9247679263353341,4325.409528259893,0.47106295824050903,0.9237690828740591,0.9237690828740591,0.0,real_inflight_r1
homogeneous_large,4,normal_serial,7.0,0.890725757926702,4490.7200273523,0.483112875372171,0.682997982949018,0.682997982949018,0.00040198738684800006,real_inflight_r1
homogeneous_large,8,ll_serial,7.0,1.943003851920366,4117.336150462701,0.9847381152212621,1.703646034002304,1.703646034002304,0.0,real_inflight_r1
homogeneous_large,8,ll_two_slot,7.0,1.845953986048698,4333.802500204331,0.9338697418570511,1.8452741205692291,1.8452741205692291,0.0,real_inflight_r1
homogeneous_large,8,normal_serial,7.0,1.6836412250995632,4751.606150251467,0.8966419845819471,1.487683039158582,1.487683039158582,0.00040508485780400003,real_inflight_r1
homogeneous_large,16,ll_serial,7.0,3.848560154438019,4157.398964272232,1.942608971148729,3.609020728617906,3.609020728617906,0.0,real_inflight_r1
homogeneous_large,16,ll_two_slot,7.0,3.652871120721101,4380.116207560449,1.838860101997852,3.652145154774189,3.652145154774189,0.0,real_inflight_r1
homogeneous_large,16,normal_serial,7.0,3.260037861764431,4907.918459370382,1.677901949733495,3.063859883695841,3.063859883695841,0.000409421698008,real_inflight_r1
homogeneous_small,1,ll_serial,7.0,0.07175002247095101,13937.277865032904,0.07136492058634701,0.07136492058634701,0.07136492058634701,0.0,real_inflight_r1
homogeneous_small,1,ll_two_slot,7.0,0.077271834015846,12941.326069663734,0.07563503459095901,0.07563503459095901,0.07563503459095901,0.0,real_inflight_r1
homogeneous_small,1,normal_serial,7.0,0.24923402816057202,4012.293214455202,0.24872599169611903,0.24872599169611903,0.24872599169611903,0.0007671439677750001,real_inflight_r1
homogeneous_small,2,ll_serial,7.0,0.12460770085453901,16050.372378948627,0.06735511124134,0.06735511124134,0.06735511124134,0.0,real_inflight_r1
homogeneous_small,2,ll_two_slot,7.0,0.11899322271347001,16807.679919854738,0.11738389730453401,0.11738389730453401,0.11738389730453401,0.0,real_inflight_r1
homogeneous_small,2,normal_serial,7.0,0.428279861807823,4669.843666143322,0.24374993517994803,0.24374993517994803,0.24374993517994803,0.000754973126904,real_inflight_r1
homogeneous_small,4,ll_serial,7.0,0.23128977045416801,17294.3230137047,0.123267993330955,0.177265610545873,0.177265610545873,0.0,real_inflight_r1
