workload,q,policy,repeat,wall_ms,waves_per_s,p50_completion_ms,p95_completion_ms,p99_completion_ms,max_relative_l2
heterogeneous,1,ll_serial,7.0,0.062860082834959,15908.346837937344,0.06239302456378901,0.06239302456378901,0.06239302456378901,0.0
heterogeneous,1,ll_two_slot,7.0,0.06945384666323601,14398.050619841637,0.068116933107376,0.068116933107376,0.068116933107376,0.0
heterogeneous,1,normal_serial,7.0,0.22793421521782803,4387.230758858801,0.22754911333322503,0.22754911333322503,0.22754911333322503,0.0
heterogeneous,2,ll_serial,7.0,0.16296515241265203,12272.562387667338,0.069451984018087,0.069451984018087,0.069451984018087,0.0
heterogeneous,2,ll_two_slot,7.0,0.14278292655944802,14007.276977666457,0.14115497469902,0.14115497469902,0.14115497469902,0.0
heterogeneous,2,normal_serial,7.0,0.43690809980034806,4577.621703314564,0.230839010328054,0.230839010328054,0.230839010328054,0.0
heterogeneous,4,ll_serial,7.0,0.35544438287615704,11253.518673253759,0.16263173893094002,0.21217111498117402,0.21217111498117402,0.0
heterogeneous,4,ll_two_slot,7.0,0.32722530886530804,12223.99335146312,0.145824160426855,0.325954984873533,0.325954984873533,0.0
heterogeneous,4,normal_serial,7.0,0.823066104203462,4859.8769644038175,0.44410908594727505,0.6209793500602241,0.6209793500602241,0.0
heterogeneous,8,ll_serial,7.0,0.595077872276306,13443.618680355577,0.36384118720889,0.537260901182889,0.537260901182889,0.0
heterogeneous,8,ll_two_slot,7.0,0.5216621793806551,15335.595172910598,0.32569514587521503,0.520788133144378,0.520788133144378,0.0
heterogeneous,8,normal_serial,7.0,1.519036944955587,5266.494687022835,0.8251252584159371,1.3496661558747292,1.3496661558747292,0.0
heterogeneous,16,ll_serial,7.0,1.15830497816205,13813.28777969005,0.594777055084705,1.100203022360801,1.100203022360801,0.0
heterogeneous,16,ll_two_slot,7.0,1.025058794766664,15608.8607616328,0.53127808496356,1.024268101900816,1.024268101900816,0.0
heterogeneous,16,normal_serial,7.0,3.003662917762994,5326.829420631575,1.551561988890171,2.818341832607984,2.818341832607984,0.0
homogeneous_large,1,ll_serial,7.0,0.208745943382382,5090.469611528615,0.20832219161093152,0.20832219161093152,0.20832219161093152,0.0
homogeneous_large,1,ll_two_slot,7.0,0.2095061354339115,5069.87021351743,0.20812707953155002,0.20812707953155002,0.20812707953155002,0.0
homogeneous_large,1,normal_serial,7.0,0.26451842859387353,3780.45931339113,0.2641063183546065,0.2641063183546065,0.2641063183546065,0.00020309921361450002
homogeneous_large,2,ll_serial,7.0,0.4039604682475325,5241.312989248141,0.208837445825338,0.208837445825338,0.208837445825338,0.0
homogeneous_large,2,ll_two_slot,7.0,0.38421293720602956,5502.023803756667,0.3824916202574965,0.3824916202574965,0.3824916202574965,0.0
homogeneous_large,2,normal_serial,7.0,0.4853471182286735,4121.829909453698,0.2699350006878375,0.2699350006878375,0.2699350006878375,0.00020071277578900002
homogeneous_large,4,ll_serial,7.0,0.7942400407046075,5330.641670395373,0.40625408291816656,0.6002308800816536,0.6002308800816536,0.0
homogeneous_large,4,ll_two_slot,7.0,0.7512390147894616,5624.648719707104,0.384340528398752,0.7502159569412465,0.7502159569412465,0.0
homogeneous_large,4,normal_serial,7.0,0.9023679886013265,4433.519355684748,0.49378536641597703,0.694912858307361,0.694912858307361,0.00020099369342400003
homogeneous_large,8,ll_serial,7.0,1.5651620924472804,5416.777041318222,0.7934723980724806,1.369481440633535,1.369481440633535,0.0
homogeneous_large,8,ll_two_slot,7.0,1.4796608593314886,5725.030687325641,0.7499470375478261,1.478932797908783,1.478932797908783,0.0
homogeneous_large,8,normal_serial,7.0,1.710894983261823,4676.616570313506,0.900187529623508,1.5133901033550496,1.5133901033550496,0.00020254242890200002
homogeneous_large,16,ll_serial,7.0,3.1046101357787848,5467.569575045837,1.566176768392324,2.912326715886593,2.912326715886593,0.0
homogeneous_large,16,ll_two_slot,7.0,2.931693103164434,5789.02200108641,1.4787998516112566,2.9308137018233538,2.9308137018233538,0.0
homogeneous_large,16,normal_serial,7.0,3.3409590832889076,4790.280026301687,1.741901040077209,3.1413696706295013,3.1413696706295013,0.000204710849004
homogeneous_small,1,ll_serial,7.0,0.07150950841605651,13984.31250111213,0.07111136801540802,0.07111136801540802,0.07111136801540802,0.0
homogeneous_small,1,ll_two_slot,7.0,0.080223428085446,12482.08313482235,0.07873936556279601,0.07873936556279601,0.07873936556279601,0.0
