arrival,offered_load,policy,seed,requests_per_s,generated_tokens_per_s,refinement_waves_per_s,rows_per_s,request_latency_p50_ms,request_latency_p95_ms,request_latency_p99_ms,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,throughput_gain_vs_ll_pct,p50_reduction_vs_ll_pct,p95_reduction_vs_ll_pct,p99_reduction_vs_ll_pct,route_replay_only
bursty,0.825,existing_backend_oracle,2.0,65.93626091355937,21223.174281662567,4829.8311119182235,988682.353772478,121.52762614293977,193.14291087847764,196.51650287698277,108.67620518287613,176.7401389166871,180.27817806485487,0.0,0.0,0.0,0.0,True
bursty,0.825,ll_only,2.0,65.93626091355937,21223.174281662567,4829.8311119182235,988682.353772478,121.52762614293977,193.14291087847764,196.51650287698277,108.67620518287613,176.7401389166871,180.27817806485487,0.0,0.0,0.0,0.0,True
bursty,0.825,normal_only,2.0,45.70020674129194,14729.014861734295,3355.4023081724736,685316.3015243241,1751.328802286217,2528.5664659187187,2534.2306354001,1727.510475136772,2504.7481387692733,2510.412308250654,-30.69032713091866,-1341.0952125620547,-1209.1686639794154,-1189.5764978000352,True
bursty,0.825,o1_variable_capacity_ll,2.0,65.96292315088782,21231.720625329915,4831.784120802533,989068.2581446051,120.26990424050533,190.87987987917052,193.8785821438339,107.59613154681547,174.5301465436307,177.73681529239605,0.04043638046660192,1.034926742463571,1.171687321586956,1.342340564039124,True
bursty,0.825,o2_unlimited_inflight_ll,2.0,65.96708319657317,21233.054088492223,4832.088844148985,989128.4689119599,120.0658214156678,190.54491986182398,193.35388229190687,107.41997049512264,174.2757115053288,177.2154092778552,0.04674557305306415,1.2028579621497837,1.3451133178210561,1.6093409656570468,True
bursty,0.825,o3_combined,2.0,65.99346175658434,21241.509469338776,4834.021073669803,989510.2550571039,118.71349862232061,188.1940723367003,191.28656348119713,106.09088390482447,172.17281996656968,175.22003525803234,0.08675172391101604,2.315627820549382,2.562267762905923,2.6613232574464907,True
bursty,0.825,o4_credible_refinestreamep,2.0,65.99346175658434,21241.509469338776,4834.021073669803,989510.2550571039,118.71349862232061,188.1940723367003,191.28656348119713,106.09088390482447,172.17281996656968,175.22003525803234,0.08675172391101604,2.315627820549382,2.562267762905923,2.6613232574464907,True
bursty,0.825,simple_normal_ll_switch,2.0,65.93626091355937,21223.174281662567,4829.8311119182235,988682.353772478,121.52762614293977,193.14291087847764,196.51650287698277,108.67620518287613,176.7401389166871,180.27817806485487,0.0,0.0,0.0,0.0,True
closed_loop,1.0,existing_backend_oracle,2.0,121.47958925229548,38954.45495356932,8880.664139297996,1822731.0063431573,9.194501786226681,9.19450178622716,9.19450178622716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
closed_loop,1.0,ll_only,2.0,121.47958925229548,38954.45495356932,8880.664139297996,1822731.0063431573,9.194501786226681,9.19450178622716,9.19450178622716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
closed_loop,1.0,normal_only,2.0,47.624283976713905,15271.520395199575,3481.5335932143525,714574.8482814181,23.818327149446095,23.818327149449424,23.818327149449424,0.0,0.0,0.0,-60.79647266685667,-159.04967667879336,-159.04967667881604,-159.04967667881604,True
closed_loop,1.0,o1_variable_capacity_ll,2.0,122.70665581039682,39347.9342965339,8970.367817472548,1841142.430649614,9.102556768364161,9.102556768364602,9.102556768364689,0.0,0.0,0.0,1.0101010100988184,1.0000000000027431,1.0000000000031206,1.000000000002177,True
closed_loop,1.0,o2_unlimited_inflight_ll,2.0,122.90026062509055,39410.01690711231,8984.521136113375,1844047.35896631,9.088217508159566,9.088217508159913,9.088217508159913,0.0,0.0,0.0,1.1694733094993692,1.1559547274908155,1.1559547274922033,1.1559547274922033,True
closed_loop,1.0,o3_combined,2.0,124.14167739908453,39808.09788597308,9075.273874862236,1862674.0999660168,8.997335333077228,8.997335333078116,8.997335333078144,0.0,0.0,0.0,2.1913871813151076,2.1443951802239902,2.144395180219427,2.1443951802191163,True
closed_loop,1.0,o4_credible_refinestreamep,2.0,124.14167739908453,39808.09788597308,9075.273874862236,1862674.0999660168,8.997335333077228,8.997335333078116,8.997335333078144,0.0,0.0,0.0,2.1913871813151076,2.1443951802239902,2.144395180219427,2.1443951802191163,True
closed_loop,1.0,simple_normal_ll_switch,2.0,121.47958925229548,38954.45495356932,8880.664139297996,1822731.0063431573,9.194501786226681,9.19450178622716,9.19450178622716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
closed_loop,2.0,existing_backend_oracle,2.0,138.0786003615978,43892.4930895759,10033.833346703514,2075146.6077062327,12.814982514311597,16.60670047189498,16.680548064726963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
closed_loop,2.0,ll_only,2.0,138.0786003615978,43892.4930895759,10033.833346703514,2075146.6077062327,12.814982514311597,16.60670047189498,16.680548064726963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
closed_loop,2.0,normal_only,2.0,47.89518068360387,15230.667457386018,3481.380945939454,719803.9483365134,36.27752127623443,47.72087018239176,47.73898901540166,18.15984819858593,23.90254303294246,23.920661865953086,-65.31310387114526,-183.08677936719926,-187.35913111189123,-186.19556641757788,True
closed_loop,2.0,o1_variable_capacity_ll,2.0,139.47333369858407,44335.85160563216,10135.185198690375,2096107.6845517564,12.686832689168593,16.440633467175715,16.51374258407945,0.0,0.0,0.0,1.0101010101013275,0.9999999999991238,1.0000000000019105,1.0000000000014664,True
closed_loop,2.0,o2_unlimited_inflight_ll,2.0,139.69339273895795,44405.804081132206,10151.176349612802,2099414.893416353,12.66684711811028,16.414734532709602,16.48772848080076,0.0,0.0,0.0,1.1694733095000576,1.1559547274909043,1.1559547274924475,1.1559547274944904,True
closed_loop,2.0,o3_combined,2.0,141.10443711005667,44854.347556698944,10253.713484457376,2120621.104460934,12.540178646929467,16.25058718738258,16.32285119599297,0.0,0.0,0.0,2.1913871813118435,2.1443951802137207,2.1443951802170846,2.1443951802182393,True
