start,end,physical_gpus,task,status
2026-09-14T21:35:00+09:00,2026-09-14T21:43:00+09:00,"4,5,6,7",crossover M1-1024,PASS
2026-09-14T21:53:00+09:00,2026-09-14T21:57:00+09:00,"4,5,6,7",large-M crossover stress,PASS_WITH_M16384_BLOCKED
2026-09-14T21:58:00+09:00,2026-09-14T22:02:00+09:00,"4,5,6,7",capacity matrix and restarts,PASS
2026-09-14T22:03:00+09:00,2026-09-14T22:06:00+09:00,"4,5,6,7",synthetic inflight restarts,PASS
2026-09-14T22:08:00+09:00,2026-09-14T22:11:00+09:00,"4,5,6,7",real stream inflight restarts,PASS
