phase,stage,logical_layer_invocations,median_critical_ms,p95_critical_ms,sum_critical_ms,share_of_observed_block_sum
all,prepare_attn,2528,0.16476799547672272,0.25546719580888755,448.00991993397474,0.07331156642047203
all,attention,2528,0.6394559741020203,1.0747232079505922,1849.303489625454,0.30261681623314846
all,prepare_mlp,2528,0.24555200338363647,0.872163200378418,885.6865923851728,0.1449322181413669
all,mlp,2528,1.1232960224151611,1.614276820421219,2914.7248031795025,0.4769605124752211
all,postprocess,2528,0.003008000086992979,0.013932800292968797,13.315264112083241,0.002178886729791563
all,block_critical_sum_ms,2528,2.177023980417289,3.7709471680107525,6111.040069236187,1.0
early,prepare_attn,128,0.16707199811935425,0.27127519398927674,23.720223903656006,0.06020077806808501
early,attention,128,0.8377439975738525,2.0719840407371515,152.02288043498993,0.3858266989177647
early,prepare_mlp,128,0.2852639853954315,1.1068415939807885,58.706368044018745,0.14899391540973472
early,mlp,128,1.1974239945411682,1.6301695704460144,159.08876791596413,0.40375957871788437
early,postprocess,128,0.003008000086992979,0.007329600001685316,0.48032000684179366,0.001219028886531173
early,block_critical_sum_ms,128,2.952143966918811,4.676891183003318,394.0185603054706,1.0
middle,prepare_attn,1280,0.16500800102949142,0.2542752131819725,226.63510416448116,0.07346528076242252
middle,attention,1280,0.6365759968757629,1.0582223892211915,904.2267527580261,0.29311113346346707
middle,prepare_mlp,1280,0.24433600157499313,0.8645199894905089,437.6465280652046,0.1418660413511024
middle,mlp,1280,1.1394720077514648,1.6229712188243863,1510.8814411461353,0.4897622973357989
middle,postprocess,1280,0.003008000086992979,0.011711999773979187,5.538208067649975,0.0017952470872091139
middle,block_critical_sum_ms,1280,2.1876320351148024,3.7548943416797558,3084.928034201497,1.0
late,prepare_attn,1120,0.16411200165748596,0.2547983884811401,197.65459186583757,0.0750940624881005
late,attention,1120,0.6397440135478973,1.0609423875808717,793.0538564324379,0.3013015548446753
late,prepare_mlp,1120,0.24528000503778458,0.869728025794029,389.3336962759495,0.14791788362151642
late,mlp,1120,1.0715360045433044,1.5849248230457302,1244.754594117403,0.4729142813765225
late,postprocess,1120,0.0030400000978261232,0.018271999433636665,7.296736037591472,0.0027722176691852233
late,block_critical_sum_ms,1120,2.131840016343631,3.683705578406807,2632.0934747292195,1.0
