block,policy,workload,requests,e2e_mean_reduction_pct,paired_request_reduction_median_pct,paired_request_reduction_p10_pct,paired_request_reduction_p90_pct,output_text_exact_fraction,output_prefix_32char_exact_fraction
0,greedy,heterogeneous_bursty,48,-33.31787244603917,-30.28274967727991,-74.25746183771457,-8.530541317742545,0.20833333333333334,0.9791666666666666
0,greedy,fastpp_official_azure_conv_192,192,-3.0348044109165473,-2.8391135140636736,-7.590337221426544,-0.6955298340775128,0.4479166666666667,0.5
0,greedy,heterogeneous_steady,48,-4.950394774492484,-4.2567267778640066,-14.289475874819964,-1.251781892054615,0.22916666666666666,1
0,greedy,short_high_concurrency,512,-5.802715904657352,-6.089814681070571,-9.964759966175782,-1.479029148796084,0.33203125,0.998046875
0,alp,heterogeneous_bursty,48,-20.507294979947055,-22.003158930503286,-36.279839411115596,-9.734452883516354,0.3125,1
0,alp,fastpp_official_azure_conv_192,192,-13.404313314242366,-11.433984282101818,-20.004313790057374,-7.8091005573988665,0.4270833333333333,0.5
0,alp,heterogeneous_steady,48,-18.823331566516742,-18.68994213976608,-32.11390612842877,-13.764683906545887,0.3125,1
0,alp,short_high_concurrency,512,-23.81143580808649,-24.840830988838533,-25.938209553185875,-20.234081407194516,0.2890625,0.994140625
1,greedy,fastpp_official_azure_conv_192,192,41.06067877070523,40.99275715381095,33.46494151210184,43.69502431648045,0.421875,0.4739583333333333
1,greedy,heterogeneous_steady,48,38.62397317862663,39.08766301395474,31.078295149355096,41.059837665405325,0.22916666666666666,1
1,greedy,heterogeneous_bursty,48,30.722811467807965,31.240306628274602,15.288320110628849,36.578417439728874,0.16666666666666666,0.9791666666666666
1,greedy,short_high_concurrency,512,37.111307638090466,37.57915532741178,34.46813519413606,39.31466007033356,0.306640625,0.990234375
1,alp,fastpp_official_azure_conv_192,192,-9.285301459067941,-10.830668261603416,-27.089349872357968,-3.6305754032418904,0.4583333333333333,0.5208333333333334
1,alp,heterogeneous_steady,48,-9.988224883640084,-12.448457156512704,-27.362044101495755,0.6273088450411511,0.2708333333333333,1
1,alp,heterogeneous_bursty,48,21.192993119692616,19.579097552028436,5.28171920003366,29.237832356518204,0.375,0.9791666666666666
1,alp,short_high_concurrency,512,26.871995584295703,26.213855824206092,25.391982437592183,28.28804840004434,0.29296875,0.994140625
2,alp,heterogeneous_bursty,48,24.88700271660369,23.52450226692191,10.878865826198538,33.570408079889766,0.2916666666666667,0.9791666666666666
2,alp,fastpp_official_azure_conv_192,192,35.843271018468,35.65214431783784,29.45314799390326,40.70924452963299,0.40625,0.484375
2,alp,short_high_concurrency,512,26.858053667831715,26.328998962784205,24.775644054301083,29.396193237624995,0.279296875,0.9921875
2,alp,heterogeneous_steady,48,30.87064952941291,30.051359017664808,21.674279683701716,34.57004195808947,0.20833333333333334,1
2,greedy,heterogeneous_bursty,48,0.24978989510984206,2.8753209986687733,-40.103963905487056,16.608106573478977,0.3125,0.9791666666666666
2,greedy,fastpp_official_azure_conv_192,192,40.08444782819128,40.057461193717714,34.34938952404707,42.72256409207144,0.4322916666666667,0.5
2,greedy,short_high_concurrency,512,36.765212717401084,37.32608307350307,33.86917386302404,38.701928146783466,0.326171875,0.990234375
2,greedy,heterogeneous_steady,48,37.586747518538424,37.69796826102667,32.5710513793005,40.48736620877556,0.16666666666666666,1
