request_id,layer,iteration,q_len,batch,prepare_attn_critical_ms,attention_critical_ms,prepare_mlp_critical_ms,mlp_critical_ms,postprocess_critical_ms,block_critical_sum_ms
measured_0,0,0,64,8,0.17801600694656372,0.9234240055084229,16.437824249267578,0.38012799620628357,0.014175999909639359,17.933568257838488
measured_0,0,1,64,8,0.18758399784564972,0.9319040179252625,3.5389440059661865,0.4767040014266968,0.01849599927663803,5.1536320224404335
measured_0,0,2,32,8,0.1908479928970337,0.9936320185661316,4.037248134613037,0.49935999512672424,0.019487999379634857,5.7405761405825615
measured_0,0,3,32,8,0.20972800254821777,0.9718080163002014,2.5383360385894775,0.5040959715843201,0.018112000077962875,4.24208002910018
measured_0,0,4,32,8,0.2091519981622696,0.9706240296363831,2.3527040481567383,0.4925119876861572,0.018624000251293182,4.043616063892841
measured_0,0,5,32,8,0.19046400487422943,0.9828479886054993,2.977407932281494,0.49964800477027893,0.018271999433636665,4.668639929965138
measured_0,0,6,32,8,0.18928000330924988,0.9857919812202454,2.9976959228515625,0.4809280037879944,0.017983999103307724,4.67167991027236
measured_0,0,7,32,8,0.1969279944896698,1.0045759677886963,1.5045440196990967,0.5000320076942444,0.017632000148296356,3.2237119898200035
measured_0,0,8,32,8,0.18742400407791138,1.007807970046997,2.651360034942627,0.5104640126228333,0.018880000337958336,4.375936022028327
measured_0,0,9,32,8,0.20732800662517548,0.9881920218467712,1.5649280548095703,0.4990079998970032,0.018303999677300453,3.2777600828558207
measured_0,0,10,32,8,0.18003199994564056,0.9976639747619629,1.5182080268859863,0.4962559938430786,0.018464000895619392,3.210623996332288
measured_0,0,11,32,8,0.18851199746131897,0.9734399914741516,2.8925440311431885,0.492000013589859,0.018112000077962875,4.564608033746481
measured_0,0,12,32,8,0.1910720020532608,0.9828159809112549,1.915776014328003,0.4912000000476837,0.01833599992096424,3.5991999972611666
measured_0,0,13,32,8,0.2070399969816208,0.9908159971237183,2.3631999492645264,0.49350398778915405,0.018400000408291817,4.072959931567311
measured_0,0,14,32,8,0.2038400024175644,0.9958400130271912,2.9057281017303467,0.49487999081611633,0.018303999677300453,4.618592107668519
measured_0,0,15,32,8,0.1990399956703186,0.986303985118866,2.9450879096984863,0.499424010515213,0.018432000651955605,4.6482879016548395
measured_0,0,16,32,8,0.18428799510002136,1.0017280578613281,2.95849609375,0.4910399913787842,0.021183999255299568,4.656736137345433
measured_0,0,17,32,8,0.18460799753665924,1.0083839893341064,2.7927041053771973,0.5024639964103699,0.018400000408291817,4.506560089066625
