phase,stage,logical_invocations,median_critical_ms,p95_critical_ms,mean_critical_ms,sum_critical_ms
all,router,2914,0.25649599730968475,0.2919055923819542,0.26340709964175213,767.5682883560658
all,dispatch,2914,0.681439995765686,0.7584319710731506,0.6905258256192884,2012.1922558546066
all,expert,2914,0.8726560175418854,1.0140080094337462,0.8872711163681504,2585.5080330967903
all,combine,2914,0.24136000126600266,0.3890079945325851,0.2546601398690113,742.079647578299
all,shared,2914,0.22337599843740463,0.30771198868751526,0.2154533206283862,627.8309763111174
all,gather,2914,0.2943360060453415,0.3788415938615799,0.28845021824557626,840.5439359676093
early,router,558,0.2560800015926361,0.2932175889611244,0.26310973502294993,146.81523214280605
early,dispatch,558,0.6828800141811371,0.7296112060546875,0.6911844590872419,385.680928170681
early,expert,558,0.8454239964485168,0.9408415943384171,0.8484819505804329,473.45292842388153
early,combine,558,0.2704479992389679,0.4032127857208252,0.27649766280178956,154.28569584339857
early,shared,558,0.25300799310207367,0.32417119890451424,0.2534830113839505,141.44352035224438
early,gather,558,0.3240479975938797,0.413142392039299,0.32735592893268045,182.6646083444357
middle,router,1209,0.25673601031303406,0.29047039747238157,0.2629194115069013,317.8695685118437
middle,dispatch,1209,0.6821439862251282,0.7709888219833373,0.6919064083998612,836.5148477554321
middle,expert,1209,0.8742719888687134,1.0045504093170166,0.8872277915132647,1072.658399939537
middle,combine,1209,0.24428799748420715,0.39021439552307113,0.2558226898448146,309.28963202238083
middle,shared,1209,0.22121599316596985,0.29798400402069086,0.21380028420114833,258.4845435991883
middle,gather,1209,0.2919040024280548,0.36767359972000113,0.28578255067188896,345.5111037623137
late,router,1147,0.25648000836372375,0.29337599575519563,0.26406581316601224,302.883487701416
late,dispatch,1147,0.6797440052032471,0.7414528071880341,0.6887502004607615,789.9964799284935
late,expert,1147,0.8870720267295837,1.031455969810486,0.9061871880848925,1039.3967047333717
late,combine,1147,0.22838400304317474,0.37671039402484896,0.24281108954884015,278.50431971251965
late,shared,1147,0.21107199788093567,0.28080960512161257,0.19869477973817323,227.9029123596847
late,gather,1147,0.28118398785591125,0.3517727911472321,0.2723349815700609,312.36822386085987
