request_id,layer,iteration,phase,sequence_ids,block_starts,remaining_masked_positions,fresh_position_ratio,physical_m,assignments,remote_assignments,remote_fraction,dispatch_payload_bytes_bf16,combine_payload_bytes_bf16,active_experts,tiny_expert_fraction_le4,expert_group_p10,expert_group_p50,expert_group_p90,rank_load_max,rank_load_mean,rank_load_cv,rank_fanout_mean,rank_fanout_p95,input_rel_l2_lag1_median,input_cosine_lag1_median,moe_output_rel_l2_lag1_median,moe_output_cosine_lag1_median,rank_load_0,rank_load_1,rank_load_2,rank_load_3,router_critical_ms,router_median_rank_ms,dispatch_critical_ms,dispatch_median_rank_ms,expert_critical_ms,expert_median_rank_ms,combine_critical_ms,combine_median_rank_ms,shared_critical_ms,shared_median_rank_ms,gather_critical_ms,gather_median_rank_ms,moe_critical_sum_ms
measured_0,1,0,middle,"[0,1,2,3,4,5,6,7]","[32,32,32,32,32,32,32,64]",107,0.41796875,256,2048,1617,0.78955078125,13246464,13246464,171,0.4619883040935672,1.0,5.0,29.0,633,512.0,0.23097716036092927,2.92578125,4.0,nan,nan,nan,nan,432,633,622,361,0.3001280128955841,0.16617599688470364,0.7192320227622986,0.48473598062992096,0.9038400053977966,0.8105120062828064,0.2401919960975647,0.1456800028681755,0.19526399672031403,0.11316800303757191,0.26576000452041626,0.20187199860811234,2.6244160383939743
measured_0,1,1,middle,"[0,1,2,3,4,5,6,7]","[32,32,32,32,32,32,32,64]",88,0.34375,256,2048,1619,0.79052734375,13262848,13262848,189,0.4708994708994709,1.0,5.0,24.200000000000017,606,512.0,0.2140566191596389,2.87109375,4.0,0.3459843248128891,0.942139595746994,0.29609275609254837,0.9588558673858643,501,604,606,337,0.27584001421928406,0.15419200249016285,0.707040011882782,0.48124799132347107,0.9240319728851318,0.8911199867725372,0.2624959945678711,0.0862719975411892,0.1648319959640503,0.09726399928331375,0.23372800648212433,0.18217600136995316,2.5679679960012436
measured_0,1,2,middle,"[1,0,2,3,4,5,6,8]","[32,32,32,32,32,64,64,64]",139,0.54296875,256,2048,1614,0.7880859375,13221888,13221888,177,0.4858757062146893,1.0,5.0,25.0,709,512.0,0.28795514774745357,2.85546875,4.0,0.9020428657531738,0.4839753806591034,0.6888684332370758,0.7531384825706482,431,586,709,322,0.26927998661994934,0.1507360003888607,0.7030079960823059,0.4808320105075836,0.9122560024261475,0.8421440124511719,0.25939199328422546,0.12319999933242798,0.17868800461292267,0.10460800305008888,0.24700799584388733,0.18961600214242935,2.569631978869438
measured_0,1,3,middle,"[1,0,2,3,4,5,6,8]","[32,32,32,32,32,64,64,64]",129,0.50390625,256,2048,1597,0.77978515625,13082624,13082624,186,0.4946236559139785,1.0,5.0,24.5,678,512.0,0.26888296697031183,2.84375,4.0,0.34934645891189575,0.9378289580345154,0.21803880482912064,0.9757979512214661,435,606,678,329,0.29420799016952515,0.25867200642824173,0.7257599830627441,0.3970720022916794,0.9838079810142517,0.9077280163764954,0.3346880078315735,0.131376001983881,0.137472003698349,0.0769759975373745,0.2059520035982132,0.1645439937710762,2.6818879693746567
measured_0,1,4,middle,"[1,2,0,3,4,5,7,9]","[32,32,32,32,32,64,64,64]",97,0.37890625,256,2048,1586,0.7744140625,12992512,12992512,203,0.4729064039408867,1.0,5.0,22.80000000000001,612,512.0,0.22955243557564564,2.9609375,4.0,1.01808300614357,0.5130737125873566,0.7004478275775909,0.7608691453933716,519,599,612,318,0.26982399821281433,0.1515359953045845,0.6913279891014099,0.47444799542427063,1.0096319913864136,0.9106079936027527,0.31990399956703186,0.15252800285816193,0.08963199704885483,0.060096001252532005,0.1600320041179657,0.1475200057029724,2.54035197943449
measured_0,1,5,middle,"[1,2,0,3,4,5,8,9]","[32,32,32,32,64,64,64,64]",120,0.46875,256,2048,1542,0.7529296875,12632064,12632064,195,0.5128205128205128,1.0,4.0,25.0,647,512.0,0.28428873283717043,2.94921875,4.0,0.5532151758670807,0.831587016582489,0.36457472294569016,0.933407336473465,509,616,647,276,0.25910401344299316,0.1460000015795231,0.7041599750518799,0.48609599471092224,0.9833599925041199,0.8998079895973206,0.3306240141391754,0.13758400082588196,0.09779199957847595,0.06423999927937984,0.16752000153064728,0.15083199739456177,2.5425599962472916
measured_0,1,6,early,"[1,2,0,3,4,10,8,6]","[32,32,64,64,64,64,64,64]",177,0.69140625,256,2048,1451,0.70849609375,11886592,11886592,172,0.5755813953488372,1.0,4.0,24.0,765,512.0,0.4334837627955883,2.74609375,3.25,0.9197660088539124,0.5695585012435913,0.6314693093299866,0.8134995400905609,365,689,765,229,0.2567040026187897,0.14454400353133678,0.688319981098175,0.4715840071439743,0.8983680009841919,0.8336479961872101,0.2831360101699829,0.11936000362038612,0.2126079946756363,0.1204160014167428,0.2824000120162964,0.2075680047273636,2.621536001563072
measured_0,1,7,middle,"[1,2,0,4,3,10,11,7]","[32,32,64,64,64,64,64,64]",166,0.6484375,256,2048,1411,0.68896484375,11558912,11558912,184,0.5869565217391305,1.0,3.0,24.0,711,512.0,0.3200533679329048,2.9296875,4.0,0.7637258768081665,0.7438225150108337,0.3548605442047119,0.9324409067630768,378,634,711,325,0.2730560004711151,0.15316800214350224,0.6949120163917542,0.476144015789032,0.91839998960495,0.8795360028743744,0.27372801303863525,0.09460800141096115,0.18777599930763245,0.10918399877846241,0.2593599855899811,0.19659199565649033,2.607232004404068
measured_0,1,8,middle,"[1,2,3,0,4,10,12,7]","[32,32,64,64,64,64,64,64]",149,0.58203125,256,2048,1438,0.7021484375,11780096,11780096,187,0.5240641711229946,1.0,4.0,23.400000000000006,666,512.0,0.2942128532252282,2.9375,4.0,0.8087508082389832,0.6981794834136963,0.454899400472641,0.898432046175003,411,666,652,319,0.2799359858036041,0.15611200220882893,0.7008320093154907,0.4747519940137863,0.9591360092163086,0.8695999979972839,0.2930240035057068,0.14214400202035904,0.1422719955444336,0.08657600171864033,0.21193599700927734,0.1732800006866455,2.587136000394821
measured_0,1,9,middle,"[1,2,0,4,10,9,12,13]","[32,64,64,64,64,64,64,64]",169,0.66015625,256,2048,1513,0.73876953125,12394496,12394496,172,0.5581395348837209,1.0,4.0,24.0,750,512.0,0.46254231027436327,2.7734375,4.0,1.0755167603492737,0.4750343859195709,0.6792271435260773,0.7826899290084839,358,750,735,205,0.26921600103378296,0.15079999901354313,0.6832960247993469,0.46486400067806244,0.9006400108337402,0.8422719836235046,0.31836798787117004,0.11199999786913395,0.1831039935350418,0.10598399955779314,0.2545599937438965,0.19368000328540802,2.6091840118169785
measured_0,1,10,middle,"[1,2,0,10,14,4,7,8]","[32,64,64,64,64,64,64,64]",160,0.625,256,2048,1476,0.720703125,12091392,12091392,182,0.5164835164835165,1.0,4.0,23.900000000000006,690,512.0,0.35871627808626483,2.83984375,4.0,1.0457590818405151,0.44658662378787994,0.8291804492473602,0.6820566356182098,398,690,690,270,0.28415998816490173,0.1585440021008253,0.7047359943389893,0.47920000553131104,0.899616003036499,0.8908159732818604,0.2639999985694885,0.06375999934971333,0.18556800484657288,0.10782399959862232,0.2558720111846924,0.1950399950146675,2.593952000141144
measured_0,1,11,middle,"[1,2,0,11,14,15,8,4]","[32,64,64,64,64,64,64,64]",147,0.57421875,256,2048,1553,0.75830078125,12722176,12722176,175,0.5485714285714286,1.0,4.0,25.19999999999999,694,512.0,0.3419586670644111,2.87109375,4.0,0.8948129713535309,0.6257954239845276,0.6831004917621613,0.7958185970783234,446,694,652,256,0.2717440128326416,0.151936000213027,0.7026559710502625,0.4787359982728958,0.8855680227279663,0.8541919887065887,0.2765440046787262,0.08545600064098835,0.19859200716018677,0.11412800196558237,0.2666560113430023,0.19977600872516632,2.6017600297927856
measured_0,1,12,middle,"[1,2,0,11,9,10,13,14]","[32,64,64,64,64,64,64,64]",135,0.52734375,256,2048,1505,0.73486328125,12328960,12328960,183,0.4918032786885246,1.0,5.0,21.0,656,512.0,0.28396650885168495,2.9375,4.0,0.7713441848754883,0.6021971702575684,0.5737823247909546,0.7929490804672241,455,656,637,300,0.27158400416374207,0.1518079973757267,0.6941440105438232,0.4764159917831421,0.9160320162773132,0.8827840089797974,0.2786880135536194,0.08729600347578526,0.1844799965620041,0.10684799682348967,0.2550080120563507,0.1939999982714653,2.5999360531568527
measured_0,1,13,middle,"[1,2,0,11,9,10,13,14]","[64,64,64,64,64,64,64,64]",160,0.625,256,2048,1564,0.763671875,12812288,12812288,172,0.5406976744186046,1.0,4.0,25.900000000000006,710,512.0,0.34136412336635447,2.89453125,4.0,0.2923978120088577,0.9590781629085541,0.18645191937685013,0.9827215075492859,411,710,648,279,0.254720002412796,0.1434560026973486,0.6915839910507202,0.4821600168943405,0.8773760199546814,0.8413119912147522,0.23852799832820892,0.09150400012731552,0.22755199670791626,0.1291680010035634,0.2980479896068573,0.21583999693393707,2.58780799806118
