request_id,iteration,selected_sequences,block_starts,physical_rows,live_positions_before,accepted_positions,live_to_physical_ratio,accepted_per_forward,phase
measured_16,42,8,"[128,128,128,128,128,128,128,128]",256,205,11,0.80078125,11,early
measured_16,43,8,"[128,128,128,128,128,128,128,128]",256,195,36,0.76171875,36,early
measured_16,44,8,"[128,128,128,128,128,128,128,128]",256,186,20,0.7265625,20,early
measured_16,45,8,"[128,128,128,128,128,128,128,128]",256,179,14,0.69921875,14,early
measured_16,46,8,"[128,128,128,128,128,128,128,128]",256,168,20,0.65625,20,middle
measured_16,47,8,"[128,128,128,128,128,128,128,128]",256,158,24,0.6171875,24,middle
measured_16,48,8,"[128,128,128,128,128,128,128,128]",256,149,20,0.58203125,20,middle
measured_16,49,8,"[128,128,128,128,128,128,128,128]",256,137,36,0.53515625,36,middle
measured_16,50,8,"[128,128,128,128,128,128,128,128]",256,126,20,0.4921875,20,middle
measured_16,51,8,"[128,128,128,128,128,128,128,128]",256,117,18,0.45703125,18,middle
measured_16,52,8,"[128,128,128,128,128,128,128,128]",256,104,13,0.40625,13,middle
measured_16,53,8,"[128,128,128,128,128,128,128,128]",256,95,9,0.37109375,9,middle
measured_16,54,8,"[128,128,128,128,128,128,128,128]",256,86,22,0.3359375,22,middle
measured_16,55,8,"[128,128,128,128,128,128,128,128]",256,76,12,0.296875,12,late
measured_16,56,8,"[128,128,128,128,128,128,128,128]",256,70,23,0.2734375,23,late
measured_16,57,8,"[128,128,128,128,128,128,128,128]",256,60,11,0.234375,11,late
measured_16,58,8,"[128,128,128,128,128,128,128,128]",256,51,19,0.19921875,19,late
measured_16,59,8,"[128,128,128,128,128,128,128,128]",256,38,20,0.1484375,20,late
measured_16,60,8,"[128,128,128,128,128,128,128,128]",256,24,9,0.09375,9,late
measured_16,61,8,"[128,128,128,128,128,128,128,128]",256,16,9,0.0625,9,late
measured_16,62,8,"[128,128,128,128,128,128,128,128]",256,7,5,0.02734375,5,late
measured_16,63,8,"[128,128,128,128,128,128,128,128]",256,2,2,0.0078125,2,late
measured_16,64,7,"[128,128,128,128,128,128,128]",224,0,0,0.0,0,late
