lag,phase,layer_group,token_pairs,wave_pairs,ordered_expert_agreement,topk_set_agreement,destination_set_agreement,rank_load_cosine,critical_rank_persistence,topk_weight_cosine
1,all,all,675552,62,0.43130636131637534,0.3146685969399839,0.6879248377623041,0.9981657994981357,0.9354838709677419,0.9905248514176429
1,all,early_layers,217920,20,0.4859208654552129,0.36639592511013214,0.716253671071953,0.9982742211464577,0.9,0.9932492612498688
1,all,middle_layers,239712,22,0.40127580179548794,0.291220297690562,0.6665790615405153,0.9984743247468605,1.0,0.9900850522293477
1,all,late_layers,217920,20,0.40972547265051396,0.2887343979441997,0.6830763582966226,0.9977180000762166,0.9,0.9882842206925416
1,early,all,140864,0,0.2823911716265334,0.14770274875056794,0.5658720467969105,nan,nan,0.9883154926991691
1,early,early_layers,45440,0,0.35037687059859157,0.2121038732394366,0.6109815140845071,nan,nan,0.9912364465945308
1,early,middle_layers,49984,0,0.23004111315620998,0.10671414852752881,0.5123639564660691,nan,nan,0.986287418597887
1,early,late_layers,45440,0,0.271990536971831,0.12838908450704226,0.5796214788732394,nan,nan,0.9876254203152174
1,middle,all,294624,62,0.4218800912349299,0.30685891169762136,0.6793370533289889,0.9981657994981357,0.9354838709677419,0.9905486742126199
1,middle,early_layers,95040,20,0.471506734006734,0.35425084175084176,0.7007049663299664,0.9982742211464577,0.9,0.9928520943869144
1,middle,middle_layers,104544,22,0.3957687672176309,0.28678833792470154,0.6605257116620753,0.9984743247468605,1.0,0.9899572638038205
1,middle,late_layers,95040,20,0.4009759048821549,0.2815446127946128,0.6786616161616161,0.9977180000762166,0.9,0.988895805488005
1,late,all,240064,0,0.5302549528459077,0.42222490669154894,0.7700821447613969,nan,nan,0.9917920149214242
1,late,early_layers,77440,0,0.5831450154958677,0.4718362603305785,0.797107438016529,nan,nan,0.9949177663711724
1,late,middle_layers,85184,0,0.5085109879789632,0.40492345980465816,0.7644980277986476,nan,nan,0.9924702470146741
1,late,late_layers,77440,0,0.5012832515495868,0.3916451446280992,0.7491993801652893,nan,nan,0.9879202081691012
