rows,hidden,codec,wire_bytes,bf16_bytes,codec_p50_ms,codec_p90_ms,codec_p99_ms,reconstruction_rel_l2,evidence_boundary
32,4096,fp8,131072,262144,0.04185599833726883,0.045001596212387085,0.06579618901014328,0.0027132194954901934,unfused PyTorch sender+receiver local cost
32,4096,int8_row_scaled,131136,262144,0.12505599856376648,0.13847999274730682,0.1524793654680252,0.0006138139287941158,unfused PyTorch sender+receiver local cost
64,4096,fp8,262144,524288,0.038047999143600464,0.0429919995367527,0.055417612195014954,0.0027175149880349636,unfused PyTorch sender+receiver local cost
64,4096,int8_row_scaled,262272,524288,0.12433600425720215,0.14030718803405762,0.15210625529289246,0.0006332858465611935,unfused PyTorch sender+receiver local cost
128,4096,fp8,524288,1048576,0.040672000497579575,0.046406399458646774,0.05935457721352577,0.002713411580771208,unfused PyTorch sender+receiver local cost
128,4096,int8_row_scaled,524544,1048576,0.1236799955368042,0.14031998813152313,0.1895950585603714,0.0006177544710226357,unfused PyTorch sender+receiver local cost
256,4096,fp8,1048576,2097152,0.04057599976658821,0.04408959671854973,0.05188416317105293,0.0027037719264626503,unfused PyTorch sender+receiver local cost
256,4096,int8_row_scaled,1049088,2097152,0.1250239908695221,0.14155839383602142,0.14595679938793182,0.000623471976723522,unfused PyTorch sender+receiver local cost
512,4096,fp8,2097152,4194304,0.036687999963760376,0.04236479848623276,0.05027970299124718,0.0027168053202331066,unfused PyTorch sender+receiver local cost
512,4096,int8_row_scaled,2098176,4194304,0.126351997256279,0.1377599835395813,0.14859136939048767,0.0006274408078752458,unfused PyTorch sender+receiver local cost
1024,4096,fp8,4194304,8388608,0.04699200019240379,0.049222398549318314,0.05899808928370476,0.002708803629502654,unfused PyTorch sender+receiver local cost
1024,4096,int8_row_scaled,4196352,8388608,0.14308799803256989,0.14844480156898499,0.1583852916955948,0.0006242957897484303,unfused PyTorch sender+receiver local cost
2048,4096,fp8,8388608,16777216,0.07731200009584427,0.08032640069723129,0.0841808095574379,0.002712029265239835,unfused PyTorch sender+receiver local cost
2048,4096,int8_row_scaled,8392704,16777216,0.29185599088668823,0.29360318183898926,0.29640159010887146,0.0006240223883651197,unfused PyTorch sender+receiver local cost
4096,4096,fp8,16777216,33554432,0.1531199961900711,0.15566718578338623,0.15974080562591553,0.0027105379849672318,unfused PyTorch sender+receiver local cost
4096,4096,int8_row_scaled,16785408,33554432,0.5798400044441223,0.5816096067428589,0.5844054222106934,0.0006242284434847534,unfused PyTorch sender+receiver local cost
