active_experts,active_src_dst_pairs,backend,ep_size,expert_entropy,expert_hhi,expert_load_max,expert_load_max_over_mean,expert_load_mean,fanout_density,frac_f1,frac_f2,frac_f3,frac_f4,frac_full_fanout,layer_id,mean_fanout,median_fanout,num_experts,num_tokens,p90_fanout,p99_fanout,phase,placement_hash,rank_load_cv,rank_load_max,rank_load_max_over_mean,rank_load_mean,request_id,route_hash,run_id,source_ep_rank,step_id,top_k,workload_id
82,4,allgather_reducescatter,4,3.92332565658347,0.02613210678100586,132,5.28515625,24.975609756097562,0.89453125,0.0,0.00390625,0.4140625,0.58203125,0.58203125,0,3.578125,4.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.25835938681206505,642,1.25390625,512.0,dp1-r0,706bca93aa012d8c7dd12544ff87e81a16a99e07a6ba79369f62ea59fb19f41b,profile-r1-agrs,2,0,8,text512_c2
85,4,allgather_reducescatter,4,4.057228877611896,0.021619796752929688,113,4.68994140625,24.094117647058823,0.8837890625,0.0,0.0,0.46484375,0.53515625,0.53515625,1,3.53515625,4.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.31381559013117083,648,1.265625,512.0,dp1-r0,7894372b70a3abf0994094d619060007fc18a18c3f4aff92d2b2a566f1ea078e,profile-r1-agrs,2,0,8,text512_c2
78,4,allgather_reducescatter,4,3.780459044017194,0.030660152435302734,146,5.560546875,26.256410256410255,0.841796875,0.0,0.06640625,0.5,0.43359375,0.43359375,2,3.3671875,3.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.46413129816731447,891,1.740234375,512.0,dp1-r0,3cabaf97da793df8877e801275da2cd1917f6ce030e83108febbac5e3e1c8015,profile-r1-agrs,2,0,8,text512_c2
83,4,allgather_reducescatter,4,3.96355230109447,0.02560567855834961,149,6.03857421875,24.674698795180724,0.9169921875,0.0,0.0234375,0.28515625,0.69140625,0.69140625,3,3.66796875,4.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.16274934858200565,638,1.24609375,512.0,dp1-r0,46a480ac39ed9977e299cb2c1816c8fba8439d11ba51e194e1774d856bac94e4,profile-r1-agrs,2,0,8,text512_c2
85,4,allgather_reducescatter,4,3.65046134546933,0.04190969467163086,224,9.296875,24.094117647058823,0.900390625,0.0,0.0,0.3984375,0.6015625,0.6015625,4,3.6015625,4.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.23880497643989945,664,1.296875,512.0,dp1-r0,20a61c8c6b27bf245e28954e0a2beb5a4c5077e9f91bf0e566a405257a5e79cd,profile-r1-agrs,2,0,8,text512_c2
76,4,allgather_reducescatter,4,3.573355391253415,0.044455528259277344,206,7.64453125,26.94736842105263,0.849609375,0.0,0.01171875,0.578125,0.41015625,0.41015625,5,3.3984375,3.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.40170088583991237,704,1.375,512.0,dp1-r0,3893aafaae253029bce0c247d1a0c5ec467fc22b499ed1cf8503167fa99a382c,profile-r1-agrs,2,0,8,text512_c2
83,4,allgather_reducescatter,4,3.8231780316406936,0.030793190002441406,182,7.3759765625,24.674698795180724,0.962890625,0.0,0.0,0.1484375,0.8515625,0.8515625,6,3.8515625,4.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.13088852287317584,595,1.162109375,512.0,dp1-r0,42a54030e7a62203cc045398a869c1fcc5d060de7648d4a710e89a5b24d3bd6b,profile-r1-agrs,2,0,8,text512_c2
91,4,allgather_reducescatter,4,3.8610354243864125,0.029538631439208984,159,7.064941406249999,22.505494505494507,0.908203125,0.0,0.0390625,0.2890625,0.671875,0.671875,7,3.6328125,4.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.277412513482573,742,1.44921875,512.0,dp1-r0,d4dae393432cf6710fa6ea41c858b8d2d2c1510262f39aa92d6cd626b19fc2c8,profile-r1-agrs,2,0,8,text512_c2
86,4,allgather_reducescatter,4,3.8349352647949235,0.029966354370117188,163,6.8447265625,23.813953488372093,0.9404296875,0.0,0.00390625,0.23046875,0.765625,0.765625,8,3.76171875,4.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.09665502368483299,573,1.119140625,512.0,dp1-r0,771c6eb2d4f2a189e273259684513b5f3d6fa2530fc5cf21932f53d07034ea95,profile-r1-agrs,2,0,8,text512_c2
95,4,allgather_reducescatter,4,4.054432869106899,0.02527904510498047,185,8.58154296875,21.557894736842105,0.91796875,0.0,0.02734375,0.2734375,0.69921875,0.69921875,9,3.671875,4.0,128,256,4.0,4.0,prefill,bc846e9db6f8fdff9a9d7423e6f72977c773f112014b6e3b38059df6e0f2c2b4,0.11914862934177395,617,1.205078125,512.0,dp1-r0,21cf5582c57c29091dfb6466fe56277d680ed4a7c4c7775278270477a52e8232,profile-r1-agrs,2,0,8,text512_c2
