threshold,correct,accuracy,total_nfe,mean_nfe,total_blocks,actual_ep2_dispatch_ms,actual_ep2_expert_ms,actual_ep2_combine_ms,actual_ep2_stage_ms,simulated_ep4_dispatch_ms,simulated_ep4_expert_ms,simulated_ep4_combine_ms,simulated_ep4_stage_ms,ep2_mean_max_mean_load,ep2_mean_cv,ep2_remote_bytes,ep2_mean_fanout,ep4_mean_max_mean_load,ep4_mean_cv,ep4_remote_bytes,ep4_mean_fanout
0.95,31,0.96875,3144,98.25,232,9893.5069770962,66723.19060921669,7354.951391201466,84058.82376674935,9940.540474276588,48490.26042044163,5495.210108214557,63926.01100293081,1.1283033766418562,0.12830337664185607,398091235328,1.969013752256812,1.3511175457620617,0.2539568325017193,943577042944,3.103279226343131
0.8,31,0.96875,1835,57.34375,206,5662.081952482462,38388.285029649734,4170.029823902994,48266.685505360365,5746.760317376104,28168.82056260109,3172.6696345263654,37088.25051450382,1.1303480300335567,0.13034803003355677,225217298432,1.9691941842401346,1.3536849163119438,0.2553749116236476,533703962624,3.1034036490554335
0.6,29,0.90625,1417,44.28125,207,4450.649663060904,29775.806082487106,3270.3390735946596,37522.40800658241,4444.997071060695,21768.912883222103,2454.5535261994964,28668.463480482435,1.1300417930791573,0.13004179307915728,174902702080,1.969095353713914,1.3522155345713116,0.25492559005332727,414473363456,3.1033057946573726
