block,policy,workload,requests,e2e_mean_reduction_pct,paired_request_reduction_median_pct,paired_request_reduction_p10_pct,paired_request_reduction_p90_pct,output_text_exact_fraction,output_prefix_32char_exact_fraction
0,layered4,heterogeneous_bursty,48,-1.3036525532201138,-1.5555733622033885,-3.2322156932902524,0.17228690406967867,0.4791666666666667,1
0,layered4,heterogeneous_steady,48,-1.6217834556929267,-1.6906735757697744,-4.552026140994864,0.5368809736296678,0.5,1
0,layered12,heterogeneous_bursty,48,-69.1298820691393,-70.53831137781566,-88.9137502198707,-46.61639778388371,0.3125,1
0,layered12,heterogeneous_steady,48,-6.978109701639945,-6.6211813141349385,-15.795390541297271,-0.6616870604256148,0.4375,1
0,layered24,heterogeneous_bursty,48,-31.905262335797225,-32.39732401456542,-70.74580119856192,0.5641565302646927,0.4375,1
0,layered24,heterogeneous_steady,48,-5.40461153829197,-4.717454868924564,-21.87199176565761,3.4691408812589195,0.5208333333333334,1
1,layered12,heterogeneous_bursty,48,-6.033973789080949,-6.3206469527593345,-23.16653691816007,8.621161218355043,0.3541666666666667,1
1,layered12,heterogeneous_steady,48,-5.178914940142931,-5.059084631720168,-12.677351959725739,-1.9899305523907984,0.3958333333333333,1
1,layered4,heterogeneous_bursty,48,1.1476542495854503,2.2498689514659054,-10.030876455200348,9.648934136616331,0.4791666666666667,1
1,layered4,heterogeneous_steady,48,-6.214447346284047,-5.6143255260821086,-10.266849037702405,-3.2409972922905594,0.4791666666666667,1
1,layered24,heterogeneous_bursty,48,-34.813864905788435,-35.04403599191056,-77.98519362243509,3.298762489655987,0.4166666666666667,1
1,layered24,heterogeneous_steady,48,-34.015911440341526,-38.12158577099437,-55.79980142087036,-16.756518227144202,0.3958333333333333,1
2,layered24,heterogeneous_steady,48,-6.097159620593562,-10.099907009577135,-33.4803829398097,13.91554143664516,0.4375,1
2,layered24,heterogeneous_bursty,48,-0.3719585071671583,-1.647913782994026,-46.776180789990214,27.935108888592392,0.4166666666666667,1
2,layered12,heterogeneous_steady,48,38.15410052923293,37.59691384050511,30.834705068355987,45.35878188902921,0.3125,1
2,layered12,heterogeneous_bursty,48,22.6948310442035,20.078846981434456,-2.853543270840022,32.88254613099711,0.3541666666666667,1
2,layered4,heterogeneous_steady,48,39.53805841544955,40.053045115251955,30.799040192295063,45.924441750565485,0.25,1
2,layered4,heterogeneous_bursty,48,31.785801659691572,29.361185129083207,15.40488196151114,39.146162211518266,0.4791666666666667,1
