hypothesis,experiment,waves_A,waves_B,B_vs_A_median_pct,bootstrap_p2_5_pct,bootstrap_p97_5_pct
H33,metadata_host_path_control,108,108,91.77548864881844,91.09586283900518,92.98701345406496
H38,metadata_step_recurrence,312,313,770.0021760343844,766.9285746776261,771.9576063779965
H43,pinned_vs_unpinned_dp,330,333,-0.15571490786128184,-0.3662349712376839,0.07474823325695594
H45,common_regime_transition_repeat,562,561,-0.16671509666287276,-0.6951213182308397,0.48509218220700256
H46,turnover_repeat,49,50,89.6171171874118,30.155273696511788,169.49475081870315
H48,mixed_phase_repeat,27,26,-17.13067409359391,-18.043893526930425,-16.833290507708565
