policy,dataset,observations,independent_engine_runs,cohort_repetitions,unique_requests,unique_images,accuracy_percent,paired_quality_delta_pp,quality_delta_95ci_pp,e2e_ms_mean,e2e_ms_p50,e2e_ms_p90,e2e_ms_p99,paired_e2e_reduction_median_percent,paired_e2e_reduction_95ci_percent,paired_e2e_ci_unit,paired_timing_cohort_units,paired_e2e_image_bootstrap95ci_percent,aggregate_request_latency_reduction_percent,ttft_ms_p50,tpot_ms_p50,itl_ms_p50,itl_ms_p99,output_tokens_mean,cohort_throughput_output_tokens_s,cohort_throughput_requests_s,fixed_output,quality_metric_interpretable,itl_exact_request_fraction,timing_contract,instrumented,scheduler_context_diagnostic,batch_label_semantics,image_cache_contract,frontend_e2e_ms_p50,frontend_poll_delay_ms_p99,paired_frontend_e2e_reduction_percent,run,batch_per_dp,request_cap,status
modes_official_target70,chartqa,384,1,3,128,128,86.71875,-1.5625,"[-5.46875, 2.34375]",1663.908862075914,1614.6363532170653,2097.670177835971,3142.0376248471443,-9.912776082400054,"[-14.215374727862917, -6.719288439719007]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-10.875043158155066, -8.687749302106429]",-13.006797197710295,902.6395475957543,212.0928491349332,196.34155789390206,575.7850338704884,4.609375,49.40214761057958,10.717754057888452,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,1616.4827661123127,3.550746012479067,-9.915609467379882,ep_clean_renderer_chartqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
modes_official_target85,chartqa,384,1,3,128,128,83.59375,-4.6875,"[-8.59375, -0.78125]",1639.3627001501347,1608.9426595717669,2085.279512265697,3114.150518686512,-11.55647754329986,"[-19.03786844419396, -7.024420215355143]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-13.066932252566975, -10.34165231403048]",-11.33970880966726,870.5203980207443,211.33743420941755,196.73321908339858,592.3530170693994,4.6015625,52.24612383966779,11.35399635225378,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,1610.3903071489185,3.7808301858603954,-11.54948020416391,ep_clean_renderer_chartqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
sere_s2_r05_official,chartqa,384,1,3,128,128,89.0625,0.78125,"[-2.604166666666667, 4.427083333333334]",1616.4018677324445,1535.9662249684334,2015.66737270914,3393.996817031904,-7.598283799252014,"[-11.283754504801003, -3.2501053151050896]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-8.13694699211357, -6.889981875737739]",-9.780290387387014,868.8761100638658,204.31747077964246,186.42708309926093,558.2780940458179,4.807291666666667,41.089918605543176,8.547415354565862,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,1537.5057589262724,3.85315902531147,-7.605719000790079,ep_clean_renderer_chartqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
sere_s2_r07_official,chartqa,384,1,3,128,128,89.32291666666666,1.0416666666666665,"[-1.3020833333333335, 3.6458333333333335]",1685.0680498537258,1637.2533650137484,2099.7252773027867,4255.013663140127,-11.284851763517679,"[-20.78367748186221, -7.277695707777743]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-13.840856319848749, -10.40665294549611]",-14.443854296554193,926.1620461475104,209.77706788107753,187.773406971246,571.1934389546514,4.7421875,42.54506053373861,8.971610788004188,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,1638.3142734412104,3.5803732462227345,-11.288350418819205,ep_clean_renderer_chartqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
sere_s4_r05_official,chartqa,384,1,3,128,128,88.54166666666666,0.26041666666666663,"[-1.5625, 2.34375]",1613.7809897421296,1554.9839881714433,2034.1561581473798,3071.062748990953,-8.995495427633626,"[-11.271835367244265, -5.268361527509291]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-9.565309971122948, -8.24231508493305]",-9.602289636094685,879.6313176862895,198.91965645365417,186.64921913295984,582.1692957542837,4.6328125,51.95438318014948,11.214436841583698,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,1556.1662933323532,3.4088389948010445,-9.00834502053055,ep_clean_renderer_chartqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
vanilla,chartqa,384,1,3,128,128,88.28125,0.0,"[0.0, 0.0]",1472.3971507349536,1443.839366780594,1829.4190453831106,2685.7901677209893,0.0,"[0.0, 0.0]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[0.0, 0.0]",0.0,837.1359009761363,172.97327029518783,160.5201275087893,529.5460340566933,4.640625,57.457019449837574,12.381310588517188,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,1445.3079481609166,2.944112289696932,0.0,ep_clean_renderer_chartqa_b16_run0_20260908,16,128,CLEAN_REQUEST_TIMING
modes_official_target70_metadata_cached,chartqa,384,1,3,128,128,86.71875,-1.5625,"[-5.46875, 2.34375]",1267.506062387838,1241.7002560105175,1669.1006695851684,2126.488630450332,-3.565706325830864,"[-8.190075457861834, 0.088976574805121]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-4.1536736334898405, -2.873954324450656]",-2.361023552072572,698.3388834632933,154.85001215711236,151.70203987509012,503.1962632201612,4.609375,65.82380257444837,14.280418185643034,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,1242.8578140679747,2.177843037061394,-3.551972138172599,ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,16,128,CLEAN_REQUEST_TIMING
modes_official_target85_metadata_cached,chartqa,384,1,3,128,128,83.59375,-4.6875,"[-8.59375, -0.78125]",1294.9680492674815,1267.2526866663247,1705.2390619181097,2263.3018290810314,-1.7774490490092387,"[-10.924921444059233, 1.6317065359204574]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[-2.910576935155626, -0.952116719556276]",-4.578793682874327,711.6499543190002,160.66929744556546,152.53241499885917,515.2583490125835,4.6015625,67.74160554965886,14.721435501453879,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,1268.3411515317857,3.0905050225555897,-1.7781037480665507,ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,16,128,CLEAN_REQUEST_TIMING
vanilla,chartqa,384,1,3,128,128,88.28125,0.0,"[0.0, 0.0]",1238.270211066265,1197.5472741760314,1615.7390753272919,2248.710734434429,0.0,"[0.0, 0.0]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,12,"[0.0, 0.0]",0.0,715.8631766214967,141.7684173793532,140.25323512032628,542.4737483263016,4.640625,69.65772669077055,15.010419219559983,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,1199.0990641061217,4.425243008881807,0.0,ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,16,128,CLEAN_REQUEST_TIMING
modes_official_target70,chartqa,384,1,3,128,128,86.71875,-3.125,"[-7.03125, 0.0]",797.5239062858842,777.6209826115519,1154.5937535818666,1808.5248987888917,-13.862010868967067,"[-14.867898803520298, -12.938492488452535]",PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE,192,"[-14.93338070607184, -12.781532381345668]",-14.093261769582055,281.3936094753444,131.96862139739096,126.70637527480721,163.4484075382352,4.6171875,9.405720239585515,2.037110305697032,False,True,1.0,HOST_SUBMISSION_TO_ENGINE_TOKEN_READY; CLIENT_RECEIPT_SEPARATE,False,False,OFFERED_COHORT_CAP_PER_DP_NOT_FIXED_SCHEDULED_BATCH,cold,778.3760726451874,1.329834745265544,-13.841328200179415,ep_clean_renderer_chartqa_b1_run0_20260908,1,128,CLEAN_REQUEST_TIMING
