oracle,selected_policy,model_cost_ms_on_canonical_work,request_bct_gain_percent,evidence
best_static_clean,mini32,6273.44298362732,0.0,three-restart clean median baseline
naive_phase_dynamic_EXCLUDED,"{""early"": 32, ""late"": 16, ""middle"": 32}",5463.878999969844,12.904620090918302,EXCLUDED: phase populations have different ready-pool sizes across static runs
perfect_feasible_per_wave_dynamic_PRIMARY,"{""default"": 32, ""strict_split_exceptions"": {""37"": 16}}",6232.662440044259,0.6500504378455677,same captured mini32 ready set partitioned; no ready requests are invented
epoch_like_compaction_sensitivity,"{""early"": 16, ""late"": 32, ""middle"": 32}",4142.934989959672,0.22395168764472936,offline sensitivity; measured live ratio + 53.06% prior MLP share; not live speedup
