topology,submitted_batch,mini_batch_size,repeat,sequence_id,completion_model_time_ms,completion_wave_index,evidence,observer_corrected_completion_ms
ep4,32,16,shape,5,108.6200942993164,0,observer-heavy model-forward completion proxy,84.53344806145034
ep4,32,16,shape,6,108.6200942993164,0,observer-heavy model-forward completion proxy,84.53344806145034
ep4,32,16,shape,0,325.8992004394531,2,observer-heavy model-forward completion proxy,253.63063171074862
ep4,32,16,shape,4,325.8992004394531,2,observer-heavy model-forward completion proxy,253.63063171074862
ep4,32,16,shape,3,564.3915252685547,4,observer-heavy model-forward completion proxy,439.23697539924126
ep4,32,16,shape,2,940.7831726074219,7,observer-heavy model-forward completion proxy,732.1632886779447
ep4,32,16,shape,1,1178.7584381103516,9,observer-heavy model-forward completion proxy,917.3672316138362
ep4,32,16,shape,26,1539.4564514160156,12,observer-heavy model-forward completion proxy,1198.0799944809053
ep4,32,16,shape,8,1654.7718124389648,13,observer-heavy model-forward completion proxy,1287.824025220365
ep4,32,16,shape,15,1763.1352081298828,14,observer-heavy model-forward completion proxy,1372.1576979214599
ep4,32,16,shape,20,1763.1352081298828,14,observer-heavy model-forward completion proxy,1372.1576979214599
ep4,32,16,shape,28,1979.8603897094727,16,observer-heavy model-forward completion proxy,1540.8237904971313
ep4,32,16,shape,21,2088.582504272461,17,observer-heavy model-forward completion proxy,1625.4366356969836
ep4,32,16,shape,7,2088.582504272461,17,observer-heavy model-forward completion proxy,1625.4366356969836
ep4,32,16,shape,13,2088.582504272461,17,observer-heavy model-forward completion proxy,1625.4366356969836
ep4,32,16,shape,14,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,24,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,9,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,10,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,11,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,12,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,16,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,17,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,18,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,19,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,22,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,23,2196.857162475586,18,observer-heavy model-forward completion proxy,1709.701248562844
ep4,32,16,shape,25,2304.9258041381836,19,observer-heavy model-forward completion proxy,1793.8055293221933
ep4,32,16,shape,27,2304.9258041381836,19,observer-heavy model-forward completion proxy,1793.8055293221933
ep4,32,16,shape,29,4962.88493347168,42,observer-heavy model-forward completion proxy,3862.3587878916337
ep4,32,16,shape,30,4962.88493347168,42,observer-heavy model-forward completion proxy,3862.3587878916337
ep4,32,16,shape,31,8138.267127990723,69,observer-heavy model-forward completion proxy,6333.595878479568
ep4,32,1,shape,5,1411.0233993530273,17,observer-heavy model-forward completion proxy,1303.9923444322544
ep4,32,1,shape,6,2290.3539657592773,28,observer-heavy model-forward completion proxy,2116.622615017971
ep4,32,1,shape,0,2366.9834060668945,29,observer-heavy model-forward completion proxy,2187.439444536941
ep4,32,1,shape,1,2444.1420974731445,30,observer-heavy model-forward completion proxy,2258.745379609523
ep4,32,1,shape,2,2678.5731658935547,33,observer-heavy model-forward completion proxy,2475.3940323940583
ep4,32,1,shape,3,2756.689872741699,34,observer-heavy model-forward completion proxy,2547.585314089986
ep4,32,1,shape,4,2834.550003051758,35,observer-heavy model-forward completion proxy,2619.5394814747124
ep4,32,1,shape,26,17809.360794067383,221,observer-heavy model-forward completion proxy,16458.458552384018
ep4,32,1,shape,8,18212.224098205566,226,observer-heavy model-forward completion proxy,16830.76326730919
ep4,32,1,shape,15,19610.030769348145,242,observer-heavy model-forward completion proxy,18122.541418544668
ep4,32,1,shape,9,21979.659896850586,272,observer-heavy model-forward completion proxy,20312.425897302186
ep4,32,1,shape,20,22527.330490112305,279,observer-heavy model-forward completion proxy,20818.55376251789
ep4,32,1,shape,21,22606.33599090576,280,observer-heavy model-forward completion proxy,20891.566420032956
ep4,32,1,shape,13,23160.982543945312,287,observer-heavy model-forward completion proxy,21404.141094103514
ep4,32,1,shape,14,23238.60196685791,288,observer-heavy model-forward completion proxy,21475.872812587902
ep4,32,1,shape,24,23482.434295654297,291,observer-heavy model-forward completion proxy,21701.209607301134
ep4,32,1,shape,7,23818.145652770996,295,observer-heavy model-forward completion proxy,22011.456085013593
ep4,32,1,shape,10,23895.97534942627,296,observer-heavy model-forward completion proxy,22083.382127242585
ep4,32,1,shape,11,23973.821495056152,297,observer-heavy model-forward completion proxy,22155.32337073399
ep4,32,1,shape,12,24052.61944580078,298,observer-heavy model-forward completion proxy,22228.144221596605
ep4,32,1,shape,16,24130.577751159668,299,observer-heavy model-forward completion proxy,22300.189117109683
ep4,32,1,shape,17,24217.2989654541,300,observer-heavy model-forward completion proxy,22380.33222429817
ep4,32,1,shape,18,24296.447608947754,301,observer-heavy model-forward completion proxy,22453.47716663948
ep4,32,1,shape,19,24374.792022705078,302,observer-heavy model-forward completion proxy,22525.878882879926
ep4,32,1,shape,22,24455.38981628418,303,observer-heavy model-forward completion proxy,22600.363052209414
ep4,32,1,shape,23,24532.935256958008,304,observer-heavy model-forward completion proxy,22672.026400266335
ep4,32,1,shape,25,24615.46245574951,305,observer-heavy model-forward completion proxy,22748.293622681573
ep4,32,1,shape,27,24693.47762298584,306,observer-heavy model-forward completion proxy,22820.391066900014
ep4,32,1,shape,28,24771.020820617676,307,observer-heavy model-forward completion proxy,22892.052342057515
ep4,32,1,shape,29,54925.88376617432,683,observer-heavy model-forward completion proxy,50759.563572870014
ep4,32,1,shape,30,55013.37230682373,684,observer-heavy model-forward completion proxy,50840.41580202844
ep4,32,1,shape,31,80485.30331420898,1000,observer-heavy model-forward completion proxy,74380.21184422486
ep4,32,2,shape,5,841.3232955932617,7,observer-heavy model-forward completion proxy,495.4918503057299
