topology,submitted_batch,mini_batch_size,repeat,trace_bct_seconds,clean_bct_median_seconds,observer_tax_percent,measured_waves,model_forward_sum_seconds
ep4,32,16,shape,10.179754257202148,6.889585971832275,47.755674997330175,77,8.852678970336914
ep4,32,1,shape,93.27983069419861,81.60991024971008,14.29963641521097,1097,88.3084118347168
ep4,32,2,shape,69.25557661056519,39.26115584373474,76.3971923959975,545,66.66371001434327
ep4,32,32,shape,9.005535364151001,6.273442983627319,43.55012690246816,65,7.735917953491211
ep4,32,4,shape,25.977491855621338,21.038294792175293,23.477173945119656,282,23.84342618560791
ep4,32,8,shape,14.569119691848755,10.78286099433899,35.11367437174191,137,13.057486999511719
