topology,submitted_batch,mini_batch_size,physical_m_full_wave,restarts,bct_median_seconds,bct_min_seconds,bct_max_seconds,throughput_median_tokens_per_second,nfe_median,peak_hbm_max_gib_per_rank,gpu_util_median_percent
ep4,32,1,32,3,81.60991024971008,80.50213575363159,84.58304286003113,32.64488778313654,1129.0,56.8642578125,34.0
ep4,32,2,64,3,39.26115584373474,38.649677991867065,39.44021415710449,67.86090836828994,561.0,56.8642578125,40.0
ep4,32,4,128,3,21.038294792175293,20.81142234802246,28.825408458709717,126.70156558636712,290.0,57.8701171875,46.0
ep4,32,8,256,3,10.78286099433899,10.657126903533936,12.618424415588379,247.16388210883463,141.0,61.6572265625,47.0
ep4,32,16,512,5,6.889585971832275,6.393250226974487,10.28616452217102,386.91459957586176,79.0,67.9677734375,10.0
ep4,32,32,1024,5,6.273442983627319,5.890514135360718,8.73713731765747,424.14541675242634,66.0,79.1162109375,10.0
