canonical_wave,phase,ready_requests,physical_rows,live_ratio,mini1_partition_cost_ms,mini2_partition_cost_ms,mini4_partition_cost_ms,mini8_partition_cost_ms,mini16_partition_cost_ms,mini32_partition_cost_ms,winner,best_cost_ms
0,middle,31,992,0.4969758064516129,2252.1234777351224,1163.8395327018181,594.48497487615,312.92904861613664,170.50063400540117,116.29794004217464,32,116.29794004217464
1,middle,31,992,0.44455645161290325,2252.027644915681,1163.5473907399448,594.5137331749924,312.92904861613664,170.50063400540117,114.61711442105711,32,114.61711442105711
2,middle,31,992,0.4223790322580645,2251.9939497240894,1163.4257598430795,594.3017147709563,311.8735703630145,170.81676947952752,114.31117678646997,32,114.31117678646997
3,middle,31,992,0.3971774193548387,2251.9613050835646,1163.3041289462144,594.5137331749924,311.9768645541594,170.81676947952752,114.67466643280541,32,114.67466643280541
4,middle,31,992,0.3840725806451613,2251.896015802515,1163.1336178812064,594.7832681767131,311.9768645541594,170.81676947952752,114.43457146743191,32,114.43457146743191
5,middle,30,960,0.3927083333333333,2179.237193052554,1090.5084903228371,588.2282775964092,319.5919860517545,170.86231189080672,111.5749999664755,32,111.5749999664755
6,middle,30,960,0.42291666666666666,2179.137158028846,1090.6551308272665,588.2570358952515,319.6952802428994,170.86231189080672,117.76997721043709,32,117.76997721043709
7,middle,30,960,0.35625,2179.105563939387,1090.4846197622583,588.2570358952515,319.6952802428994,170.86231189080672,114.5052152935061,32,114.5052152935061
8,late,30,960,0.328125,2179.106614490454,1090.4846197622583,588.2570358952515,319.6952802428994,169.90470117576965,114.38728997164816,32,114.38728997164816
9,middle,30,960,0.503125,2179.2961790272043,1091.1416544147269,587.8371116978233,320.6474643048766,170.86231189080672,120.66863854263686,32,120.66863854263686
10,middle,30,960,0.48333333333333334,2179.296179027204,1091.19053458287,587.8658699966658,320.6474643048766,169.90470117576965,113.27493122211021,32,113.27493122211021
11,middle,28,896,0.42299107142857145,2033.9837862826153,1018.4038034387922,515.2496499175962,303.0419938449502,174.03058398574936,119.01289525388093,32,119.01289525388093
12,middle,28,896,0.5089285714285714,2034.0806696531238,1018.4765541675142,515.1921333199114,302.9386996538052,174.98819470078644,109.26422049326298,32,109.26422049326298
13,middle,28,896,0.5011160714285714,2034.0796191020572,1018.5254343356571,514.9801149158753,302.96745795264764,174.98819470078644,109.42111190520806,32,109.42111190520806
14,middle,28,896,0.5200892857142857,2034.1122637425822,1018.6959454006653,514.9801149158753,302.8641637615027,174.98819470078644,110.04638834159874,32,110.04638834159874
15,middle,27,864,0.5532407407407407,1961.4534409926214,1018.9242441131163,520.5518786705969,308.22390911218827,164.0048594829205,106.60958909520386,32,106.60958909520386
16,middle,27,864,0.5416666666666666,1961.4871361842129,1018.7537330481081,520.3398602665609,309.2793873653104,164.0048594829205,106.82285697791335,32,106.82285697791335
17,middle,27,864,0.4375,1961.3586587242464,1018.1694491243616,520.6093952682817,307.27172505021105,163.84316173612854,107.35000667743796,32,107.35000667743796
18,middle,27,864,0.3958333333333333,1961.2965210963966,1017.8284269943453,520.8501719711601,308.3272033033332,163.84316173612854,107.17800647032094,32,107.17800647032094
19,middle,25,800,0.35,1816.0146718901997,945.2122069152757,514.4519929750115,300.84478775522007,162.61872174628036,102.67577112081888,32,102.67577112081888
20,middle,23,736,0.3546195652173913,1670.7654673245277,872.4743559393411,447.1866107673278,236.99355413871297,169.62162324895132,104.97004352379442,32,104.97004352379442
21,late,21,672,0.31845238095238093,1525.4183288372806,799.7365049634064,441.0004501752153,226.79949864777882,160.48304601113935,96.38498109961218,32,96.38498109961218
22,late,17,544,0.3014705882352941,1234.8230363354278,653.9197808815209,367.336888971383,224.80599908665144,157.5319357349749,89.45290253640262,32,89.45290253640262
23,late,14,448,0.28794642857142855,1016.8823643792699,508.55680234721694,293.6356619894086,167.41111452347224,98.2600803359626,98.2600803359626,32,98.2600803359626
24,late,14,448,0.31919642857142855,1016.9139584687284,508.67843324408204,293.6356619894086,167.41111452347224,84.31116670460477,84.31116670460477,32,84.31116670460477
25,late,14,448,0.20535714285714285,1016.88236437927,508.43517145035173,293.66442028825105,167.5144087146172,84.99789299916401,84.99789299916401,32,84.99789299916401
26,late,14,448,0.21875,1016.9139584687284,508.72731341222504,293.66442028825105,167.41111452347224,84.3314850024527,84.3314850024527,32,84.3314850024527
27,late,11,352,0.17897727272727273,798.9416924231122,435.82785885058195,226.40794555986713,155.1941477130738,78.03319626718032,78.03319626718032,32,78.03319626718032
28,late,8,256,0.2109375,581.0663097480043,290.5865112131432,147.3558807065069,86.51469353068155,86.51469353068155,86.51469353068155,32,86.51469353068155
29,late,8,256,0.1484375,581.0336651074792,290.5865112131432,147.3846390053493,74.21464317979498,74.21464317979498,74.21464317979498,32,74.21464317979498
30,late,5,160,0.1875,363.1582824323714,217.97919861337343,146.3174470610439,80.33058076023427,80.33058076023427,80.33058076023427,32,80.33058076023427
31,late,4,128,0.203125,290.5331548740021,145.232440158139,75.71885923572707,75.71885923572707,75.71885923572707,75.71885923572707,32,75.71885923572707
32,late,3,96,0.125,217.90802731563284,145.24134763743876,79.50808566909316,79.50808566909316,79.50808566909316,79.50808566909316,32,79.50808566909316
33,late,2,64,0.140625,145.25025511673851,69.98646974304312,69.98646974304312,69.98646974304312,69.98646974304312,69.98646974304312,32,69.98646974304312
34,late,1,32,0.125,62.590058678253506,62.590058678253506,62.590058678253506,62.590058678253506,62.590058678253506,62.590058678253506,32,62.590058678253506
35,late,1,32,0.0,131.12797113742297,131.12797113742297,131.12797113742297,131.12797113742297,131.12797113742297,131.12797113742297,32,131.12797113742297
36,early,32,1024,1.0,2325.015092730487,1166.533792655085,587.3822760076308,308.37706768676316,172.05223327686932,141.09232673329632,32,141.09232673329632
37,early,32,1024,0.8076171875,2324.9908524984935,1165.8517483950525,587.8638294133876,307.32158943364095,171.8905355300774,212.67107911313855,16,171.8905355300774
38,middle,32,1024,0.6591796875,2324.8665772427926,1165.0969534062974,588.1333644151084,306.3694053716638,171.8905355300774,122.86139370106649,32,122.86139370106649
39,middle,30,960,0.6458333333333334,2179.6163221260545,1092.3591024303628,587.2980416943817,321.59964836685384,171.02400963759868,121.20542767822941,32,121.20542767822941
40,middle,30,960,0.559375,2179.5225904087456,1091.8964494034813,587.3267999932241,321.59964836685384,171.02400963759868,124.22509548707646,32,124.22509548707646
41,middle,28,896,0.515625,2034.209147113091,1018.9880873625386,514.9801149158753,302.8641637615027,175.1498924475784,109.83590463490373,32,109.83590463490373
42,middle,25,800,0.46875,1816.174743439625,945.6748599421572,514.1824579732908,301.9002660083422,162.61872174628036,104.47019112332735,32,104.47019112332735
43,middle,24,768,0.4309895833333333,1743.4895793555386,872.7087102537716,441.7981071177999,229.27513844997299,162.00650175135627,102.57794136272771,32,102.57794136272771
44,middle,22,704,0.3664772727272727,1598.143491419358,799.6787173159637,440.99154269591554,243.4499031920409,177.23674474654632,108.97232747990446,32,108.97232747990446
45,late,20,640,0.321875,1452.8279470215693,726.7703552750208,368.375322616846,225.87319103095683,159.55673839431736,95.24202116214613,32,95.24202116214613
46,late,17,544,0.2959558823529412,1234.888325616478,654.041411778386,367.336888971383,224.80599908665144,157.5319357349749,89.81065678014821,32,89.81065678014821
47,late,16,512,0.263671875,1162.2305534175837,581.2946533231516,294.7405197118562,152.18087152828218,96.61315979164367,96.61315979164367,32,96.61315979164367
48,late,14,448,0.24330357142857142,1016.88236437927,508.55680234721694,293.66442028825105,167.41111452347224,85.22378866686363,85.22378866686363,32,85.22378866686363
49,late,13,416,0.18269230769230768,944.1919475398507,508.4440789296515,293.6733277675508,150.76070997921022,97.66400062537716,97.66400062537716,32,97.66400062537716
50,late,12,384,0.14322916666666666,871.5668199814814,435.8189513712822,221.04820020918154,149.83440236238823,89.12377580914372,89.12377580914372,32,89.12377580914372
51,late,8,256,0.171875,581.0336651074792,290.5865112131432,147.3846390053493,75.1242582319582,75.1242582319582,75.1242582319582,32,75.1242582319582
52,late,6,192,0.19791666666666666,435.78340999074067,217.97029113407368,146.30853958174416,91.37232585490362,91.37232585490362,91.37232585490362,32,91.37232585490362
53,late,5,160,0.20625,363.1582824323714,217.97919861337343,146.3174470610439,68.906673478759,68.906673478759,68.906673478759,32,68.906673478759
54,late,4,128,0.1953125,290.5331548740021,145.232440158139,67.72206226811628,67.72206226811628,67.72206226811628,67.72206226811628,32,67.72206226811628
55,late,4,128,0.1171875,290.50051023347703,145.232440158139,68.18657419437281,68.18657419437281,68.18657419437281,68.18657419437281,32,68.18657419437281
56,late,3,96,0.11458333333333333,217.87538267510777,145.24134763743876,65.01691354303878,65.01691354303878,65.01691354303878,65.01691354303878,32,65.01691354303878
57,late,2,64,0.125,145.25025511673851,63.165974767436275,63.165974767436275,63.165974767436275,63.165974767436275,63.165974767436275,32,63.165974767436275
58,late,2,64,0.09375,145.25025511673851,63.65052038688148,63.65052038688148,63.65052038688148,63.65052038688148,63.65052038688148,32,63.65052038688148
59,late,1,32,0.15625,63.04948484299025,63.04948484299025,63.04948484299025,63.04948484299025,63.04948484299025,63.04948484299025,32,63.04948484299025
60,late,1,32,0.125,64.02220788481512,64.02220788481512,64.02220788481512,64.02220788481512,64.02220788481512,64.02220788481512,32,64.02220788481512
61,late,1,32,0.09375,64.32523141517376,64.32523141517376,64.32523141517376,64.32523141517376,64.32523141517376,64.32523141517376,32,64.32523141517376
62,late,1,32,0.0625,64.37409679775686,64.37409679775686,64.37409679775686,64.37409679775686,64.37409679775686,64.37409679775686,32,64.37409679775686
63,late,1,32,0.03125,63.26874179765979,63.26874179765979,63.26874179765979,63.26874179765979,63.26874179765979,63.26874179765979,32,63.26874179765979
64,late,1,32,0.0,64.03834991864132,64.03834991864132,64.03834991864132,64.03834991864132,64.03834991864132,64.03834991864132,32,64.03834991864132
