experiment,sample,layer,policy,repetitions,vision_assignment_drop_pct,all_assignment_drop_pct,max_rank_reduction_pct,dispatch_ms,expert_ms,combine_ms,moe_ms,moe_reduction_pct,projected_ttft_reduction_pct,worst_cosine,worst_rel_l2_pct
deepep_replay_exactbudget_camera_e448_l24_20260911,camera_e448,24,global_semantic_full_0.1,30,11.479591836734695,10.180995475113122,6.641366223908918,0.9320800006389618,2.528559923171997,1.2472959756851196,4.048784017562866,6.098343472476008,3.7926245657782216,0.9808874130249023,19.460029900074005
deepep_replay_exactbudget_camera_e448_l24_20260911,camera_e448,24,global_semantic_full_0.1_ep_refined_s0.05,30,11.479591836734695,10.180995475113122,19.165085388994306,0.9456319808959961,2.354912042617798,0.964576005935669,3.89846408367157,9.584647197315654,5.960793874422057,0.986852765083313,16.166703402996063
deepep_replay_exactbudget_camera_e448_l24_20260911,camera_e448,24,global_semantic_full_0.2,30,19.897959183673468,17.647058823529413,15.749525616698289,0.896367996931076,2.3322240114212036,1.134112000465393,3.785151958465576,12.212645187660865,7.5951737321627215,0.9630072116851807,26.951688528060913
deepep_replay_exactbudget_camera_e448_l24_20260911,camera_e448,24,global_semantic_full_0.2_ep_refined_s0.05,30,19.897959183673468,17.647058823529413,26.375711574952565,0.9189279973506927,2.207632064819336,0.9238079786300659,3.7018239498138428,14.145234827808572,8.797071752153514,0.972999095916748,23.087862133979797
deepep_replay_exactbudget_camera_e448_l24_20260911,camera_e448,24,global_semantic_full_0.3,30,29.464285714285715,26.131221719457017,21.82163187855788,0.8633439838886261,2.190575957298279,1.123408019542694,3.580288052558899,16.963963125068492,10.550068813190116,0.9483380317687988,31.73474371433258
deepep_replay_exactbudget_camera_e448_l24_20260911,camera_e448,24,global_semantic_full_0.3_ep_refined_s0.05,30,29.464285714285715,26.131221719457017,32.25806451612904,0.8858560025691986,2.0667999982833862,0.92671999335289,3.483296036720276,19.213456038912014,11.949052344388807,0.9570698738098145,28.997090458869934
deepep_replay_exactbudget_camera_e448_l24_20260911,camera_e448,24,stock,30,0.0,0.0,0.0,0.9783839881420135,2.7092480659484863,1.2625280022621155,4.311728000640869,0.0,0.0,0.9999999403953552,0.0
deepep_replay_exactbudget_cell_e448_l24_20260911,cell_e448,24,global_semantic_full_0.1,30,11.479591836734695,10.180995475113122,10.317460317460315,1.008080005645752,2.812111973762512,1.6567999720573425,4.436639785766602,6.8887392793372975,4.28418011152926,0.9805036187171936,19.650456309318542
deepep_replay_exactbudget_cell_e448_l24_20260911,cell_e448,24,global_semantic_full_0.1_ep_refined_s0.05,30,11.479591836734695,10.180995475113122,14.920634920634923,0.98990398645401,2.7211999893188477,1.5008960366249084,4.319711923599243,9.342691185620666,5.8103188613412415,0.9840394258499146,17.795756459236145
deepep_replay_exactbudget_cell_e448_l24_20260911,cell_e448,24,global_semantic_full_0.2,30,19.897959183673468,17.647058823529413,16.349206349206348,0.9887040257453918,2.66975998878479,1.6757760047912598,4.255568027496338,10.688871926468158,6.647522959594959,0.9645190834999084,26.40228569507599
deepep_replay_exactbudget_cell_e448_l24_20260911,cell_e448,24,global_semantic_full_0.2_ep_refined_s0.05,30,19.897959183673468,17.647058823529413,27.142857142857146,0.9634400010108948,2.4539040327072144,1.2924000024795532,4.0003838539123535,16.044393507145603,9.97817870260216,0.9700811505317688,24.279704689979553
deepep_replay_exactbudget_cell_e448_l24_20260911,cell_e448,24,global_semantic_full_0.3,30,29.464285714285715,26.131221719457017,24.444444444444446,0.953904002904892,2.4819679260253906,1.6392160058021545,4.0076000690460205,15.892947610888076,9.883992891467551,0.9540863633155823,29.954785108566284
deepep_replay_exactbudget_cell_e448_l24_20260911,cell_e448,24,global_semantic_full_0.3_ep_refined_s0.05,30,29.464285714285715,26.131221719457017,39.20634920634921,0.9194879829883575,2.1761600971221924,1.0999199748039246,3.642880082130432,23.547284999440844,14.64430659724729,0.9614888429641724,27.48717963695526
