case_id,M,active_experts_per_rank,ranks,rank_wall_median,critical_wall_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,correctness,expert_ms_per_assignment,fragmentation_ratio
balanced_rank_A16_M128,128,16,4,0.8835999965667725,0.8858879804611206,0.028224000707268715,0.1852799989283085,0.4428480267524719,0.1268160343170166,True,0.00010811719403136522,0.015625
balanced_rank_A16_M512,512,16,4,0.8760000169277191,0.8942080140113831,0.02659199945628643,0.22499200236052275,0.49241602420806885,0.09110403060913086,True,0.00012021875591017306,0.015625
balanced_rank_A1_M128,128,1,4,6.002079963684082,6.005695819854736,0.06300800293684006,0.41724798921495676,3.1444478034973145,0.33580803871154785,True,0.0007676874520257115,0.0009765625
balanced_rank_A1_M512,512,1,4,0.8804159760475159,0.8854719996452332,0.027264000847935677,0.2240000031888485,0.46560001373291016,0.10422402620315552,True,0.00011367187835276127,0.0009765625
balanced_rank_A2_M128,128,2,4,2.165023922920227,2.1841280460357666,0.03328000009059906,0.2161919977515936,0.9977280497550964,0.2676481008529663,True,0.00024358594964724034,0.001953125
balanced_rank_A2_M512,512,2,4,0.8924640119075775,0.8999360203742981,0.02687999978661537,0.2270079953595996,0.4649600088596344,0.11299198865890503,True,0.00011351562716299668,0.001953125
balanced_rank_A4_M128,128,4,4,2.0975199937820435,2.1057920455932617,0.028736000880599022,0.23033600207418203,1.028544008731842,0.17363202571868896,True,0.0002511093771317974,0.00390625
balanced_rank_A4_M512,512,4,4,0.8729440271854401,0.8791360259056091,0.02627200074493885,0.22076800372451544,0.46691203117370605,0.10249596834182739,True,0.00011399219511076808,0.00390625
balanced_rank_A8_M128,128,8,4,2.0023520588874817,2.0056960582733154,0.027775999158620834,0.1826879996806383,0.9747839570045471,0.15555202960968018,True,0.00023798436450306326,0.0078125
balanced_rank_A8_M512,512,8,4,0.8765439987182617,0.8785600066184998,0.028960000723600388,0.22630399838089943,0.4883839786052704,0.09753596782684326,True,0.00011923436977667734,0.0078125
