phase,stage,logical_layer_invocations,median_critical_ms,p95_critical_ms,sum_critical_ms,share_of_observed_block_sum
all,prepare_attn,3168,0.1624000072479248,0.19705599546432495,529.6978239715099,0.07745636060525962
all,attention,3168,0.6317440271377563,0.7767535895109173,2088.453089892864,0.3053891640049685
all,prepare_mlp,3168,0.2399040013551712,0.5122479975223531,968.3500769287348,0.14159935977905236
all,mlp,3168,1.0097119808197021,1.2747135937213896,3239.377215653658,0.47368586087608117
all,postprocess,3168,0.003008000086992979,0.011796799814328539,12.78320021298714,0.001869254734638326
all,block_critical_sum_ms,3168,2.0444320248207077,2.6784128336934363,6838.661406659754,1.0
early,prepare_attn,608,0.16177599877119064,0.20087519735097883,102.19884791225195,0.07691805991622677
early,attention,608,0.6335999965667725,1.4400143921375224,429.63574463129044,0.32335734328508553
early,prepare_mlp,608,0.24084799736738205,0.6551344126462935,183.6775681078434,0.1382415015198248
early,mlp,608,0.9858399927616119,1.318996828794479,610.6470075845718,0.45959209987751515
early,postprocess,608,0.003008000086992979,0.011516799870878454,2.5125120372977108,0.0018909954013477477
early,block_critical_sum_ms,608,2.026143997674808,3.2578560573398136,1328.6716802732553,1.0
middle,prepare_attn,1184,0.16219200193881989,0.1956319995224475,197.3869118988514,0.07903292663779914
middle,attention,1184,0.6302400231361389,0.7268048226833342,760.4822725653648,0.3044940471423171
middle,prepare_mlp,1184,0.23790399730205536,0.5081183820962903,329.06342443823814,0.13175567332517538
middle,mlp,1184,1.0119839906692505,1.2480863869190215,1206.1264323592186,0.48292817860894466
middle,postprocess,1184,0.003008000086992979,0.010486399894580238,4.468512076418847,0.0017891742857637021
middle,block_critical_sum_ms,1184,2.0451840381138027,2.5351551628438753,2497.527553338092,1.0
late,prepare_attn,1376,0.16289599984884262,0.19483999907970428,230.1120641604066,0.07638670660138076
late,attention,1376,0.6320639848709106,0.7762160003185272,898.335072696209,0.298206258233993
late,prepare_mlp,1376,0.24105599522590637,0.4736959859728813,455.60908438265324,0.15124142917340197
late,mlp,1376,1.0184320211410522,1.2683199644088745,1422.6037757098675,0.4722395482464396
late,postprocess,1376,0.003008000086992979,0.012103999964892864,5.802176099270582,0.0019260577447846173
late,block_critical_sum_ms,1376,2.053072030772455,2.645831994479522,3012.462173048407,1.0
