request_id,iteration,selected_sequences,block_starts,physical_rows,live_positions_before,accepted_positions,live_to_physical_ratio,accepted_per_forward,phase
measured_16,41,8,"[128,128,128,128,128,128,128,128]",256,234,32,0.9140625,32,early
measured_16,42,8,"[128,128,128,128,128,128,128,128]",256,227,20,0.88671875,20,early
measured_16,43,8,"[128,128,128,128,128,128,128,128]",256,220,18,0.859375,18,early
measured_16,44,8,"[128,128,128,128,128,128,128,128]",256,205,36,0.80078125,36,early
measured_16,45,8,"[128,128,128,128,128,128,128,128]",256,199,12,0.77734375,12,early
measured_16,46,8,"[128,128,128,128,128,128,128,128]",256,190,27,0.7421875,27,early
measured_16,47,8,"[128,128,128,128,128,128,128,128]",256,176,27,0.6875,27,early
measured_16,48,8,"[128,128,128,128,128,128,128,128]",256,168,21,0.65625,21,middle
measured_16,49,8,"[128,128,128,128,128,128,128,128]",256,156,24,0.609375,24,middle
measured_16,50,8,"[128,128,128,128,128,128,128,128]",256,145,15,0.56640625,15,middle
measured_16,51,8,"[128,128,128,128,128,128,128,128]",256,134,33,0.5234375,33,middle
measured_16,52,8,"[128,128,128,128,128,128,128,128]",256,123,14,0.48046875,14,middle
measured_16,53,8,"[128,128,128,128,128,128,128,128]",256,114,12,0.4453125,12,middle
measured_16,54,8,"[128,128,128,128,128,128,128,128]",256,102,8,0.3984375,8,middle
measured_16,55,8,"[128,128,128,128,128,128,128,128]",256,94,14,0.3671875,14,middle
measured_16,56,8,"[128,128,128,128,128,128,128,128]",256,85,17,0.33203125,17,late
measured_16,57,8,"[128,128,128,128,128,128,128,128]",256,75,20,0.29296875,20,late
measured_16,58,8,"[128,128,128,128,128,128,128,128]",256,64,19,0.25,19,late
measured_16,59,8,"[128,128,128,128,128,128,128,128]",256,56,27,0.21875,27,late
measured_16,60,8,"[128,128,128,128,128,128,128,128]",256,34,9,0.1328125,9,late
measured_16,61,8,"[128,128,128,128,128,128,128,128]",256,26,10,0.1015625,10,late
measured_16,62,8,"[128,128,128,128,128,128,128,128]",256,16,7,0.0625,7,late
measured_16,63,8,"[128,128,128,128,128,128,128,128]",256,9,4,0.03515625,4,late
measured_16,64,8,"[128,128,128,128,128,128,128,128]",256,5,2,0.01953125,2,late
measured_16,65,3,"[128,128,128]",96,3,1,0.03125,1,late
measured_16,66,1,[128],32,2,1,0.0625,1,late
measured_16,67,1,[128],32,1,1,0.03125,1,late
measured_16,68,1,[128],32,0,0,0.0,0,late
