Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:flashvep_phase1b/dispatch_dpep_agrs/layer_36/iter_0/rank_0,PushPop,3254523,203973,1,3254523.0,3254523.0,3254523,3254523,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_47/iter_0/rank_0,PushPop,3241276,193444,1,3241276.0,3241276.0,3241276,3241276,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_47/iter_0/rank_1,PushPop,3240439,197309,1,3240439.0,3240439.0,3240439,3240439,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/moe_layer/layer_12/iter_0/rank_2,PushPop,3001566,3450869,1,3001566.0,3001566.0,3001566,3001566,0.0,14,14.0,1.0,5.0
:flashvep_phase1b/moe_layer/layer_12/iter_0/rank_3,PushPop,2998292,3451466,1,2998292.0,2998292.0,2998292,2998292,0.0,14,14.0,1.0,5.0
:flashvep_phase1b/moe_layer/layer_24/iter_0/rank_3,PushPop,2942484,3412833,1,2942484.0,2942484.0,2942484,2942484,0.0,14,14.0,1.0,5.0
:flashvep_phase1b/moe_layer/layer_24/iter_0/rank_2,PushPop,2939231,3412320,1,2939231.0,2939231.0,2939231,2939231,0.0,14,14.0,1.0,5.0
:flashvep_phase1b/moe_layer/layer_47/iter_0/rank_2,PushPop,2928127,3366534,1,2928127.0,2928127.0,2928127,2928127,0.0,14,14.0,1.0,5.0
:flashvep_phase1b/moe_layer/layer_47/iter_0/rank_3,PushPop,2917780,3366325,1,2917780.0,2917780.0,2917780,2917780,0.0,14,14.0,1.0,5.0
:flashvep_phase1b/moe_layer/layer_36/iter_0/rank_2,PushPop,2884831,3308324,1,2884831.0,2884831.0,2884831,2884831,0.0,14,14.0,1.0,5.0
:flashvep_phase1b/moe_layer/layer_36/iter_0/rank_3,PushPop,2883828,3308807,1,2883828.0,2883828.0,2883828,2883828,0.0,14,14.0,1.0,5.0
CCCL:cub::DeviceSelect::Flagged,PushPop,2271741,3994796,192,11832.0,10544.0,8896,74496,8839.1,384,2.0,0.0,0.0
:flashvep_phase1b/combine_dpep_agrs/layer_12/iter_0/rank_0,PushPop,1540510,130802,1,1540510.0,1540510.0,1540510,1540510,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_12/iter_0/rank_1,PushPop,1536987,134432,1,1536987.0,1536987.0,1536987,1536987,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_47/iter_0/rank_1,PushPop,1519740,129629,1,1519740.0,1519740.0,1519740,1519740,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_24/iter_0/rank_1,PushPop,1501563,153714,1,1501563.0,1501563.0,1501563,1501563,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_24/iter_0/rank_0,PushPop,1500991,155220,1,1500991.0,1500991.0,1500991,1500991,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_47/iter_0/rank_0,PushPop,1499774,128465,1,1499774.0,1499774.0,1499774,1499774,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_36/iter_0/rank_0,PushPop,1472894,131437,1,1472894.0,1472894.0,1472894,1472894,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_36/iter_0/rank_1,PushPop,1469980,128319,1,1469980.0,1469980.0,1469980,1469980,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_0/iter_0/rank_3,PushPop,1044092,827558,1,1044092.0,1044092.0,1044092,1044092,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_0/iter_0/rank_2,PushPop,1042976,827912,1,1042976.0,1042976.0,1042976,1042976,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/attention_block/layer_24/iter_0/rank_3,PushPop,896828,1037652,1,896828.0,896828.0,896828,896828,0.0,12,12.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_24/iter_0/rank_2,PushPop,894399,1038037,1,894399.0,894399.0,894399,894399,0.0,12,12.0,1.0,0.0
