Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:flashvep_phase1b/router_projection/layer_0/iter_0/rank_3,PushPop,5664,372460,1,5664.0,5664.0,5664,5664,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_12/iter_0/rank_2,PushPop,5600,124754,1,5600.0,5600.0,5600,5600,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_12/iter_0/rank_0,PushPop,5600,78633,1,5600.0,5600.0,5600,5600,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_24/iter_0/rank_1,PushPop,5600,59534,1,5600.0,5600.0,5600,5600,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_0/iter_0/rank_1,PushPop,5568,226790,1,5568.0,5568.0,5568,5568,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_12/iter_0/rank_0,PushPop,5568,63337,1,5568.0,5568.0,5568,5568,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_47/iter_0/rank_0,PushPop,5568,60347,1,5568.0,5568.0,5568,5568,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_24/iter_0/rank_2,PushPop,5536,117487,1,5536.0,5536.0,5536,5536,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_47/iter_0/rank_2,PushPop,5536,116535,1,5536.0,5536.0,5536,5536,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_0/iter_0/rank_0,PushPop,5536,89028,1,5536.0,5536.0,5536,5536,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_47/iter_0/rank_1,PushPop,5536,62034,1,5536.0,5536.0,5536,5536,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_36/iter_0/rank_3,PushPop,5504,115957,1,5504.0,5504.0,5504,5504,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_0/iter_0/rank_1,PushPop,5472,87856,1,5472.0,5472.0,5472,5472,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_12/iter_0/rank_1,PushPop,5439,73541,1,5439.0,5439.0,5439,5439,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_36/iter_0/rank_2,PushPop,5344,115785,1,5344.0,5344.0,5344,5344,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_24/iter_0/rank_3,PushPop,5312,116885,1,5312.0,5312.0,5312,5312,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_36/iter_0/rank_0,PushPop,5312,58673,1,5312.0,5312.0,5312,5312,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_47/iter_0/rank_3,PushPop,5280,112343,1,5280.0,5280.0,5280,5280,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_24/iter_0/rank_0,PushPop,5280,58796,1,5280.0,5280.0,5280,5280,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_36/iter_0/rank_1,PushPop,5280,57110,1,5280.0,5280.0,5280,5280,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_12/iter_0/rank_3,PushPop,5216,124540,1,5216.0,5216.0,5216,5216,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_0/iter_0/rank_2,PushPop,5184,368929,1,5184.0,5184.0,5184,5184,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_12/iter_0/rank_2,PushPop,4384,122700,1,4384.0,4384.0,4384,4384,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_47/iter_0/rank_3,PushPop,4384,105440,1,4384.0,4384.0,4384,4384,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_topk/layer_24/iter_0/rank_3,PushPop,4352,109375,1,4352.0,4352.0,4352,4352,0.0,1,1.0,2.0,0.0
