Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
77.5,721663,539,1338.9,768.0,704,300543,12913.1,[CUDA memcpy Host-to-Device]
14.2,131808,117,1126.6,1024.0,928,10528,887.5,[CUDA memset]
6.0,55424,24,2309.3,2272.0,2240,2624,98.8,[CUDA memcpy Device-to-Host]
2.4,22208,16,1388.0,1376.0,1184,1696,164.8,[CUDA memcpy Device-to-Device]
