1, 2026/09/06 20:44:08.043, P0, 345, 0, 0
2, 2026/09/06 20:44:08.045, P0, 345, 0, 0
3, 2026/09/06 20:44:08.046, P0, 345, 0, 0
4, 2026/09/06 20:44:08.047, P0, 345, 0, 0
1, 2026/09/06 20:44:09.048, P0, 345, 0, 0
2, 2026/09/06 20:44:09.048, P0, 345, 0, 0
3, 2026/09/06 20:44:09.048, P0, 345, 0, 0
4, 2026/09/06 20:44:09.048, P0, 345, 0, 0
1, 2026/09/06 20:44:10.048, P0, 345, 0, 0
2, 2026/09/06 20:44:10.048, P0, 345, 0, 0
3, 2026/09/06 20:44:10.048, P0, 345, 0, 0
4, 2026/09/06 20:44:10.048, P0, 345, 0, 0
1, 2026/09/06 20:44:11.048, P0, 345, 0, 0
2, 2026/09/06 20:44:11.048, P0, 345, 0, 0
3, 2026/09/06 20:44:11.048, P0, 345, 0, 0
4, 2026/09/06 20:44:11.048, P0, 345, 0, 0
1, 2026/09/06 20:44:12.048, P0, 345, 0, 0
2, 2026/09/06 20:44:12.049, P0, 345, 0, 0
3, 2026/09/06 20:44:12.049, P0, 345, 0, 0
4, 2026/09/06 20:44:12.049, P0, 345, 0, 0
1, 2026/09/06 20:44:13.049, P0, 345, 0, 0
2, 2026/09/06 20:44:13.050, P0, 345, 0, 0
3, 2026/09/06 20:44:13.052, P0, 345, 0, 0
4, 2026/09/06 20:44:13.054, P0, 345, 0, 0
1, 2026/09/06 20:44:14.056, P0, 345, 0, 0
2, 2026/09/06 20:44:14.056, P0, 345, 0, 0
3, 2026/09/06 20:44:14.056, P0, 345, 0, 0
4, 2026/09/06 20:44:14.056, P0, 345, 0, 0
1, 2026/09/06 20:44:15.056, P0, 345, 0, 0
2, 2026/09/06 20:44:15.056, P0, 345, 0, 0
3, 2026/09/06 20:44:15.056, P0, 345, 0, 0
4, 2026/09/06 20:44:15.056, P0, 345, 0, 0
1, 2026/09/06 20:44:16.056, P0, 345, 0, 0
2, 2026/09/06 20:44:16.056, P0, 345, 0, 0
3, 2026/09/06 20:44:16.056, P0, 345, 0, 0
4, 2026/09/06 20:44:16.056, P0, 345, 0, 0
1, 2026/09/06 20:44:17.057, P0, 345, 0, 0
2, 2026/09/06 20:44:17.057, P0, 345, 0, 0
3, 2026/09/06 20:44:17.057, P0, 345, 0, 0
4, 2026/09/06 20:44:17.057, P0, 345, 0, 0
1, 2026/09/06 20:44:18.057, P0, 345, 0, 0
