request_id,condition,wave,layer,observed_A0_expert_ms,observed_expert_mean_ms,observed_rank_ratio,total_assignments,capacity_mild_cap_assignments,capacity_strong_cap_assignments,capacity_mild_drop_fraction,capacity_strong_drop_fraction,A1_rank_ratio_proxy,A2_rank_ratio_proxy,EPLB_ideal_rank_ratio,EPLB_ideal_load_reduction_proxy,active_experts
qwen_ep8_balanced_2k_rep1,balanced_2k,6,0,0.8119999766349792,0.6398840025067329,1.8197086801426876,53824.0,526,631,0.4178804994054697,0.3522963733650416,1.4007404570407251,1.408525041592565,1.000743162901308,0.4500530915625255,100
qwen_ep8_balanced_2k_rep1,balanced_2k,6,1,0.7478079795837402,0.6305439993739128,1.4335612366230677,53824.0,526,631,0.4175646551724138,0.3522406361474435,1.28973810966857,1.3042306037573497,1.0046076099881094,0.29922239502332815,98
qwen_ep8_balanced_2k_rep1,balanced_2k,6,2,0.8323839902877808,0.6214759983122349,1.9756242568370987,53824.0,526,631,0.49176947086801426,0.4279317776456599,1.6883202339608847,1.6843882952810887,1.004756242568371,0.4914234125789949,88
qwen_ep8_balanced_2k_rep1,balanced_2k,6,3,0.7217280268669128,0.6321479976177216,1.5221462544589774,53824.0,526,631,0.4708122770511296,0.40834943519619504,1.2369483551592177,1.251562254671063,1.0016349583828774,0.3419587930866126,91
qwen_ep8_balanced_2k_rep1,balanced_2k,6,4,0.7918400168418884,0.6846240013837814,1.4463436385255648,53824.0,526,631,0.5711021105826397,0.5145288347205708,1.4374702187567685,1.4949866054343666,1.0001486325802615,0.3084986126811222,94
qwen_ep8_balanced_2k_rep1,balanced_2k,6,5,0.8140479922294617,0.6638000011444092,1.7428656361474435,53824.0,526,631,0.5557372175980975,0.5050163495838288,1.588825694212111,1.584866001050972,1.0,0.4262323042810847,100
qwen_ep8_balanced_2k_rep1,balanced_2k,6,6,0.84198397397995,0.66873599588871,1.9606123662306776,53824.0,526,631,0.6468304102259215,0.6042100178359096,1.49950023672997,1.4589494437403183,1.0,0.4899552725343037,92
qwen_ep8_balanced_2k_rep1,balanced_2k,6,7,0.822816014289856,0.6572680026292801,1.926575505350773,53824.0,526,631,0.6535002972651605,0.6127749702734839,1.5455227882037534,1.5441896171192784,1.0,0.4809442987193334,99
qwen_ep8_balanced_2k_rep1,balanced_2k,6,8,0.7767999768257141,0.6676160022616386,1.5191736028537457,53824.0,526,631,0.5757097205707491,0.5244500594530321,1.2344878924552263,1.2326926082200345,1.0001486325802615,0.3416495450543,105
qwen_ep8_balanced_2k_rep1,balanced_2k,6,9,0.9421120285987854,0.64096799492836,2.679845422116528,53824.0,526,631,0.6600215517241379,0.6140197681331747,1.754412809443139,1.7651985559566787,1.0,0.6268441486411536,102
qwen_ep8_balanced_2k_rep1,balanced_2k,6,10,0.8461120128631592,0.6324680000543594,2.396551724137931,53824.0,526,631,0.6950431034482758,0.6501746432818074,1.619105641525527,1.6791120080726538,1.0,0.5827338129496402,96
qwen_ep8_balanced_2k_rep1,balanced_2k,6,11,0.8528000116348267,0.6512360014021397,1.963436385255648,53824.0,526,631,0.649264268727705,0.6013674197384067,1.3806547303739802,1.371364653243848,1.0,0.49068887206661616,95
qwen_ep8_balanced_2k_rep1,balanced_2k,6,12,0.809984028339386,0.6614519953727722,1.8666765755053507,53824.0,526,631,0.6228634066587395,0.5758583531510106,1.665500763584413,1.6347628016995925,1.0,0.4642885580062107,101
qwen_ep8_balanced_2k_rep1,balanced_2k,6,13,0.8362879753112793,0.6445839963853359,1.9570451843043997,53824.0,526,631,0.6261147443519619,0.5750780321046374,1.4836016696481813,1.5257749989069127,1.0,0.48902559428875214,94
qwen_ep8_balanced_2k_rep1,balanced_2k,6,14,0.8198400139808655,0.6581600047647953,1.870986920332937,53824.0,526,631,0.6578106420927468,0.6141684007134364,1.6944293625800848,1.6645639716858478,1.0001486325802615,0.46544327931363205,98
qwen_ep8_balanced_2k_rep1,balanced_2k,6,15,0.8094080090522766,0.6524760015308857,1.7574316290130796,53824.0,526,631,0.6454927170035671,0.602519322235434,1.4296944604580473,1.4284378797793773,1.0001486325802615,0.430903247631935,97
qwen_ep8_balanced_2k_rep1,balanced_2k,6,16,0.940671980381012,0.6420919932425022,2.822829964328181,53824.0,526,631,0.6927207193816884,0.6577549048751486,1.7234415623677368,1.7753650724716357,1.0,0.6457455770850884,94
qwen_ep8_balanced_2k_rep1,balanced_2k,6,17,0.8887040019035339,0.6367399990558624,2.427318668252081,53824.0,526,631,0.6708717300832343,0.6376151902497027,1.5074230877787187,1.5844142527557037,1.0,0.5880227787643133,102
qwen_ep8_balanced_2k_rep1,balanced_2k,6,18,0.8677120208740234,0.6548680029809475,2.0766944114149823,53824.0,526,631,0.6767984542211654,0.6315955707491082,1.5833524948263968,1.6226738615159615,1.0,0.5184655024334384,102
qwen_ep8_balanced_2k_rep1,balanced_2k,6,19,0.8251839876174927,0.6424759961664677,1.9249405469678955,53824.0,526,631,0.6922748216409037,0.6515123365041617,1.3495139769365454,1.3997974089673189,1.0001486325802615,0.4804262219133658,96
qwen_ep8_balanced_2k_rep1,balanced_2k,6,20,0.8701760172843933,0.6800920069217682,1.7384066587395957,53824.0,526,631,0.6219901902497027,0.5702846313912009,1.860218224712474,1.9255480133166154,1.0,0.4247606019151847,103
qwen_ep8_balanced_2k_rep1,balanced_2k,6,21,0.9337599873542786,0.6743279993534088,2.7528240190249704,53824.0,526,631,0.6713547859690845,0.6266906956004756,2.0686302221719712,2.1388543273776937,1.0,0.6367366772852439,97
qwen_ep8_balanced_2k_rep1,balanced_2k,6,22,0.8925439715385437,0.6792359985411167,1.693668252080856,53824.0,526,631,0.6360173900118906,0.5904615041617123,1.7183400541064775,1.7652769586716872,1.0,0.4095655989469066,101
qwen_ep8_balanced_2k_rep1,balanced_2k,6,23,0.7965440154075623,0.6352280005812645,1.8683115338882283,53824.0,526,631,0.6704072532699168,0.6297748216409037,1.3758737316798195,1.3934862247202289,1.0001486325802615,0.46467780429594274,97
qwen_ep8_balanced_2k_rep1,balanced_2k,6,24,1.0125759840011597,0.6868520006537437,2.165279429250892,53824.0,526,631,0.6508249108204518,0.6018133174791914,1.6839416835160157,1.6726390444195596,1.0001486325802615,0.5380971993410214,102
qwen_ep8_balanced_2k_rep1,balanced_2k,6,25,0.7804160118103027,0.6431840024888515,1.536860879904875,53824.0,526,631,0.6275081747919145,0.5740004458977408,1.3435084044091974,1.357931004404902,1.0001486325802615,0.34922630560928436,95
qwen_ep8_balanced_2k_rep1,balanced_2k,6,26,0.7682880163192749,0.6433880068361759,1.6102853745541024,53824.0,526,631,0.6504533293697978,0.6100810047562426,1.6145423620707984,1.607471291752037,1.0,0.37899206202695224,103
qwen_ep8_balanced_2k_rep1,balanced_2k,6,27,0.7683200240135193,0.6303240023553371,1.7474732461355529,53824.0,526,631,0.6242196789536266,0.573498810939358,1.571442697518046,1.5309287332287855,1.0,0.4277451730883729,105
