category,gpu_set,meaningful_runs,approx_live_wall_minutes,purpose
runtime_audit,"6,7",4,2.5,"ownership and naive/DeepEP profiler verification"
fixed_work_scaling,"6,7",7,4.5,"M/batch scaling across two backends"
clean_requests,"6,7",12,7.2,"randomized static backend request comparison"
trajectory_capture,"6,7",6,5.8,"active-state and paired per-forward oracle"
blocked_backend_smokes,"6,7",2,1.0,"DeepEP LL and PPLX/AGRS availability gates"
total_measurement,"6,7",31,21.0,"burn and environment build time excluded"
