1, 2026/09/06 19:49:10.664, 28, 345, 72.45, 0, 0
2, 2026/09/06 19:49:10.666, 28, 345, 70.66, 0, 0
3, 2026/09/06 19:49:10.667, 31, 345, 70.72, 0, 0
4, 2026/09/06 19:49:10.668, 34, 345, 71.67, 0, 0
1, 2026/09/06 19:49:11.670, 28, 345, 72.46, 0, 0
2, 2026/09/06 19:49:11.670, 28, 345, 70.66, 0, 0
3, 2026/09/06 19:49:11.670, 31, 345, 70.75, 0, 0
4, 2026/09/06 19:49:11.670, 34, 345, 71.57, 0, 0
1, 2026/09/06 19:49:12.670, 28, 345, 72.46, 0, 0
2, 2026/09/06 19:49:12.670, 28, 345, 70.66, 0, 0
3, 2026/09/06 19:49:12.670, 31, 345, 70.70, 0, 0
4, 2026/09/06 19:49:12.670, 34, 345, 71.63, 0, 0
1, 2026/09/06 19:49:13.670, 28, 345, 72.45, 0, 0
2, 2026/09/06 19:49:13.671, 28, 345, 70.69, 0, 0
3, 2026/09/06 19:49:13.671, 31, 345, 70.74, 0, 0
4, 2026/09/06 19:49:13.671, 34, 345, 71.60, 0, 0
1, 2026/09/06 19:49:14.671, 28, 345, 72.45, 0, 0
2, 2026/09/06 19:49:14.671, 28, 345, 70.67, 0, 0
3, 2026/09/06 19:49:14.671, 31, 345, 70.72, 0, 0
4, 2026/09/06 19:49:14.671, 34, 345, 71.63, 0, 0
1, 2026/09/06 19:49:15.671, 28, 345, 72.48, 0, 0
2, 2026/09/06 19:49:15.671, 28, 345, 70.66, 0, 0
3, 2026/09/06 19:49:15.671, 31, 345, 70.70, 0, 0
4, 2026/09/06 19:49:15.671, 34, 345, 71.54, 0, 0
1, 2026/09/06 19:49:16.672, 28, 345, 72.44, 0, 0
2, 2026/09/06 19:49:16.672, 28, 345, 70.67, 0, 0
3, 2026/09/06 19:49:16.672, 31, 345, 70.70, 0, 0
4, 2026/09/06 19:49:16.672, 34, 345, 71.58, 0, 0
1, 2026/09/06 19:49:17.672, 28, 345, 72.43, 0, 0
2, 2026/09/06 19:49:17.672, 28, 345, 70.65, 0, 0
3, 2026/09/06 19:49:17.672, 31, 345, 70.67, 0, 0
4, 2026/09/06 19:49:17.672, 34, 345, 71.60, 0, 0
1, 2026/09/06 19:49:18.672, 28, 345, 72.44, 0, 0
2, 2026/09/06 19:49:18.672, 28, 345, 70.66, 0, 0
3, 2026/09/06 19:49:18.672, 31, 345, 70.69, 0, 0
4, 2026/09/06 19:49:18.672, 34, 345, 71.58, 0, 0
1, 2026/09/06 19:49:19.673, 28, 345, 72.45, 0, 0
2, 2026/09/06 19:49:19.673, 28, 345, 70.70, 0, 0
3, 2026/09/06 19:49:19.673, 31, 345, 70.70, 0, 0
4, 2026/09/06 19:49:19.673, 34, 345, 71.62, 0, 0
1, 2026/09/06 19:49:20.673, 28, 345, 72.40, 0, 0
2, 2026/09/06 19:49:20.673, 28, 345, 70.64, 0, 0
3, 2026/09/06 19:49:20.673, 31, 345, 70.68, 0, 0
4, 2026/09/06 19:49:20.673, 34, 345, 71.56, 0, 0
1, 2026/09/06 19:49:21.673, 28, 345, 72.45, 0, 0
2, 2026/09/06 19:49:21.673, 28, 345, 70.69, 0, 0
3, 2026/09/06 19:49:21.673, 31, 345, 70.64, 0, 0
4, 2026/09/06 19:49:21.674, 34, 345, 71.58, 0, 0
1, 2026/09/06 19:49:22.674, 28, 345, 72.42, 0, 0
2, 2026/09/06 19:49:22.674, 28, 345, 70.67, 0, 0
3, 2026/09/06 19:49:22.674, 31, 345, 70.63, 0, 0
4, 2026/09/06 19:49:22.674, 34, 345, 71.62, 0, 0
1, 2026/09/06 19:49:23.674, 28, 345, 72.40, 0, 0
2, 2026/09/06 19:49:23.674, 28, 345, 70.65, 0, 0
3, 2026/09/06 19:49:23.674, 31, 345, 70.65, 0, 0
4, 2026/09/06 19:49:23.674, 34, 345, 71.58, 0, 0
1, 2026/09/06 19:49:24.674, 28, 345, 72.41, 0, 0
2, 2026/09/06 19:49:24.675, 28, 345, 70.66, 0, 0
3, 2026/09/06 19:49:24.676, 31, 345, 70.64, 0, 0
4, 2026/09/06 19:49:24.678, 34, 345, 71.58, 0, 0
1, 2026/09/06 19:49:25.680, 28, 345, 72.43, 0, 0
2, 2026/09/06 19:49:25.680, 28, 345, 70.65, 0, 0
3, 2026/09/06 19:49:25.680, 31, 345, 70.63, 0, 0
4, 2026/09/06 19:49:25.680, 34, 345, 71.57, 0, 0
