topology,workload,modality,iteration,wall_ms,prompt_tokens,output_token_ids
ep4,text_heavy,text,0,342.210483,2980,[2132]
ep4,vision_heavy,vision,0,821.274794,3163,[785]
ep4,mixed,mixed,0,559.868471,3022,[40]
ep4,text_heavy,text,1,337.771726,2980,[2132]
ep4,vision_heavy,vision,1,841.054195,3163,[785]
ep4,mixed,mixed,1,552.115276,3022,[40]
ep4,text_heavy,text,2,338.610575,2980,[2132]
ep4,vision_heavy,vision,2,819.133532,3163,[785]
ep4,mixed,mixed,2,526.188799,3022,[40]
ep4,text_heavy,text,3,330.523302,2980,[2132]
ep4,vision_heavy,vision,3,811.685899,3163,[785]
ep4,mixed,mixed,3,538.445,3022,[40]
ep4,text_heavy,text,4,329.919374,2980,[2132]
ep4,vision_heavy,vision,4,837.319411,3163,[785]
ep4,mixed,mixed,4,548.21178,3022,[40]
ep4,text_heavy,text,5,359.336668,2980,[2132]
ep4,vision_heavy,vision,5,830.116928,3163,[785]
ep4,mixed,mixed,5,527.993658,3022,[40]
ep4,text_heavy,text,6,336.10663,2980,[2132]
ep4,vision_heavy,vision,6,830.843457,3163,[785]
ep4,mixed,mixed,6,538.139295,3022,[40]
ep4,text_heavy,text,7,328.411445,2980,[2132]
ep4,vision_heavy,vision,7,818.615458,3163,[785]
ep4,mixed,mixed,7,543.493003,3022,[40]
