fold,policy,fit_profile,eval_profile,layer,partition,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
A_first12,P0,all,all,0,calibration,fixed_linear,26573,212584,3.619463365069808,4.0,4.0,0.6402739622925526,0.9791894027772551,55116,53146.0,0.02690355336121719,1.0370677002972943,1,69607.0
A_first12,P0,all,vision,0,calibration,fixed_linear,13286,106288,3.602814993225952,4.0,4.0,0.6272768327562848,0.9755381604696673,28594,26572.0,0.08434430566222864,1.0760951377389734,1,34581.0
A_first12,P0,all,text,0,calibration,fixed_linear,13287,106296,3.6361104839316627,4.0,4.0,0.653270113644916,0.9828403702867464,28231,26574.0,0.03996521206986146,1.0623541807782042,2,35026.0
A_first12,P0,all,all,0,calibration_fit,fixed_linear,5286,42288,3.5932652289065454,4.0,4.0,0.6188043889519486,0.9744608399545971,10891,10572.0,0.022507228768527593,1.0301740446462353,3,13708.0
A_first12,P0,all,all,1,calibration,fixed_linear,26573,212584,3.5950400782749408,4.0,4.0,0.615624882399428,0.9794151958755127,58085,53146.0,0.07156263263439817,1.0929326760245361,3,68958.0
A_first12,P0,all,vision,1,calibration,fixed_linear,13286,106288,3.5859551407496615,4.0,4.0,0.6110191178684329,0.9749360228812284,30034,26572.0,0.12791639080855266,1.1302875206984797,1,34357.0
A_first12,P0,all,text,1,calibration,fixed_linear,13287,106296,3.604124332053887,4.0,4.0,0.62023030029352,0.9838940317603673,28997,26574.0,0.10521593048136935,1.091179348235117,2,34601.0
A_first12,P0,all,all,1,calibration_fit,fixed_linear,5286,42288,3.585508891411275,4.0,4.0,0.6055618615209989,0.9799470298902762,12139,10572.0,0.086874195353134,1.1482217177449867,3,13667.0
A_first12,P0,all,all,2,calibration,fixed_linear,26573,212584,3.6083995032551837,4.0,4.0,0.6401610657434238,0.968276069694803,58718,53146.0,0.1017937065197217,1.104843261957626,0,69313.0
A_first12,P0,all,vision,2,calibration,fixed_linear,13286,106288,3.6587385217522206,4.0,4.0,0.6724371518892067,0.9863766370615685,30827,26572.0,0.09406566508119335,1.1601309649254854,0,35324.0
A_first12,P0,all,text,2,calibration,fixed_linear,13287,106296,3.558064273349891,4.0,4.0,0.6078874087453903,0.9501768646045007,32086,26574.0,0.17602423655402058,1.207420787235644,2,33989.0
A_first12,P0,all,all,2,calibration_fit,fixed_linear,5286,42288,3.639803253878169,4.0,4.0,0.6666666666666666,0.9731365872115021,11497,10572.0,0.09257234860031212,1.0874952705259175,1,13954.0
A_first12,P0,all,all,3,calibration,fixed_linear,26573,212584,3.6683099386595415,4.0,4.0,0.6804275015993678,0.9878824370601739,57298,53146.0,0.06817440635021184,1.07812441199714,2,70905.0
A_first12,P0,all,vision,3,calibration,fixed_linear,13286,106288,3.651889206683727,4.0,4.0,0.665286768026494,0.9866024386572332,31141,26572.0,0.13967994915029644,1.1719479150986,1,35233.0
A_first12,P0,all,text,3,calibration,fixed_linear,13287,106296,3.684729434785881,4.0,4.0,0.6955670956574095,0.9891623391284714,30293,26574.0,0.12293697697008552,1.1399488221569956,2,35672.0
A_first12,P0,all,all,3,calibration_fit,fixed_linear,5286,42288,3.6753688989784337,4.0,4.0,0.6861520998864926,0.9892167990919409,11114,10572.0,0.05258579708624367,1.051267499054105,2,14142.0
A_first12,P0,all,all,4,calibration,fixed_linear,26573,212584,3.6018138712226695,4.0,4.0,0.6267263763970948,0.9750874948255749,58977,53146.0,0.108700483364095,1.1097166296616867,2,69138.0
A_first12,P0,all,vision,4,calibration,fixed_linear,13286,106288,3.6262983591750717,4.0,4.0,0.6438356164383562,0.9824627427367153,30081,26572.0,0.0998468752451907,1.132056299864519,1,34893.0
A_first12,P0,all,text,4,calibration,fixed_linear,13287,106296,3.577331226010386,4.0,4.0,0.6096184240234817,0.9677128019869045,33312,26574.0,0.17129795217387234,1.2535561074734702,2,34245.0
A_first12,P0,all,all,4,calibration_fit,fixed_linear,5286,42288,3.6093454407869845,4.0,4.0,0.6367763904653803,0.9725690503216042,11375,10572.0,0.07376384714651144,1.0759553537646613,2,13793.0
A_first12,P0,all,all,5,calibration,fixed_linear,26573,212584,3.7062431791668233,4.0,4.0,0.7169307191510179,0.9893124600158055,62204,53146.0,0.10322424463276987,1.1704361570014676,0,71913.0
A_first12,P0,all,vision,5,calibration,fixed_linear,13286,106288,3.7019418937227155,4.0,4.0,0.7142104470871594,0.9877314466355562,31400,26572.0,0.13098288672750033,1.1816950173114558,0,35898.0
A_first12,P0,all,text,5,calibration,fixed_linear,13287,106296,3.710544140889591,4.0,4.0,0.7196507864830285,0.9908933544065628,30804,26574.0,0.1666644448307804,1.1591781440505757,0,36015.0
A_first12,P0,all,all,5,calibration_fit,fixed_linear,5286,42288,3.701286416950435,4.0,4.0,0.7135830495648884,0.9877033673855468,11942,10572.0,0.09069328584716925,1.1295875898600076,0,14279.0
A_first12,P0,all,all,6,calibration,fixed_linear,26573,212584,3.6883302600383847,4.0,4.0,0.7009370413577691,0.9873932186806157,62366,53146.0,0.13504367742466306,1.1734843638279457,2,71437.0
A_first12,P0,all,vision,6,calibration,fixed_linear,13286,106288,3.612072858648201,4.0,4.0,0.631190727081138,0.980882131567063,31305,26572.0,0.17280703587760265,1.1781198253800993,2,34704.0
A_first12,P0,all,text,6,calibration,fixed_linear,13287,106296,3.764581922179574,4.0,4.0,0.7706781064198088,0.9939038157597652,31061,26574.0,0.11826864231744987,1.1688492511477384,2,36733.0
A_first12,P0,all,all,6,calibration_fit,fixed_linear,5286,42288,3.6538024971623155,4.0,4.0,0.6727203934922437,0.9810821036700719,12344,10572.0,0.1335314556483773,1.1676125614831632,2,14028.0
A_first12,P0,all,all,7,calibration,fixed_linear,26573,212584,3.628607985549242,4.0,4.0,0.6417792496142701,0.9868287359349716,65355,53146.0,0.16796076620188885,1.229725661385617,3,69850.0
A_first12,P0,all,vision,7,calibration,fixed_linear,13286,106288,3.609363239500226,4.0,4.0,0.6255456871895229,0.983817552310703,35099,26572.0,0.19532276353610997,1.3209017010386874,3,34668.0
A_first12,P0,all,text,7,calibration,fixed_linear,13287,106296,3.647851283209152,4.0,4.0,0.6580115902762098,0.9898396929329419,31548,26574.0,0.17942914157171827,1.1871754346353578,0,35182.0
A_first12,P0,all,all,7,calibration_fit,fixed_linear,5286,42288,3.645100264850549,4.0,4.0,0.656829360575104,0.9882709042754446,11913,10572.0,0.11876437372410845,1.126844494892168,3,13982.0
A_first12,P0,all,all,8,calibration,fixed_linear,26573,212584,3.599781733338351,4.0,4.0,0.625371617807549,0.9744477477138449,71191,53146.0,0.20081534082506386,1.339536371504911,1,69084.0
A_first12,P0,all,vision,8,calibration,fixed_linear,13286,106288,3.617191028149932,4.0,4.0,0.6364594309799789,0.9808068643685082,33146,26572.0,0.14486818554982678,1.247403281649857,1,34772.0
A_first12,P0,all,text,8,calibration,fixed_linear,13287,106296,3.582373748777,4.0,4.0,0.6142846391209453,0.9680891096560548,38045,26574.0,0.2570600876771745,1.431662527282306,1,34312.0
A_first12,P0,all,all,8,calibration_fit,fixed_linear,5286,42288,3.6222096102913355,4.0,4.0,0.6432084752175558,0.9790011350737798,13336,10572.0,0.15271657094106578,1.2614453272796065,1,13861.0
A_first12,P0,all,all,9,calibration,fixed_linear,26573,212584,3.604184698754375,4.0,4.0,0.6316185601926768,0.9726414029277839,58722,53146.0,0.0916230792232448,1.104918526323712,1,69201.0
A_first12,P0,all,vision,9,calibration,fixed_linear,13286,106288,3.63585729339154,4.0,4.0,0.6542224898389282,0.9817100707511667,29936,26572.0,0.08103509763986794,1.126599427969291,1,35020.0
A_first12,P0,all,text,9,calibration,fixed_linear,13287,106296,3.5725144878452624,4.0,4.0,0.6090163317528411,0.9635734176262513,32769,26574.0,0.1731022006623027,1.2331226010386092,3,34181.0
A_first12,P0,all,all,9,calibration_fit,fixed_linear,5286,42288,3.637343927355278,4.0,4.0,0.6556942867953084,0.9816496405599697,10896,10572.0,0.038195473965157996,1.0306469920544836,0,13941.0
A_first12,P0,all,all,10,calibration,fixed_linear,26573,212584,3.6310540774470326,4.0,4.0,0.6476498701689685,0.9834042072780642,60310,53146.0,0.08221838085417076,1.134798479659805,1,69915.0
A_first12,P0,all,vision,10,calibration,fixed_linear,13286,106288,3.649706457925636,4.0,4.0,0.665888905614933,0.983817552310703,29554,26572.0,0.07290522336044913,1.112223393045311,1,35204.0
A_first12,P0,all,text,10,calibration,fixed_linear,13287,106296,3.612403100775194,4.0,4.0,0.6294122074207872,0.9829908933544066,30756,26574.0,0.11858966775539069,1.1573718672386544,1,34711.0
A_first12,P0,all,all,10,calibration_fit,fixed_linear,5286,42288,3.6640181611804765,4.0,4.0,0.6757472569050321,0.9882709042754446,11440,10572.0,0.0533154601333913,1.082103670071888,1,14082.0
A_first12,P0,all,all,11,calibration,fixed_linear,26573,212584,3.6244308132314758,4.0,4.0,0.6463703759455086,0.9780980694690099,58078,53146.0,0.1003461516936368,1.092800963383886,1,69739.0
A_first12,P0,all,vision,11,calibration,fixed_linear,13286,106288,3.5962667469516783,4.0,4.0,0.6219328616588891,0.9744091524913443,31762,26572.0,0.15302876808847682,1.195318380249887,0,34494.0
A_first12,P0,all,text,11,calibration,fixed_linear,13287,106296,3.6525927598404455,4.0,4.0,0.6708060510273199,0.9817867088131256,32646,26574.0,0.16713204920504315,1.2284940167080605,2,35245.0
A_first12,P0,all,all,11,calibration_fit,fixed_linear,5286,42288,3.6362088535754826,4.0,4.0,0.656829360575104,0.9793794930003784,11830,10572.0,0.10874917368868489,1.1189935679152478,1,13935.0
A_first12,P0,all,all,12,calibration,fixed_linear,26573,212584,3.5811161705490537,4.0,4.0,0.6029052045309148,0.9782485982011816,60313,53146.0,0.11653515428583959,1.1348549279343694,3,68588.0
A_first12,P0,all,vision,12,calibration,fixed_linear,13286,106288,3.5730091825982235,4.0,4.0,0.5992774348938732,0.9738070149029053,31490,26572.0,0.13516809092024687,1.185082041246425,2,34185.0
A_first12,P0,all,text,12,calibration,fixed_linear,13287,106296,3.5892225483555356,4.0,4.0,0.6065327011364492,0.9826898472190864,34735,26574.0,0.18756910911112087,1.3071046887935576,3,34403.0
A_first12,P0,all,all,12,calibration_fit,fixed_linear,5286,42288,3.616912599318956,4.0,4.0,0.6371547483919788,0.9797578509269769,12860,10572.0,0.13006469913885949,1.2164207340143776,3,13833.0
A_first12,P0,all,all,13,calibration,fixed_linear,26573,212584,3.562638768674971,4.0,4.0,0.5949648139088548,0.9680502765965454,56002,53146.0,0.05636341292348106,1.0537387573853159,3,68097.0
A_first12,P0,all,vision,13,calibration,fixed_linear,13286,106288,3.594008730995032,4.0,4.0,0.6179437001354809,0.9761402980581063,29745,26572.0,0.08175456619117347,1.119411410507301,1,34464.0
A_first12,P0,all,text,13,calibration,fixed_linear,13287,106296,3.53127116730639,4.0,4.0,0.5719876571084519,0.9599608640024083,32379,26574.0,0.13607854032856567,1.2184466019417475,3,33633.0
A_first12,P0,all,all,13,calibration_fit,fixed_linear,5286,42288,3.5964812712826335,4.0,4.0,0.6271282633371169,0.9697313658721151,12641,10572.0,0.11607160431927842,1.1957056375331063,3,13725.0
A_first12,P0,all,all,14,calibration,fixed_linear,26573,212584,3.656455801001016,4.0,4.0,0.6713957776690626,0.9850600233319535,66178,53146.0,0.15308864569412395,1.2452113047077862,0,70590.0
A_first12,P0,all,vision,14,calibration,fixed_linear,13286,106288,3.670706006322445,4.0,4.0,0.6868131868131868,0.9838928195092579,29759,26572.0,0.114340570605764,1.119938280897185,1,35483.0
A_first12,P0,all,text,14,calibration,fixed_linear,13287,106296,3.642206668171897,4.0,4.0,0.6559795288627982,0.9862271393090991,36811,26574.0,0.24377785166655744,1.3852261609091594,0,35107.0
A_first12,P0,all,all,14,calibration_fit,fixed_linear,5286,42288,3.616155883465759,4.0,4.0,0.6398032538781687,0.9763526295875898,13051,10572.0,0.1420875545184284,1.234487325009459,0,13829.0
A_first12,P0,all,all,15,calibration,fixed_linear,26573,212584,3.5532683550972792,4.0,4.0,0.5739660557708953,0.9793399315094269,65544,53146.0,0.23485477789221243,1.2332819026831747,2,67848.0
A_first12,P0,all,vision,15,calibration,fixed_linear,13286,106288,3.603417130814391,4.0,4.0,0.6195995785036881,0.9838928195092579,35008,26572.0,0.20496473655625033,1.3174770435044407,1,34589.0
A_first12,P0,all,text,15,calibration,fixed_linear,13287,106296,3.5031233536539474,4.0,4.0,0.5283359674870174,0.9747873861669301,39386,26574.0,0.33821549500596715,1.482125385715361,2,33259.0
A_first12,P0,all,all,15,calibration_fit,fixed_linear,5286,42288,3.55524025728339,4.0,4.0,0.576049943246311,0.9791903140370791,12200,10572.0,0.19686258476747562,1.1539916761256148,1,13507.0
A_first12,P0,all,all,16,calibration,fixed_linear,26573,212584,3.6672938697173825,4.0,4.0,0.6801640763180672,0.9871297933993151,68361,53146.0,0.16655469131578055,1.2862868324991532,2,70878.0
A_first12,P0,all,vision,16,calibration,fixed_linear,13286,106288,3.648577449947313,4.0,4.0,0.6628782176727382,0.9856992322745748,32910,26572.0,0.14053899446745038,1.2385217522203824,2,35189.0
A_first12,P0,all,text,16,calibration,fixed_linear,13287,106296,3.686008880860992,4.0,4.0,0.697448634003161,0.988560246857831,35451,26574.0,0.2030264132754717,1.334048317904719,2,35689.0
A_first12,P0,all,all,16,calibration_fit,fixed_linear,5286,42288,3.649451381006432,4.0,4.0,0.6625047294740825,0.9869466515323496,13085,10572.0,0.14824537831779075,1.2377033673855466,2,14005.0
A_first12,P0,all,all,17,calibration,fixed_linear,26573,212584,3.6280435028035978,4.0,4.0,0.6418168817973131,0.9862266210062846,58490,53146.0,0.08641251876582749,1.1005531930907313,0,69835.0
A_first12,P0,all,vision,17,calibration,fixed_linear,13286,106288,3.6469215715791057,4.0,4.0,0.6603944001204275,0.9865271714586783,28896,26572.0,0.06588415352456202,1.0874604847207587,0,35167.0
A_first12,P0,all,text,17,calibration,fixed_linear,13287,106296,3.609166854820501,4.0,4.0,0.6232407616467224,0.9859260931737789,29652,26574.0,0.16207647541477951,1.1158275005644616,2,34668.0
