scope,key,modality,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
global,all,vision,764592,6116736,3.6331429049741564,4.0,4.0,0.6511067340490091,0.9820623286667922,1583342,1529184.0,0.022842189349342092,1.035416274300542,1,2013280.0
layer,0,vision,15929,127432,3.597526523950028,4.0,4.0,0.6223240630296942,0.975202460920334,34194,31858.0,0.07562433703212258,1.073325381379873,1,41376.0
layer,1,vision,15929,127432,3.585598593759809,4.0,4.0,0.6108355828991148,0.9747630108606943,35922,31858.0,0.1257433780564984,1.127566074455396,1,41186.0
layer,2,vision,15929,127432,3.659112310879528,4.0,4.0,0.6732374913679453,0.9859375980915311,36268,31858.0,0.07997471506828265,1.13842676878649,0,42357.0
layer,3,vision,15929,127432,3.6531483457844183,4.0,4.0,0.6663946261535564,0.986753719630862,36134,31858.0,0.1203978087035074,1.1342206039299392,1,42262.0
layer,4,vision,15929,127432,3.630359721263105,4.0,4.0,0.647686609328897,0.982673111934208,35380,31858.0,0.08858219191784973,1.1105530792893465,1,41899.0
layer,5,vision,15929,127432,3.699667273526273,4.0,4.0,0.7122229895159772,0.9874442840102957,36983,31858.0,0.12042603063272667,1.1608701111180866,0,43003.0
layer,6,vision,15929,127432,3.6122794902379307,4.0,4.0,0.6323686358214577,0.9799108544164731,36501,31858.0,0.1614115502365612,1.1457404733504928,2,41611.0
layer,7,vision,15929,127432,3.6152300834955113,4.0,4.0,0.6313013999623328,0.9839286835331785,41332,31858.0,0.18037192139587685,1.2973821332161466,3,41658.0
layer,8,vision,15929,127432,3.622386841609643,4.0,4.0,0.6409693012744052,0.9814803189151862,38616,31858.0,0.12351888417106828,1.2121288216460544,1,41772.0
layer,9,vision,15929,127432,3.6429154372528094,4.0,4.0,0.6601795467386528,0.9827986690941051,35285,31858.0,0.08089413144223806,1.1075710967417918,1,42099.0
layer,10,vision,15929,127432,3.6578567392805574,4.0,4.0,0.6731119342080483,0.9847448050725093,34512,31858.0,0.05576188758326679,1.083307175591688,1,42337.0
layer,11,vision,15929,127432,3.6031138175654465,4.0,4.0,0.6277230209052671,0.9754535752401281,36246,31858.0,0.12431450202138149,1.1377362044070563,0,41465.0
layer,12,vision,15929,127432,3.5840919078410445,4.0,4.0,0.6088894469207107,0.9752652395002825,36292,31858.0,0.0968507500716283,1.1391801117458724,2,41162.0
