result,batch_id,condition,modality,concurrency,control_iteration,chunk_index,layer,scheduled_tokens,scheduled_requests,scheduler_mode,N,rank_max,rank_mean,rank_ratio,rank_cv,hottest_rank,expert_max_ms,expert_mean_ms,expert_ratio,dispatch_max_ms,dispatch_mean_ms,dispatch_ratio,combine_max_ms,combine_mean_ms,combine_ratio,active_experts,effective_experts,tiny_expert_fraction,total_ms,run
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,0,128,1,prefill,1040.0,277.0,260.0,1.0653846153846154,0.0574996784143309,2,0.4165759980678558,0.4137199968099594,1.006903222662472,1.081536054611206,0.6603920161724091,1.6377182463224216,0.0944639965891838,0.0904239974915981,1.0446783952231382,122,99.12717286593536,0.3114754098360656,1.5925760492682457,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,1,128,1,prefill,1040.0,361.0,260.0,1.3884615384615384,0.2919278909099372,3,0.4024319946765899,0.3914560005068779,1.0280388962118343,0.3638719916343689,0.311039999127388,1.1698559434645035,0.1108160018920898,0.0973120015114545,1.138770143156964,119,82.74442846541955,0.3949579831932773,0.8771199882030487,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,2,128,1,prefill,1040.0,306.0,260.0,1.176923076923077,0.1482391718507828,2,0.3985919952392578,0.3867999985814094,1.0304860307680856,0.3273920118808746,0.2898800000548363,1.129405311918526,0.115167997777462,0.1080879997462034,1.0655021653456702,99,63.39564444699828,0.3333333333333333,0.8411520048975945,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,3,128,1,prefill,1040.0,349.0,260.0,1.3423076923076922,0.2181654277060273,0,0.4002879858016968,0.3961039930582046,1.010562864340722,0.3811840116977691,0.3208080008625984,1.1881998287849114,0.1199679970741272,0.0961999986320734,1.2470685943869595,111,77.9414133132316,0.3603603603603603,0.9014399945735933,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,4,128,1,prefill,1040.0,288.0,260.0,1.1076923076923078,0.1080693947555932,2,0.401311993598938,0.3859440013766289,1.0398192280939536,0.3774400055408478,0.3042640015482902,1.2405016815009042,0.1273919939994812,0.1008879989385604,1.2627071142233806,95,59.987696321140696,0.3263157894736842,0.906143993139267,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,5,128,1,prefill,1040.0,281.0,260.0,1.0807692307692307,0.0615985283771037,2,0.4045119881629944,0.3917919918894768,1.0324661977192884,0.3611840009689331,0.3018800020217895,1.196448915297354,0.1007679998874664,0.0890720002353191,1.1313094981728002,99,60.53238965870767,0.3535353535353535,0.8664639890193939,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,6,128,1,prefill,1040.0,407.0,260.0,1.5653846153846154,0.3356857328553055,2,0.4091520011425018,0.3936480060219764,1.0393854278018615,0.3451519906520843,0.3130399957299232,1.1025811249686637,0.1016639992594719,0.0902800001204013,1.1260965786872874,94,48.91079497907531,0.4361702127659574,0.8559679910540581,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,7,128,1,prefill,1040.0,308.0,260.0,1.1846153846153846,0.1379263159772392,3,0.3954559862613678,0.3902079984545707,1.0134492061351428,0.3734079897403717,0.3252079933881759,1.1482128278890829,0.0877759978175163,0.0854160003364086,1.0276294543389168,97,54.8636634827085,0.4536082474226804,0.8566399738192558,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,8,128,1,prefill,1040.0,407.0,260.0,1.5653846153846154,0.3354101966249684,1,0.4091840088367462,0.400576002895832,1.0214890704352868,0.3783360123634338,0.3225440010428428,1.1729748844815138,0.0908479988574981,0.0871680006384849,1.042217306718728,104,61.99475872277366,0.3846153846153846,0.8783680200576782,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,9,128,1,prefill,1040.0,319.0,260.0,1.226923076923077,0.2463190551359698,3,0.4151040017604828,0.4016320034861564,1.0335431393847845,0.4121600091457367,0.3574479967355728,1.153062859240579,0.1747519969940185,0.1309599988162517,1.3343921699267176,92,55.80114552301555,0.4130434782608695,1.002016007900238,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,10,128,1,prefill,1040.0,306.0,260.0,1.176923076923077,0.1375235321444702,1,0.4100799858570099,0.3920959904789924,1.04586630777848,0.4003199934959411,0.3490239977836609,1.1469698245336002,0.1274559944868087,0.1119199972599744,1.138813416790445,94,65.31476083392486,0.3085106382978723,0.9378559738397598,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,11,128,1,prefill,1040.0,292.0,260.0,1.123076923076923,0.0928270645088243,2,0.4122560024261474,0.3994000032544136,1.032188280087581,0.3991360068321228,0.3327360078692436,1.1995575993956524,0.0999680012464523,0.0925600007176399,1.0800345772620614,97,60.59964949347598,0.4123711340206185,0.9113600105047226,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,12,128,1,prefill,1040.0,378.0,260.0,1.4538461538461538,0.2727110224672775,3,0.4065920114517212,0.3968160003423691,1.0246361313579029,0.3370240032672882,0.2875039987266063,1.172241098419544,0.0947839990258216,0.0892479978501796,1.0620294158860044,96,57.959802719812,0.4270833333333333,0.8384000137448311,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,13,128,1,prefill,1040.0,349.0,260.0,1.3423076923076922,0.216155899251131,3,0.4233599901199341,0.4074639976024627,1.0390120172849726,0.3780800104141235,0.3179920017719269,1.1889607546962566,0.1171199977397918,0.0980960000306367,1.193932450897219,88,55.53672781777976,0.3522727272727273,0.9185599982738496,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,14,128,1,prefill,1040.0,334.0,260.0,1.2846153846153847,0.1880489990281867,0,0.4371840059757232,0.4141919985413551,1.0555105060342505,0.3055360019207001,0.2803040072321892,1.090016532184679,0.0949760004878044,0.0912959985435009,1.0403084691882751,93,55.23244345449857,0.4516129032258064,0.8376960083842278,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,15,128,1,prefill,1040.0,457.0,260.0,1.7576923076923077,0.4828952990271133,2,0.4433279931545257,0.4377279952168464,1.012793328274343,0.3261120021343231,0.2849199995398521,1.1445739248244993,0.0975999981164932,0.0925519987940788,1.0545423047388292,91,50.08650735891023,0.4285714285714285,0.8670399934053421,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,16,128,1,prefill,1040.0,342.0,260.0,1.3153846153846154,0.2433281321213328,2,0.4225920140743255,0.4153280034661293,1.017489816596941,0.3156479895114898,0.282719999551773,1.1164685555033995,0.0906879976391792,0.0893199983984232,1.0153157105383488,99,54.11408310169583,0.4747474747474747,0.8289280012249947,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,17,128,1,prefill,1040.0,322.0,260.0,1.2384615384615385,0.1754748418387752,2,0.4260160028934479,0.4188079982995987,1.017210761549718,0.3316160142421722,0.2954640015959739,1.1223567421104437,0.0933440029621124,0.0909759998321533,1.0260288772239707,95,55.361187230242535,0.431578947368421,0.8509760200977325,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,18,128,1,prefill,1040.0,348.0,260.0,1.3384615384615384,0.2013085888107958,2,0.4155200123786926,0.3937040045857429,1.0554122069850536,0.339711993932724,0.2893840000033378,1.1739142244519587,0.0992320030927658,0.092696001753211,1.070510067488735,97,48.08915415466305,0.5257731958762887,0.8544640094041824,ep4_serving_straggler_regime_20260901_1340
