rank,phase,encoder_alone_median_ms,alone_median_ms,concurrent_median_ms,alone_comm_median_ms,concurrent_comm_median_ms,encoder_overlap_median_ms
0,dispatch,0.8432319760322571,0.218191996216774,1.20660799741745,0.20996800065040588,0.25407999753952026,0.8653919994831085
0,combine,0.8349759876728058,1.1292479634284973,2.074191927909851,0.1881600022315979,0.2218719944357872,0.859935998916626
0,expert,0.8282240033149719,0.9363999962806702,1.927839994430542,0.19857599586248398,0.20849599689245224,0.8579519987106323
1,dispatch,0.842303991317749,0.2242880016565323,1.2154719829559326,0.21412800252437592,0.27481600642204285,0.8630079925060272
1,combine,0.8433599770069122,1.1329280138015747,2.085919976234436,0.15324799716472626,0.19355200231075287,0.8400639891624451
1,expert,0.8299039900302887,0.9804640114307404,1.9829440116882324,0.15779199451208115,0.1668960005044937,0.8639839887619019
2,dispatch,0.86353600025177,0.21571199595928192,1.2072479724884033,0.2093919962644577,0.22844800353050232,0.8861120045185089
2,combine,0.858383983373642,1.1255680322647095,2.0769600868225098,0.17470400035381317,0.19417599588632584,0.8883520066738129
2,expert,0.855679988861084,0.9546560049057007,1.9499040246009827,0.1759520024061203,0.18479999899864197,0.8809120059013367
3,dispatch,0.8656319975852966,0.2181599959731102,1.1983199715614319,0.20715200155973434,0.24428800493478775,0.878928005695343
3,combine,0.8528479933738708,1.1245760321617126,2.0729280710220337,0.131071999669075,0.1459359973669052,0.8733280003070831
3,expert,0.8613439798355103,0.9898880124092102,1.9963520169258118,0.13177599757909775,0.1369119957089424,0.878928005695343
