rank,phase,iteration,alone_ms,concurrent_ms,alone_comm_ms,concurrent_comm_ms,encoder_overlap_ms,encoder_alone_ms
0,dispatch,0,0.23820799589157104,1.228543996810913,0.22700800001621246,0.2991040050983429,0.849727988243103,0.8467199802398682
0,dispatch,1,0.23744000494480133,1.186527967453003,0.22550399601459503,0.2728320062160492,0.8364480137825012,0.8727999925613403
0,dispatch,2,0.22233599424362183,1.1751359701156616,0.21040000021457672,0.21129600703716278,0.8882240056991577,0.8103359937667847
0,dispatch,3,0.2130880057811737,1.6494719982147217,0.20150400698184967,0.5005760192871094,1.2952640056610107,0.7998719811439514
0,dispatch,4,0.20444799959659576,1.1912000179290771,0.1921280026435852,0.27158400416374207,0.8417279720306396,0.8628479838371277
0,dispatch,5,0.25046399235725403,1.2397119998931885,0.23836800456047058,0.3286080062389374,0.8170239925384521,0.859391987323761
0,dispatch,6,0.24819199740886688,1.9838080406188965,0.2425280064344406,1.0449919700622559,0.8674880266189575,0.8349760174751282
0,dispatch,7,0.2523840069770813,1.2208960056304932,0.240447998046875,0.3303999900817871,0.8145920038223267,0.8225600123405457
0,dispatch,8,0.2077759951353073,1.1632319688796997,0.2019519954919815,0.2099519968032837,0.8829759955406189,0.8258879780769348
0,dispatch,9,0.21350400149822235,1.1974079608917236,0.20796799659729004,0.2495039999485016,0.867680013179779,0.8474559783935547
0,dispatch,10,0.24342399835586548,1.2219840288162231,0.23759999871253967,0.206496000289917,0.9269760251045227,0.8280959725379944
0,dispatch,11,0.21510399878025055,1.2065279483795166,0.20953600108623505,0.23731200397014618,0.8845760226249695,0.8195840120315552
0,dispatch,12,0.25071999430656433,1.215775966644287,0.24537600576877594,0.28278398513793945,0.8613759875297546,0.8537279963493347
0,dispatch,13,0.22259199619293213,1.181439995765686,0.21638399362564087,0.27900800108909607,0.8245120048522949,0.8952959775924683
0,dispatch,14,0.19606399536132812,1.1902079582214355,0.1902720034122467,0.24828800559043884,0.860863983631134,0.8093439936637878
0,dispatch,15,0.21279999613761902,1.2042239904403687,0.20083199441432953,0.29868799448013306,0.8216000199317932,0.8833919763565063
0,dispatch,16,0.2078080028295517,1.189568042755127,0.19628800451755524,0.23836800456047058,0.8808320164680481,0.8250880241394043
0,dispatch,17,0.23628799617290497,1.1861120462417603,0.22492800652980804,0.24348799884319305,0.8616960048675537,0.8622720241546631
0,dispatch,18,0.21769599616527557,1.2184319496154785,0.20531199872493744,0.2791999876499176,0.8526399731636047,0.9188159704208374
0,dispatch,19,0.1990399956703186,1.2120959758758545,0.18742400407791138,0.2216320037841797,0.9136319756507874,0.8437439799308777
0,dispatch,20,0.20950399339199066,1.2066880464553833,0.19676800072193146,0.2738879919052124,0.8554559946060181,0.8594560027122498
0,dispatch,21,0.22179199755191803,1.2195520401000977,0.21641600131988525,0.2743360102176666,0.8691840171813965,0.8375679850578308
0,dispatch,22,0.8640000224113464,1.2302080392837524,0.8524799942970276,0.23046399652957916,0.9228799939155579,0.8695679903030396
0,dispatch,23,0.2096640020608902,1.1776000261306763,0.2035840004682541,0.23503999412059784,0.8630399703979492,0.8427199721336365
0,dispatch,24,0.22172799706459045,1.2307519912719727,0.21625599265098572,0.28387200832366943,0.871999979019165,0.787551999092102
0,dispatch,25,0.22227199375629425,1.162943959236145,0.2162880003452301,0.22726400196552277,0.858240008354187,0.8514559864997864
0,dispatch,26,0.2186879962682724,1.2014720439910889,0.21273599565029144,0.24563199281692505,0.8769599795341492,0.7901440262794495
