label,topology,tp,dp,ep,scale,mode,chunked_prefill,max_num_batched_tokens,iterations,warmups,wall_median_ms,wall_p95_ms,event_rows,source_path,pre_moe_cuda_ms_median,pre_moe_cuda_ms_p95,pre_moe_cuda_ms_spread_median,pre_moe_cuda_ms_ratio_median,prepare_host_ms_median,prepare_host_ms_p95,prepare_host_ms_spread_median,prepare_host_ms_ratio_median,dispatch_cuda_ms_median,dispatch_cuda_ms_p95,dispatch_cuda_ms_spread_median,dispatch_cuda_ms_ratio_median,expert_cuda_ms_median,expert_cuda_ms_p95,expert_cuda_ms_spread_median,expert_cuda_ms_ratio_median,combine_cuda_ms_median,combine_cuda_ms_p95,combine_cuda_ms_spread_median,combine_cuda_ms_ratio_median,event_wait_cuda_ms_median,event_wait_cuda_ms_p95,event_wait_cuda_ms_spread_median,event_wait_cuda_ms_ratio_median,ep_entry_to_done_ms_median,ep_entry_to_done_ms_p95,ep_entry_to_done_ms_spread_median,ep_entry_to_done_ms_ratio_median
A_bal_4k,A,2,2,4,4096,balanced,True,8192,1,1,3229.106538,3229.106538,6144,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_A_bal4096,1.1856320202350616,1.558601579070091,0.39926403760910034,1.1893370781663763,0.35164300000000004,1.1976686999999997,0.4967189999999999,2.0286707644539446,0.30394400656223297,1.0116927705705165,0.41811200976371765,2.040366029736025,0.39292799681425095,1.045252795750275,0.7225120216608047,2.4154073072676425,0.11911999806761742,0.9204736120998859,0.46457599103450775,3.652410063519075,0.013279999839141965,0.8966271915473043,0.47542401030659676,11.827753759801531,0.5960720032453537,0.9490463972091674,0.613711953163147,1.8591764607968413
A_het_4k,A,2,2,4,4096,heterogeneous,True,8192,1,1,3306.0252175,3306.0252175,6144,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_A_het4096,1.197759985923767,0.7122752070426941,0.33081603050231934,1.183934157937503,0.354268,4.01752155,0.5334695,2.0507740152459135,0.3084559962153435,1.2242271825671194,0.3869760110974312,1.9273385040884459,0.3977920040488243,3.4843231692910193,0.7184000047855079,1.9814344316557675,0.11972000263631344,3.46813917979598,0.4014879986643791,3.260674264245717,0.013079999946057796,3.5517087615095075,0.43147199135273695,10.58398910052654,0.6059200018644333,3.612816140055656,0.4310400187969208,1.575347552919014
A_bal_8k,A,2,2,4,8192,balanced,True,8192,1,1,3299.8871545,3299.8871545,6144,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_A_bal8192r,1.1834080219268799,1.717686414718628,0.4153599739074707,1.2150027902948373,0.35257425,2.934312299999998,0.8995775,2.883657626494989,0.3044719994068146,1.2335776060819625,0.4909280017018318,2.1526645210254083,0.3906719982624054,1.4916320048272609,1.1914080083370209,3.2083293979292806,0.11748000048100948,1.5596351977437735,0.7795359864830971,5.281065893069595,0.013095999835059047,1.5656448430381715,0.8239360013976693,15.632802647616103,0.5956799983978271,1.4944240629673005,1.0832319855690002,2.5499278580451317
A_het_8k,A,2,2,4,8192,heterogeneous,True,8192,1,1,3386.688612,3386.688612,6144,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_A_het8192r,1.1914640069007874,3.2527776181697843,1.0524159669876099,1.738454107999933,0.35532675,4.7446985,1.2453495,3.606466516375986,0.30714400112628937,4.010320103913545,1.2749120444059372,4.311838775123877,0.39349600672721863,1.2218959830701348,0.744224026799202,2.535616863535621,0.11831199936568737,1.7363008063286542,0.6756480000913143,4.768281392949065,0.012952000135555863,1.7514415923506021,0.6910079987719655,12.989487552170713,0.5987520068883896,1.7634832203388213,0.8653759956359863,2.1302502354743513
B_bal_4k_first,B,1,4,4,4096,balanced,True,8192,1,1,2834.446501,2834.446501,6144,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_B_bal4096,1.0701199769973755,1.7366608351469037,0.40408003330230713,1.1463604516092198,0.34271125,2.3754202999999996,0.8308275,2.840348491612895,0.29710399359464645,1.8733919739723204,0.551520012319088,2.2163205185035304,0.3819359987974167,1.5671647659968584,1.3003679937683046,3.6436322595425548,0.11748800054192543,1.5422656446695326,0.6686239950358868,5.080158616538959,0.01525599998421967,1.554065552726388,0.7492479900829494,13.92561380646687,0.5840160101652145,1.5529807329177856,1.1141920387744904,2.6042561251796092
B_het_4k_first,B,1,4,4,4096,heterogeneous,True,8192,1,1,3614.4075119999998,3614.4075119999998,6144,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_B_het4096,1.439983993768692,2.5363087624311444,0.8821280002593994,1.3045255240857385,0.802797,3.9701185999999997,1.2524355,2.1972314538024307,0.7538159936666489,2.668302363157272,1.1865600049495697,2.17609212171926,0.3959200009703636,1.4940400307998059,1.1214880128391087,2.941565400351177,0.28970400989055634,1.9008447937667368,0.7804799899458885,2.99569500035227,0.2059279978275299,1.9374383866786955,0.8570720069110394,4.197079344108618,0.7691520154476166,1.8007856339216228,0.889631986618042,1.9658289825834343
B_bal_4k_repeat,B,1,4,4,4096,balanced,True,8192,2,1,4287.80732925,4288.586140875,12288,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_B_bal4096rep,1.6910479962825775,1.542928010225296,0.7944959402084351,1.100565378265264,0.90834975,2.6618380000000004,1.13516,1.7248529005785098,0.6547040045261383,2.1620159074664116,1.0594560354948044,1.685911221862403,0.5880639851093292,1.709767997963354,1.4479360468685627,3.049038876479748,0.39583199471235275,1.6553359646350145,0.8892959952354431,2.5760962318637803,0.3146879971027374,1.663152039051056,0.9316320018842816,3.6788461419371745,0.9525279998779297,1.3376400917768478,0.9901760220527649,1.874108242863184
B_het_4k_repeat,B,1,4,4,4096,heterogeneous,True,8192,2,1,2961.335242,2964.14334595,12288,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_B_het4096rep,1.1244400143623352,2.0637998580932617,0.6155200004577637,1.3599785943268583,0.40726724999999997,3.154927,0.9870209999999999,2.694304020204216,0.3606320023536682,2.489815916866064,0.8342560157179832,2.688028521772403,0.3816239982843399,1.5764959738589823,1.1171679701656103,3.0575067967179432,0.12722400203347206,1.4995440430939198,0.7760959751904011,4.683492511440351,0.033296000212430954,1.5365519784390926,0.8185120220296085,9.977953156125851,0.591936007142067,1.5823120176792145,0.9698239862918854,2.330254920855401
B_bal_8k,B,1,4,4,8192,balanced,True,8192,1,1,2941.219294,2941.219294,6144,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_B_bal8192,1.0615200102329254,1.9607199728488918,1.0130880177021027,1.511724961431435,0.33506375,3.53303935,2.8641035,7.068039594915472,0.2873679995536804,2.0354992464184756,0.5800640061497688,2.487685292405011,0.38227200508117676,3.0966880399733783,2.4322560080327094,6.009223127498611,0.1168960016220808,3.5173663392663004,1.181567955762148,8.068821771667864,0.012783999787643552,3.5474063725676386,1.2522240402176976,19.41733672065691,0.5842799991369247,3.1902431935071944,2.476352035999298,4.415370779656774
B_het_8k,B,1,4,4,8192,heterogeneous,True,8192,1,1,3173.734801,3173.734801,6144,poc_flashvep/deepep_revalidation/results/asap_sync_phenomenon_reproduction_20260901_stageB_B_het8192,1.0716959536075592,2.4619472861289977,1.6728799939155579,2.3007698310409284,0.3376395,3.9350802000000003,2.876221,5.973895714753139,0.292152002453804,3.094798359274864,2.236992083489895,6.229581111935553,0.383712001144886,2.7131920639425515,1.8701439946889877,4.927613693029327,0.11784000135958195,2.8711855176836254,1.3737759627401829,7.8222303336456385,0.013016000157222152,2.904083224898204,1.443984002340585,16.576058398014787,0.588239997625351,2.8556991517543793,2.224943995475769,3.937008709280813
