label,iteration,layer,topology,mode,scale,pre_moe_cuda_ms_median,pre_moe_cuda_ms_spread_ms,pre_moe_cuda_ms_ratio,prepare_host_ms_median,prepare_host_ms_spread_ms,prepare_host_ms_ratio,dispatch_cuda_ms_median,dispatch_cuda_ms_spread_ms,dispatch_cuda_ms_ratio,expert_cuda_ms_median,expert_cuda_ms_spread_ms,expert_cuda_ms_ratio,combine_cuda_ms_median,combine_cuda_ms_spread_ms,combine_cuda_ms_ratio,event_wait_cuda_ms_median,event_wait_cuda_ms_spread_ms,event_wait_cuda_ms_ratio,ep_entry_to_done_ms_median,ep_entry_to_done_ms_spread_ms,ep_entry_to_done_ms_ratio
A_bal_4k,0,0,A,balanced,4096,1.3328160047531128,0.6481280326843262,1.3916663692608753,0.3735825,0.492287,2.0039846142786852,0.3224159926176071,0.5018880069255829,2.21025267231526,0.4018239974975586,0.708191990852356,2.5994254514489654,0.12081599980592728,0.5887039750814438,4.896410102242324,0.01307199988514185,0.553344008512795,17.03359335170147,0.6116800010204315,0.7102400064468384,2.02097720512859
A_bal_4k,0,1,A,balanced,4096,1.1904799938201904,0.2055680751800537,1.1100671388798193,0.34316599999999997,0.339916,1.7275160267935892,0.29385600984096527,0.384320005774498,1.9624513560305306,0.3916639983654022,0.8890240015462041,2.7283697673971776,0.12303999811410904,0.4572800025343895,2.564894500729744,0.013407999649643898,0.4527999898418784,4.087547630304226,0.6005600094795227,0.5885439515113831,1.860143577994856
A_bal_4k,0,2,A,balanced,4096,1.197264015674591,0.4888639450073242,1.3105360882680783,0.3581165,0.664752,2.101442711041672,0.3073760122060776,0.6975039839744568,2.5103406178359693,0.39547199010849,0.5417280197143555,2.1901047582863358,0.11935999989509583,0.21516800671815872,2.3072584027010157,0.012736000120639801,0.267423989251256,9.775897260461822,0.5980959832668304,0.5412800312042236,1.7730089901279587
A_bal_4k,0,3,A,balanced,4096,1.169119954109192,0.32150399684906006,1.1991161922533389,0.3352345,0.44918100000000005,2.0373988116665984,0.28440000116825104,0.4573119729757309,2.247423466459449,0.3890560120344162,1.0823359889909625,3.0289715971865108,0.11956800147891045,0.6973120123147964,4.41371728158369,0.01574400020763278,0.669279987923801,8.37798538650747,0.5927039980888367,0.7383679747581482,2.097068363467911
A_bal_4k,0,4,A,balanced,4096,1.1935679912567139,0.21209609508514404,1.1146860887040737,0.36727750000000003,0.5471969999999999,2.04942839036334,0.32100799679756165,0.4716799855232239,2.097512137494406,0.3972640037536621,0.535040020942688,2.1694336562688816,0.11748800054192543,0.21395200490951538,2.6022599764305974,0.01283199992030859,0.29977600555866957,11.774419771729045,0.5982080101966858,0.5279039740562439,1.7524734185198774
A_bal_4k,0,5,A,balanced,4096,1.180687963962555,0.33104002475738525,1.1827712842375329,0.35374,0.198874,1.396131498460522,0.3022559881210327,0.19801601767539978,1.4617540241955875,0.3933119922876358,0.5420160293579102,2.2178782203766136,0.11707199737429619,0.5443520024418831,5.011923286446509,0.012399999890476465,0.49551999289542437,20.42615014264013,0.5952479839324951,0.5570560693740845,1.8164624942221814
A_bal_4k,0,6,A,balanced,4096,1.179472029209137,0.29526400566101074,1.1928387058840546,0.34856750000000003,0.425133,2.030922505116362,0.30111999809741974,0.45337599515914917,2.2843944025324587,0.3912480026483536,0.5197120308876038,2.1447585292884517,0.1172959990799427,0.2550400048494339,2.6412488329982424,0.01280000014230609,0.3033919995650649,11.889538795879812,0.5943679809570312,0.5107520222663879,1.7358568826123382
A_bal_4k,0,7,A,balanced,4096,1.1785759925842285,0.21859192848205566,1.0853565827197869,0.348451,0.151603,1.26110352981709,0.3019679933786392,0.14745600521564484,1.2970078557493532,0.39313600957393646,0.7712320387363434,2.7346371144274437,0.11911999806761742,0.7704640030860901,5.920792269618922,0.012784000020474195,0.7523520160466433,16.608258226830635,0.5990080237388611,0.8187199831008911,2.1508252201543505
A_bal_4k,0,8,A,balanced,4096,1.169264018535614,0.4839359521865845,1.3184626470809282,0.33134600000000003,0.9231499999999999,3.341922346928689,0.28494399785995483,0.9208000153303146,3.746290496503708,0.3864160031080246,0.8866880051791668,2.738959676502891,0.12296000123023987,0.471871979534626,2.6288278296124385,0.016607999801635742,0.4662080127745867,4.107055086931052,0.5944960117340088,0.5370879769325256,1.770852433662439
A_bal_4k,0,9,A,balanced,4096,1.1882719993591309,0.4564800262451172,1.2317966497780901,0.358482,0.662631,2.1448812959166634,0.3110719919204712,0.5044480115175247,2.0638521133612793,0.39452800154685974,0.8833919763565063,2.861799056089879,0.12388800084590912,0.8536960035562515,4.719104546651484,0.022336000576615334,0.8558719726279378,8.008116241901847,0.6175839900970459,0.9249600172042847,2.065232168555067
