task,definition,invocation_fraction,predicted_compacted_expert_time_fraction,evidence_scope
gsm8k,heterogeneous_25tiny_10large,0.5166253101736973,0.5947849318497257,"model-based post-compaction sensitivity, not measured Epoch latency"
gsm8k,heterogeneous_40tiny_05large,0.24367245657568237,0.251517354687181,"model-based post-compaction sensitivity, not measured Epoch latency"
humaneval,heterogeneous_25tiny_10large,0.5222011385199241,0.589043969036956,"model-based post-compaction sensitivity, not measured Epoch latency"
humaneval,heterogeneous_40tiny_05large,0.30740037950664134,0.31492743190888056,"model-based post-compaction sensitivity, not measured Epoch latency"
