scope,restart,control_group,task,phase,high_heterogeneity_control,low_heterogeneity_control,high_over_low_latency
compacted,1,case_000,gsm8k,early,0.6224640011787415,0.6325439810752869,0.9840643809788372
compacted,1,case_001,gsm8k,early,0.5788320004940033,0.5573920011520386,1.0384648493298285
compacted,1,case_002,gsm8k,early,0.24630399793386454,0.2431520000100135,1.0129630762803565
compacted,1,case_006,gsm8k,late,0.118767999112606,0.1193439997732639,0.9951736102212744
compacted,1,case_007,gsm8k,late,0.2706719934940338,0.2751839905977249,0.9836037078541865
compacted,1,case_010,gsm8k,middle,0.5330080091953278,0.5221120119094849,1.020869079885739
compacted,1,case_011,gsm8k,middle,0.5351999998092651,0.5168319940567017,1.0355396066106317
compacted,1,case_012,gsm8k,middle,0.5800159871578217,0.565423995256424,1.0258071677605054
compacted,1,case_015,humaneval,early,0.3351359963417053,0.32740800082683563,1.0236035634295846
compacted,1,case_016,humaneval,early,0.5633440017700195,0.5465599894523621,1.0307084540426652
compacted,1,case_017,humaneval,early,0.5431999862194061,0.5393279790878296,1.007179318117568
compacted,1,case_021,humaneval,late,0.11823999881744379,0.11892800033092496,0.9942149745092261
compacted,1,case_022,humaneval,late,0.1482079997658729,0.1487519964575767,0.9963429284671218
compacted,1,case_025,humaneval,middle,0.1543199941515922,0.15588799864053726,0.9899414675753152
compacted,1,case_026,humaneval,middle,0.28595200181007385,0.2789440006017685,1.0251233265214055
compacted,1,case_027,humaneval,middle,0.42027200758457184,0.4148000031709671,1.0131919102501774
compacted,2,case_000,gsm8k,early,0.6218239963054657,0.630048006772995,0.986947009784776
compacted,2,case_001,gsm8k,early,0.5783680081367493,0.5564000010490417,1.0394823994361768
compacted,2,case_002,gsm8k,early,0.24446400254964826,0.2431039959192276,1.0055943409127366
compacted,2,case_006,gsm8k,late,0.11913599818944925,0.11913600191473955,0.9999999687307762
compacted,2,case_007,gsm8k,late,0.26899200677871704,0.2727999985218048,0.9860410859101109
compacted,2,case_010,gsm8k,middle,0.5323199927806854,0.5211199820041656,1.0214921921309674
compacted,2,case_011,gsm8k,middle,0.5338239967823029,0.5160160064697266,1.0345105386059783
compacted,2,case_012,gsm8k,middle,0.5799200236797333,0.5657280087471008,1.0250862865426498
compacted,2,case_015,humaneval,early,0.3330399990081787,0.3266240060329437,1.0196433601227335
compacted,2,case_016,humaneval,early,0.5633760094642639,0.5454080104827881,1.03294414206636
compacted,2,case_017,humaneval,early,0.5428639948368073,0.5381120145320892,1.0088308385176088
compacted,2,case_021,humaneval,late,0.1171679981052875,0.11838399991393085,0.9897283263825565
compacted,2,case_022,humaneval,late,0.16588800400495524,0.1481920033693313,1.1194126554286543
compacted,2,case_025,humaneval,middle,0.15302400290966028,0.15496000647544855,0.9875064307893211
compacted,2,case_026,humaneval,middle,0.28427200019359583,0.27796800434589386,1.0226788542175433
compacted,2,case_027,humaneval,middle,0.4196479916572571,0.4122080057859421,1.0180491057109127
compacted,3,case_000,gsm8k,early,0.6249279975891113,0.6339199841022491,0.9858152657454519
compacted,3,case_001,gsm8k,early,0.5803519785404205,0.5584799945354462,1.0391634153756355
compacted,3,case_002,gsm8k,early,0.24851199984550476,0.2453600019216537,1.0128464211736417
compacted,3,case_006,gsm8k,late,0.12052800133824346,0.12155200168490404,0.9915756192208577
compacted,3,case_007,gsm8k,late,0.27284799516201014,0.2762559950351715,0.9876636165932707
compacted,3,case_010,gsm8k,middle,0.5332799851894379,0.5242879986763,1.0171508532254037
compacted,3,case_011,gsm8k,middle,0.5359520018100739,0.518528014421463,1.033602788863879
compacted,3,case_012,gsm8k,middle,0.5795519948005676,0.565200001001358,1.0253927703003933
compacted,3,case_015,humaneval,early,0.3363199979066849,0.3294239938259125,1.020933520963918
compacted,3,case_016,humaneval,early,0.5650559961795807,0.5488480031490326,1.0295309319475596
compacted,3,case_017,humaneval,early,0.5449279844760895,0.5408479869365692,1.00754370477115
compacted,3,case_021,humaneval,late,0.1204000003635883,0.12089600041508675,0.9958972997469274
compacted,3,case_022,humaneval,late,0.15030400454998016,0.15123199671506882,0.9938637842173237
compacted,3,case_025,humaneval,middle,0.15601599961519236,0.158048003911972,0.9871431195175904
compacted,3,case_026,humaneval,middle,0.2864640057086944,0.2819039970636368,1.016175750228998
compacted,3,case_027,humaneval,middle,0.421999990940094,0.41595199704170227,1.0145401246812271
dense,1,dense_000,gsm8k,early,0.6345600187778473,0.6161120235919952,1.0299425988772275
dense,1,dense_001,gsm8k,early,0.6109600067138672,0.5972639918327332,1.0229312583186325
