restart,scope,case_id,rows,max_abs,mean_abs,relative_l2,cosine,note
1,dense,homogeneous_me2,128,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me3,192,0.0,0.0,0.0,0.9999998807907104,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me4,256,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me8,512,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me16,1024,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me24,1536,0.0,0.0,0.0,0.9999998807907104,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me32,2048,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me48,3072,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me64,4096,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me96,6144,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me128,8192,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,dense,homogeneous_me256,16384,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_000_real,1015,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_000_low_heterogeneity_control,1015,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_000_high_heterogeneity_control,1015,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_001_real,1937,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_001_low_heterogeneity_control,1937,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_001_high_heterogeneity_control,1937,0.0,0.0,0.0,0.9999999403953552,independent BF16 grouped reduction-order comparison
2,dense,dense_002_real,3181,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_002_low_heterogeneity_control,3181,0.0,0.0,0.0,0.9999998807907104,independent BF16 grouped reduction-order comparison
2,dense,dense_002_high_heterogeneity_control,3181,0.0,0.0,0.0,0.9999998211860656,independent BF16 grouped reduction-order comparison
2,dense,dense_003_real,57,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_003_low_heterogeneity_control,57,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_003_high_heterogeneity_control,57,0.0,0.0,0.0,0.9999999403953552,independent BF16 grouped reduction-order comparison
2,dense,dense_004_real,357,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_004_low_heterogeneity_control,357,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_004_high_heterogeneity_control,357,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_005_real,1224,0.0,0.0,0.0,0.9999998807907104,independent BF16 grouped reduction-order comparison
2,dense,dense_005_low_heterogeneity_control,1224,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_005_high_heterogeneity_control,1224,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_006_real,1029,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_006_low_heterogeneity_control,1029,0.0,0.0,0.0,0.9999999403953552,independent BF16 grouped reduction-order comparison
2,dense,dense_006_high_heterogeneity_control,1029,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
2,dense,dense_007_real,1753,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
