case_id,geometry,task,wave,normalized_progress,phase,layer,rank,physical_dense_m,fresh_m,assignments,active_experts,inactive_fraction,mean_m_e,median_m_e,p90_m_e,max_m_e,m_e_std,m_e_cv,tiny_le1_active_fraction,tiny_le2_active_fraction,tiny_le4_active_fraction,tiny_le8_active_fraction,large_ge16_active_fraction,large_ge32_active_fraction,heterogeneous_25tiny_10large,heterogeneous_40tiny_05large,dense_measured_expert_ms,compacted_predicted_expert_ms,same_total_assignment_control_group
case_000_real,real,gsm8k,37,0.578125,early,23,0,1024,827,1606,50,0.21875,32.12,18.0,79.4,145,34.140087873349124,1.0628919014118656,0.04,0.08,0.18,0.34,0.54,0.4,0,0,0.9920960068702698,0.9398554892756891,case_000
case_000_low_heterogeneity_control,low_heterogeneity_control,gsm8k,37,0.578125,early,23,0,1024,827,1606,50,0.21875,32.12,32.0,33.0,33,0.32496153618543844,0.01011710884761639,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.9920960068702698,0.9398554892756891,case_000
case_000_high_heterogeneity_control,high_heterogeneity_control,gsm8k,37,0.578125,early,23,0,1024,827,1606,50,0.21875,32.12,32.0,64.0,64,31.121465261134475,0.9689123680303386,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.9920960068702698,0.9398554892756891,case_000
case_001_real,real,gsm8k,37,0.578125,early,7,3,1024,827,781,47,0.265625,16.617021276595743,8.0,34.199999999999974,131,25.25575829979016,1.5198727786045296,0.1702127659574468,0.19148936170212766,0.3617021276595745,0.5531914893617021,0.3404255319148936,0.10638297872340426,1,0,0.9327679872512817,0.8401384111367218,case_001
case_001_low_heterogeneity_control,low_heterogeneity_control,gsm8k,37,0.578125,early,7,3,1024,827,781,47,0.265625,16.617021276595743,17.0,17.0,17,0.4861131769700366,0.02925392998411232,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.9327679872512817,0.8401384111367218,case_001
case_001_high_heterogeneity_control,high_heterogeneity_control,gsm8k,37,0.578125,early,7,3,1024,827,781,47,0.265625,16.617021276595743,31.0,32.0,32,15.29226364203219,0.920277069366854,0.48936170212765956,0.48936170212765956,0.48936170212765956,0.48936170212765956,0.5106382978723404,0.2978723404255319,1,0,0.9327679872512817,0.8401384111367218,case_001
case_002_real,real,gsm8k,36,0.5625,early,2,1,1024,1024,114,15,0.765625,7.6,4.0,18.4,21,6.580780095601636,0.8658921178423206,0.06666666666666667,0.2,0.5333333333333333,0.6666666666666666,0.2,0.0,1,1,0.4089280068874359,0.46313473512523873,case_002
case_002_low_heterogeneity_control,low_heterogeneity_control,gsm8k,36,0.5625,early,2,1,1024,1024,114,15,0.765625,7.6,8.0,8.0,8,0.4898979485566356,0.06446025638903101,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.4089280068874359,0.46313473512523873,case_002
case_002_high_heterogeneity_control,high_heterogeneity_control,gsm8k,36,0.5625,early,2,1,1024,1024,114,15,0.765625,7.6,13.0,14.0,14,6.1838499334961226,0.8136644649337004,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.0,0.0,1,1,0.4089280068874359,0.46313473512523873,case_002
case_003_real,real,gsm8k,36,0.5625,early,27,3,1024,1024,922,35,0.453125,26.34285714285714,14.0,46.20000000000001,237,41.52929627358971,1.57649172405167,0.17142857142857143,0.2,0.2571428571428571,0.42857142857142855,0.4857142857142857,0.34285714285714286,1,0,0.7749760150909424,0.7469504444304006,case_003
case_003_low_heterogeneity_control,low_heterogeneity_control,gsm8k,36,0.5625,early,27,3,1024,1024,922,35,0.453125,26.34285714285714,26.0,27.0,27,0.4746642207381757,0.018018706860993657,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.7749760150909424,0.7469504444304006,case_003
case_003_high_heterogeneity_control,high_heterogeneity_control,gsm8k,36,0.5625,early,27,3,1024,1024,922,35,0.453125,26.34285714285714,50.0,51.0,51,24.63092464727201,0.9350134085190026,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.5142857142857142,0.5142857142857142,1,0,0.7749760150909424,0.7469504444304006,case_003
case_004_real,real,gsm8k,36,0.5625,early,3,3,1024,1024,2099,39,0.390625,53.82051282051282,4.0,61.40000000000009,825,177.64122179772437,3.3006229871897337,0.2564102564102564,0.4358974358974359,0.5641025641025641,0.6923076923076923,0.20512820512820512,0.15384615384615385,1,1,0.8480319976806641,0.8225600309034772,case_004
case_004_low_heterogeneity_control,low_heterogeneity_control,gsm8k,36,0.5625,early,3,3,1024,1024,2099,39,0.390625,53.82051282051282,54.0,54.0,54,0.3837597319768145,0.007130361861408178,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0.8480319976806641,0.8225600309034772,case_004
case_004_high_heterogeneity_control,high_heterogeneity_control,gsm8k,36,0.5625,early,3,3,1024,1024,2099,39,0.390625,53.82051282051282,104.0,104.0,104,51.48306756488838,0.9565696212628142,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.5128205128205128,0.5128205128205128,1,1,0.8480319976806641,0.8225600309034772,case_004
case_005_real,real,gsm8k,35,0.546875,late,1,0,32,0,0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6610239744186401,0.0,case_005
case_005_low_heterogeneity_control,low_heterogeneity_control,gsm8k,35,0.546875,late,1,0,32,0,0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6610239744186401,0.0,case_005
case_005_high_heterogeneity_control,high_heterogeneity_control,gsm8k,35,0.546875,late,1,0,32,0,0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6610239744186401,0.0,case_005
case_006_real,real,gsm8k,57,0.890625,late,10,3,64,8,3,3,0.953125,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.46832001209259033,0.5178785606369318,case_006
case_006_low_heterogeneity_control,low_heterogeneity_control,gsm8k,57,0.890625,late,10,3,64,8,3,3,0.953125,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.46832001209259033,0.5178785606369318,case_006
case_006_high_heterogeneity_control,high_heterogeneity_control,gsm8k,57,0.890625,late,10,3,64,8,3,3,0.953125,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.46832001209259033,0.5178785606369318,case_006
case_007_real,real,gsm8k,52,0.8125,late,22,2,192,38,67,17,0.734375,3.9411764705882355,4.0,6.0,8,1.6616996343324157,0.421625280353001,0.058823529411764705,0.23529411764705882,0.7647058823529411,1.0,0.0,0.0,0,0,0.674015998840332,0.47826460072614546,case_007
case_007_low_heterogeneity_control,low_heterogeneity_control,gsm8k,52,0.8125,late,22,2,192,38,67,17,0.734375,3.9411764705882355,4.0,4.0,4,0.23529411764705882,0.05970149253731343,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.674015998840332,0.47826460072614546,case_007
case_007_high_heterogeneity_control,high_heterogeneity_control,gsm8k,52,0.8125,late,22,2,192,38,67,17,0.734375,3.9411764705882355,6.0,7.0,7,2.7964386644716974,0.7095441387465501,0.47058823529411764,0.47058823529411764,0.47058823529411764,1.0,0.0,0.0,0,0,0.674015998840332,0.47826460072614546,case_007
case_008_real,real,gsm8k,26,0.40625,late,2,3,448,98,185,19,0.703125,9.736842105263158,3.0,19.39999999999997,79,19.954796561658416,2.0494115387649186,0.42105263157894735,0.47368421052631576,0.7368421052631579,0.7894736842105263,0.10526315789473684,0.10526315789473684,1,1,0.9971200227737427,0.496230638187093,case_008
case_008_low_heterogeneity_control,low_heterogeneity_control,gsm8k,26,0.40625,late,2,3,448,98,185,19,0.703125,9.736842105263158,10.0,10.0,10,0.44034738238635557,0.04522486629913922,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.9971200227737427,0.496230638187093,case_008
