task,phase,fresh_m,active_experts,median_m_e,p90_m_e,max_m_e,tiny_le4_active_fraction,m_e_cv,heterogeneous_25tiny_10large,heterogeneous_40tiny_05large
gsm8k,early,925.5,173.0,14.25,110.20000000000006,531.0,0.27049819927971186,1.7343600493762394,1.0,0.0
gsm8k,late,35.5,71.5,2.0,8.700000000000003,20.0,0.684931506849315,0.9894314068359988,0.0,0.0
gsm8k,middle,419.0,147.0,9.0,57.19999999999999,236.0,0.3515151515151515,1.6066311085986706,1.0,0.0
humaneval,early,802.0,166.0,13.0,98.80000000000001,442.0,0.2934131736526946,1.5964715837089192,1.0,0.0
humaneval,late,15.5,45.0,2.0,5.0,10.0,0.7943190975020145,0.7870816817786044,0.0,0.0
humaneval,middle,172.0,122.0,5.0,29.400000000000006,88.0,0.4689655172413793,1.274585012668901,1.0,1.0
