task,wave,normalized_progress,phase,layer,rank,physical_dense_m,fresh_m,assignments,active_experts,inactive_fraction,mean_m_e,median_m_e,p90_m_e,max_m_e,m_e_std,m_e_cv,tiny_le1_active_fraction,tiny_le2_active_fraction,tiny_le4_active_fraction,tiny_le8_active_fraction,large_ge16_active_fraction,large_ge32_active_fraction,heterogeneous_25tiny_10large,heterogeneous_40tiny_05large,dense_measured_expert_ms,compacted_predicted_expert_ms,evidence_scope
gsm8k,0,0.0,middle,1,-1,992,493,3944,48,0.8125,82.16666666666667,25.0,308.8000000000005,444,126.31167360497163,1.5372617477278494,0.10416666666666667,0.14583333333333334,0.20833333333333334,0.3541666666666667,0.5833333333333334,0.4583333333333333,0,0,,,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,1,0,992,493,502,13,0.796875,38.61538461538461,26.0,110.80000000000001,123,43.49807858097512,1.1264442660411884,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.46153846153846156,1,0,1.083583950996399,0.5837581727328184,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,1,1,992,493,1600,11,0.828125,145.45454545454547,41.0,426.0,444,175.78828362879312,1.2085444499479525,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.5454545454545454,0,0,1.0800000429153442,0.7207819325879039,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,1,2,992,493,1487,14,0.78125,106.21428571428571,30.0,355.2000000000001,390,140.0750709805427,1.3187969023050423,0.0,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.6428571428571429,0.5,0,0,1.0042239427566528,0.7116797354441559,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,1,3,992,493,355,10,0.84375,35.5,8.0,94.89999999999996,175,52.938171483344604,1.4912160981223832,0.1,0.2,0.3,0.5,0.4,0.3,1,0,0.9613760113716125,0.5557447770167633,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,2,-1,992,493,3944,44,0.828125,89.63636363636364,15.5,368.60000000000025,466,144.99891706634648,1.6176349774136016,0.09090909090909091,0.20454545454545456,0.29545454545454547,0.4318181818181818,0.5,0.4318181818181818,1,0,,,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,2,0,992,493,2072,16,0.75,129.5,29.5,420.5,466,174.65143858554387,1.3486597574173271,0.125,0.1875,0.25,0.25,0.625,0.5,1,0,1.176543951034546,0.7414346840538741,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,2,1,992,493,102,6,0.90625,17.0,10.0,40.0,45,17.07825127659933,1.0046030162705488,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1,0,0.9098880290985107,0.5011457763692859,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,2,2,992,493,618,12,0.8125,51.5,4.5,165.80000000000004,314,92.94039308431327,1.8046678268798693,0.0,0.25,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,1,1,1.0691519975662231,0.5780800365630037,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,2,3,992,493,1152,10,0.84375,115.2,28.0,320.79999999999995,454,158.29137689716393,1.3740570911212147,0.0,0.1,0.1,0.4,0.6,0.5,0,0,1.0618879795074463,0.6870798843445817,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
gsm8k,0,0.0,middle,3,-1,992,493,3944,48,0.8125,82.16666666666667,20.5,308.7000000000004,457,136.2932398258337,1.6587412554868197,0.125,0.1875,0.20833333333333334,0.3125,0.5625,0.3125,0,0,,,measured_route_plus_future_known_live_mask; compacted timing is model sensitivity
