scope,restart,case_id,control_group,geometry,task,phase,wave,layer,rank,backend,total_assignments,active_experts,median_m_e,max_m_e,tiny_le4_fraction,m_e_cv,latency_ms
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_fused_tiny_le16_grouped_large,1606,50,1.0,64,0.5,0.9689124226570128,0.875135987997055
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_fused_tiny_le1_grouped_large,1606,50,1.0,64,0.5,0.9689124226570128,0.8777279853820801
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_fused_tiny_le2_grouped_large,1606,50,1.0,64,0.5,0.9689124226570128,0.8718239963054657
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_fused_tiny_le4_grouped_large,1606,50,1.0,64,0.5,0.9689124226570128,0.87363201379776
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_fused_tiny_le8_grouped_large,1606,50,1.0,64,0.5,0.9689124226570128,0.8754560053348541
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_grouped_tiny_le16_fused_large,1606,50,1.0,64,0.5,0.9689124226570128,0.873199999332428
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_grouped_tiny_le1_fused_large,1606,50,1.0,64,0.5,0.9689124226570128,0.874752014875412
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_grouped_tiny_le2_fused_large,1606,50,1.0,64,0.5,0.9689124226570128,0.8717600107192993
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_grouped_tiny_le4_fused_large,1606,50,1.0,64,0.5,0.9689124226570128,0.8731519877910614
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,hybrid_grouped_tiny_le8_fused_large,1606,50,1.0,64,0.5,0.9689124226570128,0.872736006975174
compacted,1,case_000_high_heterogeneity_control,case_000,high_heterogeneity_control,gsm8k,early,37,23,0,torch_grouped,1606,50,1.0,64,0.5,0.9689124226570128,0.6224640011787415
