source,mode,chunk_index,tokens,dispatch_ms,expert_ms,combine_ms,total_moe_ms,status,note
primary_stablecheck,baseline,1,256,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Existing read-only hook wraps full decoder layer; no extra DeepEP calls.
primary_stablecheck,baseline,2,227,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Existing read-only hook wraps full decoder layer; no extra DeepEP calls.
primary_stablecheck,streaming,1,256,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Existing read-only hook wraps full decoder layer; no extra DeepEP calls.
primary_stablecheck,streaming,2,227,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Existing read-only hook wraps full decoder layer; no extra DeepEP calls.
secondary_handoff,baseline,1,256,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Existing read-only hook wraps full decoder layer; no extra DeepEP calls.
secondary_handoff,baseline,2,227,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Existing read-only hook wraps full decoder layer; no extra DeepEP calls.
secondary_handoff,streaming,1,256,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Existing read-only hook wraps full decoder layer; no extra DeepEP calls.
secondary_handoff,streaming,2,227,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Existing read-only hook wraps full decoder layer; no extra DeepEP calls.
