block,workload,variant,requests,token_exact_requests,token_exact_fraction,mean_common_prefix_tokens,e2e_reduction_pct,ttft_reduction_pct,tpot_reduction_pct,status
0,b4_c2048,plan2,4,4,1,1,-1.1775115734469432,-1.1775115734469432,,TOKEN_EXACT_DESCRIPTIVE_ONLY
0,b4_c1024,plan4,4,4,1,1,-86.04157393661633,-86.04157393661633,,TOKEN_EXACT_DESCRIPTIVE_ONLY
0,b4_c2048,plan4,4,4,1,1,-11.962846787253255,-11.962846787253255,,TOKEN_EXACT_DESCRIPTIVE_ONLY
0,b4_c1024,plan2,4,4,1,1,-16.11908602545775,-16.11908602545775,,TOKEN_EXACT_DESCRIPTIVE_ONLY
1,b4_c2048,plan2,4,4,1,1,-0.11819464581628303,-0.11819464581628303,,TOKEN_EXACT_DESCRIPTIVE_ONLY
1,b4_c1024,plan2,4,4,1,1,-20.599964100027314,-20.599964100027314,,TOKEN_EXACT_DESCRIPTIVE_ONLY
1,b4_c1024,plan4,4,4,1,1,-103.23784096812227,-103.23784096812227,,TOKEN_EXACT_DESCRIPTIVE_ONLY
1,b4_c2048,plan4,4,4,1,1,-84.55314045363589,-84.55314045363589,,TOKEN_EXACT_DESCRIPTIVE_ONLY
2,b4_c2048,plan4,4,4,1,1,-11.853668346357837,-11.853668346357837,,TOKEN_EXACT_DESCRIPTIVE_ONLY
2,b4_c2048,plan2,4,4,1,1,-0.5801529642219361,-0.5801529642219361,,TOKEN_EXACT_DESCRIPTIVE_ONLY
2,b4_c1024,plan4,4,4,1,1,-90.65922252105364,-90.65922252105364,,TOKEN_EXACT_DESCRIPTIVE_ONLY
2,b4_c1024,plan2,4,4,1,1,-17.461003933787378,-17.461003933787378,,TOKEN_EXACT_DESCRIPTIVE_ONLY
