case_id,task,phase,scope,total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
dense_000_real,gsm8k,early,measured_dense_runtime,1015,53,11,real,19.150943396226417,1,135,1.2120669384134413,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.440036268007816e-08,0.0028139869682490826,0.9999960660934448
dense_000_real,gsm8k,early,measured_dense_runtime,1015,53,11,real,19.150943396226417,1,135,1.2120669384134413,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.440036268007816e-08,0.0028139869682490826,0.9999960660934448
dense_001_real,gsm8k,early,measured_dense_runtime,1937,49,15,real,39.53061224489796,1,534,2.1061012435708184,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.475658084615361e-08,0.0028185630217194557,0.9999960064888
dense_001_real,gsm8k,early,measured_dense_runtime,1937,49,15,real,39.53061224489796,1,534,2.1061012435708184,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.475658084615361e-08,0.0028185630217194557,0.9999960064888
dense_002_real,gsm8k,early,measured_dense_runtime,3181,35,29,real,90.88571428571429,1,749,1.8545389599707616,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4520118440941587e-08,0.002821755362674594,0.9999960660934448
dense_002_real,gsm8k,early,measured_dense_runtime,3181,35,29,real,90.88571428571429,1,749,1.8545389599707616,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4520118440941587e-08,0.002821755362674594,0.9999960660934448
dense_003_real,gsm8k,late,measured_dense_runtime,57,12,52,real,4.75,1,14,0.8470251020753201,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.436568020096729e-08,0.0027984129264950752,0.9999961256980896
dense_003_real,gsm8k,late,measured_dense_runtime,57,12,52,real,4.75,1,14,0.8470251020753201,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.436568020096729e-08,0.0027984129264950752,0.9999961256980896
dense_004_real,gsm8k,late,measured_dense_runtime,357,53,11,real,6.735849056603773,1,25,0.801375055034001,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4702423278833976e-08,0.002826447132974863,0.9999960064888
dense_004_real,gsm8k,late,measured_dense_runtime,357,53,11,real,6.735849056603773,1,25,0.801375055034001,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4702423278833976e-08,0.002826447132974863,0.9999960064888
