prompt_length,per_tp_M,samples,clean_ttft_ms,instrumented_ttft_ms,observer_ttft_tax_pct,moe_ms_median,moe_ms_p90,moe_ms_clean_ttft_share,layout_ms_median,layout_ms_p90,layout_ms_clean_ttft_share,dispatch_ms_median,dispatch_ms_p90,dispatch_ms_clean_ttft_share,expert_ms_median,expert_ms_p90,expert_ms_clean_ttft_share,combine_ms_median,combine_ms_p90,combine_ms_clean_ttft_share,layer_mean_rank_max_mean_median
256,128,6,102.75936126708984,226.29904747009277,120.22231812233758,60.84172809123993,68.1155675649643,0.5920796639938376,2.0519679877907038,2.096463993191719,0.01996867207511415,7.939311981201172,14.181359972804785,0.077261204072352,22.757296085357666,23.243775963783264,0.22146202355430575,2.384784011170268,2.410080000758171,0.02320746238361477,1.3615315755208335
2048,1024,6,103.3700704574585,446.408748626709,331.85493310699303,71.20548796653748,71.91153573989868,0.688840470471013,2.233935995027423,2.368607994168997,0.02161105226243209,7.660976003855467,8.405232019722462,0.07411212907132832,34.27441594004631,34.59187212586403,0.3315700162374543,0.18731199682224542,0.2625599968014285,0.0018120525215210418,1.379796346028646
8192,4096,6,185.61267852783203,1316.0148859024048,609.0113112639946,134.10563206672668,193.71654331684113,0.7225025420158353,3.4488160088658333,3.487567987293005,0.01858071353864275,8.500912051647902,65.77631999924779,0.0457991992738428,73.74422454833984,75.04041630029678,0.397301655971104,0.15295999590307474,0.15406399627681822,0.0008240816150936525,1.3779792785644531
16384,8192,6,384.9371671676636,2580.8714628219604,570.4656455524425,239.39651203155518,242.39476799964905,0.6219106193174727,4.716880019754171,4.734656009823084,0.012253636234870724,7.427184011787176,10.357887990772724,0.019294535953583783,137.6600956916809,139.14619171619415,0.35761705398460925,0.15004799887537956,0.1514719978440553,0.0003897986780009334,1.3754475911458335
