pair_id,request_id,category,source,layer,M,candidate,start,end,rank,wall_ms,expert_ms,dispatch_ms,combine_ms,shape_assignments,shape_active_experts,shape_entropy,shape_hhi,shape_max_expert_load,shape_median_active_load,shape_p10_active_load,shape_tiny_le_1,shape_tiny_le_2,shape_tiny_le_4,shape_rank_imbalance,shape_rank_cv,correctness
0,logo,chart_document,short,0,128,a,8,136,0,2.207568049430847,0.9968640208244324,0.23313600150868297,0.14137601852416992,1024,113,6.352571810940078,0.015848159790039062,44,7.0,2.0,0.07964601769911504,0.1415929203539823,0.3185840707964602,1.2109375,0.16471225501803136,True
0,logo,chart_document,short,0,128,b,144,272,0,1.0562399625778198,0.4695200026035309,0.24511999683454633,0.15433594584465027,1024,122,6.463442793374197,0.014530181884765625,35,6.0,2.0,0.09016393442622951,0.1721311475409836,0.36065573770491804,1.15234375,0.10249720127657755,True
1,logo,chart_document,short,24,128,a,0,128,0,0.9099200069904327,0.433648020029068,0.22804799769073725,0.11787199974060059,1024,109,6.138752641911828,0.018461227416992188,44,5.0,1.0,0.1743119266055046,0.24770642201834864,0.42201834862385323,1.1171875,0.1477936282218173,True
1,logo,chart_document,short,24,128,b,144,272,0,2.1164640188217163,0.9548960328102112,0.22417600406333804,0.15516811609268188,1024,112,6.123932290784343,0.018835067749023438,40,4.5,1.0,0.125,0.3125,0.5,1.265625,0.17260586793191954,True
2,logo,chart_document,short,47,128,a,8,136,0,2.1446239948272705,0.9726399779319763,0.22745600249618292,0.1509760022163391,1024,104,6.256398913384406,0.016241073608398438,48,7.0,2.0,0.07692307692307693,0.125,0.33653846153846156,1.359375,0.26333166709404937,True
2,logo,chart_document,short,47,128,b,136,264,0,0.9268639981746674,0.4352960139513016,0.2237279969267547,0.11760002374649048,1024,107,6.339940681272779,0.014951705932617188,34,8.0,2.0,0.07476635514018691,0.14018691588785046,0.2803738317757009,1.3203125,0.24117732875676767,True
3,histology,fine_grained,short,24,128,a,0,128,0,0.9212639927864075,0.4376959949731827,0.22635200154036283,0.11990401148796082,1024,106,6.014119578720926,0.020677566528320312,53,6.0,1.0,0.18867924528301888,0.27358490566037735,0.44339622641509435,1.28515625,0.22415885524068083,True
3,histology,fine_grained,short,24,128,b,144,272,0,2.1116960048675537,0.9668160378932953,0.21412800392135978,0.16044801473617554,1024,109,6.188186957939259,0.017316818237304688,39,6.0,1.0,0.12844036697247707,0.23853211009174313,0.42201834862385323,1.19921875,0.13093223251636227,True
4,histology,fine_grained,short,47,128,a,0,128,0,0.9423519968986511,0.4439999908208847,0.2225119979120791,0.11849597096443176,1024,101,6.201584349701382,0.0169219970703125,42,7.0,2.0,0.07920792079207921,0.1485148514851485,0.2871287128712871,1.3515625,0.22614117613333656,True
4,histology,fine_grained,short,47,128,b,144,272,0,2.114143967628479,0.957904040813446,0.20998399564996362,0.16174399852752686,1024,108,6.3047366872011175,0.0159149169921875,45,7.0,2.0,0.07407407407407407,0.14814814814814814,0.35185185185185186,1.29296875,0.1861728749186324,True
5,coffee_rocket,multi_image,short,24,128,a,0,128,0,2.1199679374694824,0.9461760222911835,0.2206399985589087,0.16129589080810547,1024,104,6.074960100223375,0.0201568603515625,64,6.0,1.3000000000000007,0.10576923076923077,0.21153846153846154,0.38461538461538464,1.09375,0.05767509007903672,True
5,coffee_rocket,multi_image,short,24,128,b,256,384,0,0.9092319905757904,0.43744000792503357,0.21707199979573488,0.10756799578666687,1024,119,6.279663079391894,0.017688751220703125,53,5.0,1.0,0.11764705882352941,0.24369747899159663,0.42016806722689076,1.0234375,0.014352478961620185,True
6,coffee_rocket,multi_image,short,47,128,a,0,128,0,2.0952959060668945,0.906432032585144,0.21726399892941117,0.225600004196167,1024,112,6.409327911838288,0.014217376708984375,36,7.0,2.0,0.07142857142857142,0.16964285714285715,0.32142857142857145,1.21875,0.15681051805991444,True
6,coffee_rocket,multi_image,short,47,128,b,280,408,0,0.9057919979095459,0.42822401225566864,0.21715199807658792,0.11113601922988892,1024,108,6.343630474147234,0.014711380004882812,35,8.0,1.700000000000001,0.10185185185185185,0.2222222222222222,0.3055555555555556,1.28515625,0.2140076058720665,True
7,model_card,chart_document,short,12,128,a,40,168,0,2.137407898902893,0.9503840208053589,0.22254400420933962,0.16975992918014526,1024,116,6.393832562696121,0.014558792114257812,29,7.0,2.0,0.09482758620689655,0.19827586206896552,0.3706896551724138,1.21484375,0.16533638621147115,True
7,model_card,chart_document,short,12,128,b,472,600,0,0.9324160218238831,0.4373279958963394,0.21980799455195665,0.1395680010318756,1024,114,6.202066570514333,0.018930435180664062,62,6.0,1.0,0.15789473684210525,0.2631578947368421,0.3684210526315789,1.1875,0.1405435962305158,True
8,model_card,chart_document,short,47,128,a,40,168,0,0.9166719913482666,0.41576001048088074,0.22137599671259522,0.12817597389221191,1024,106,6.458679383160174,0.013124465942382812,29,8.0,3.5,0.04716981132075472,0.0660377358490566,0.1792452830188679,1.16796875,0.15311802439468467,True
8,model_card,chart_document,short,47,128,b,456,584,0,2.10372793674469,0.9599199891090393,0.2275519990362227,0.14487987756729126,1024,107,6.144761585542312,0.017879486083984375,38,7.0,1.0,0.11214953271028037,0.308411214953271,0.411214953271028,1.09375,0.058658818037817216,True
9,retina,fine_grained,short,12,128,a,8,136,0,2.106112003326416,0.9535999894142151,0.22156800655648112,0.14966392517089844,1024,90,5.71461925394197,0.02579498291015625,63,5.5,1.0,0.14444444444444443,0.2777777777777778,0.4444444444444444,1.08203125,0.07014955076589051,True
9,retina,fine_grained,short,12,128,b,1824,1952,0,1.082032024860382,0.48665599524974823,0.2502240012399852,0.10729598999023438,1024,109,6.273023091745263,0.016290664672851562,40,7.0,2.0,0.05504587155963303,0.21100917431192662,0.3761467889908257,1.40234375,0.26479073953253635,True
10,retina,fine_grained,short,47,128,a,8,136,0,0.913455992937088,0.4056800305843353,0.20225600292906165,0.12076801061630249,1024,87,5.945235726273145,0.021074295043945312,50,9.0,3.0,0.034482758620689655,0.08045977011494253,0.2988505747126437,1.23828125,0.17958132053082176,True
10,retina,fine_grained,short,47,128,b,1328,1456,0,2.105776071548462,0.9504959583282471,0.21433600084856153,0.15988796949386597,1024,102,6.085755294842333,0.019330978393554688,53,6.0,1.0,0.11764705882352941,0.19607843137254902,0.37254901960784315,1.2734375,0.2131681820256602,True
11,long_10img_chart_mixed,multi_image,long,24,128,a,272,400,0,2.118048071861267,0.9600159525871277,0.21731199976056814,0.16008007526397705,1024,84,5.324644824858997,0.0388031005859375,104,5.0,1.0,0.19047619047619047,0.30952380952380953,0.4642857142857143,1.32421875,0.4093369793890023,True
11,long_10img_chart_mixed,multi_image,long,24,128,b,4912,5040,0,0.9258880019187927,0.4423999935388565,0.21371199563145638,0.12852796912193298,1024,111,6.360390105682566,0.014820098876953125,35,7.0,2.0,0.09009009009009009,0.18018018018018017,0.3063063063063063,1.1171875,0.07271293151947768,True
12,long_12img_broad,multi_image,long,0,128,a,264,392,0,2.1127519607543945,0.9600480198860168,0.21236799750477076,0.16870403289794922,1024,118,6.153204723838304,0.021238327026367188,75,5.0,1.0,0.13559322033898305,0.2627118644067797,0.423728813559322,1.171875,0.12156536187183933,True
12,long_12img_broad,multi_image,long,0,128,b,2296,2424,0,0.9151359796524048,0.4020479917526245,0.21519999811425805,0.10467201471328735,1024,95,5.778263406462317,0.025754928588867188,73,6.0,1.0,0.17894736842105263,0.28421052631578947,0.45263157894736844,1.10546875,0.08373418402432038,True
13,long_6img_natural_fine,multi_image,long,0,128,a,264,392,0,1.0067679584026337,0.4411360025405884,0.26049600308761,0.16331195831298828,1024,118,6.153204723838304,0.021238327026367188,75,5.0,1.0,0.13559322033898305,0.2627118644067797,0.423728813559322,1.171875,0.12156536187183933,True
13,long_6img_natural_fine,multi_image,long,0,128,b,2296,2424,0,3.5902719497680664,0.8357600569725037,0.942543966230005,1.25791996717453,1024,95,5.778263406462317,0.025754928588867188,73,6.0,1.0,0.17894736842105263,0.28421052631578947,0.45263157894736844,1.10546875,0.08373418402432038,True
14,long_6img_natural_fine,multi_image,long,47,128,a,520,648,0,0.9201439917087555,0.4307359904050827,0.21657599974423647,0.10977599024772644,1024,106,6.437010816565411,0.013118743896484375,26,10.0,2.0,0.05660377358490566,0.11320754716981132,0.2358490566037736,1.19921875,0.13769184946886381,True
14,long_6img_natural_fine,multi_image,long,47,128,b,2392,2520,0,2.1378560066223145,0.978655993938446,0.22065600380301476,0.15696001052856445,1024,100,5.861424077322002,0.025651931762695312,64,5.0,2.0,0.09,0.14,0.41,1.34375,0.2506552691743059,True
15,long_8img_mixed,multi_image,long,47,128,a,3184,3312,0,1.3839679956436157,0.43564797937870026,0.4150559976696968,0.33820801973342896,1024,104,5.9365556752103785,0.022489547729492188,49,5.0,1.0,0.11538461538461539,0.25961538461538464,0.49038461538461536,1.1796875,0.16730884177220356,True
15,long_8img_mixed,multi_image,long,47,128,b,6800,6928,0,2.1004639863967896,0.9549600481987,0.2140319999307394,0.1558879017829895,1024,96,6.043237954927708,0.019376754760742188,55,8.0,2.0,0.07291666666666667,0.20833333333333334,0.3645833333333333,1.20703125,0.20241010012549399,True
16,model_card,chart_document,short,0,256,a,8,264,0,2.1183360815048218,0.9460000395774841,0.23382400255650282,0.17479991912841797,2048,127,6.581275032103127,0.012782096862792969,59,13.0,3.6000000000000014,0.047244094488188976,0.08661417322834646,0.11811023622047244,1.123046875,0.07252908057666853,True
16,model_card,chart_document,short,0,256,b,360,616,0,0.9299519956111908,0.46876800060272217,0.22779199574142694,0.11185601353645325,2048,124,6.554528793504284,0.01310873031616211,77,13.0,4.0,0.024193548387096774,0.07258064516129033,0.12096774193548387,1.259765625,0.1677699131978498,True
17,model_card,chart_document,short,12,256,a,0,256,0,2.1207040548324585,0.9432159960269928,0.23248000536113977,0.15980792045593262,2048,126,6.462842710764023,0.01387786865234375,64,11.0,2.0,0.06349206349206349,0.1111111111111111,0.23809523809523808,1.115234375,0.1171142349100001,True
17,model_card,chart_document,short,12,256,b,432,688,0,0.9564799964427948,0.46375998854637146,0.23833599593490362,0.12651199102401733,2048,122,6.303584479533271,0.017840862274169922,116,11.0,3.0,0.04918032786885246,0.09836065573770492,0.1885245901639344,1.134765625,0.09517351867629231,True
18,model_card,chart_document,short,24,256,a,0,256,0,0.9234879910945892,0.46460801362991333,0.22120000096037984,0.1035040020942688,2048,124,6.495080656873402,0.013587474822998047,63,11.5,3.0,0.04032258064516129,0.056451612903225805,0.18548387096774194,1.21875,0.15566908614070685,True
18,model_card,chart_document,short,24,256,b,520,776,0,2.104032039642334,0.9646239876747131,0.22332800226286054,0.15774399042129517,2048,122,6.311519304389812,0.01823568344116211,121,12.0,2.1000000000000014,0.04918032786885246,0.10655737704918032,0.21311475409836064,1.017578125,0.01592725237333993,True
19,model_card,chart_document,short,47,256,a,0,256,0,0.920384019613266,0.45926401019096375,0.22641600109636784,0.1069599986076355,2048,114,6.475970033376648,0.013211727142333984,67,14.5,3.0,0.03508771929824561,0.08771929824561403,0.14035087719298245,1.154296875,0.122074218687502,True
19,model_card,chart_document,short,47,256,b,352,608,0,2.123535990715027,0.953935980796814,0.23876800760626793,0.16040009260177612,2048,111,6.224641713099329,0.01666736602783203,81,12.0,3.0,0.04504504504504504,0.0990990990990991,0.25225225225225223,1.08203125,0.07264732388045816,True
20,retina,fine_grained,short,0,256,a,680,936,0,0.9131359755992889,0.4389919936656952,0.21753599913790822,0.099263995885849,2048,109,5.889106033440727,0.023857593536376953,113,8.0,1.0,0.11926605504587157,0.2018348623853211,0.29357798165137616,1.201171875,0.12023225560591441,True
20,retina,fine_grained,short,0,256,b,1696,1952,0,2.1137280464172363,0.9535359740257263,0.229135999456048,0.16521596908569336,2048,119,6.081176451630542,0.019939422607421875,84,9.0,2.0,0.09243697478991597,0.20168067226890757,0.36134453781512604,1.255859375,0.1707281517695328,True
21,retina,fine_grained,short,24,256,a,8,264,0,2.149456024169922,0.9257439970970154,0.24860800337046385,0.19910401105880737,2048,107,6.088279691240211,0.019098758697509766,92,12.0,2.0,0.056074766355140186,0.11214953271028037,0.2336448598130841,1.40625,0.23915614868145965,True
21,retina,fine_grained,short,24,256,b,792,1048,0,1.4235360026359558,0.46452799439430237,0.4364319988526404,0.3891679644584656,2048,121,6.279837583747513,0.01717519760131836,94,11.0,1.0,0.10743801652892562,0.15702479338842976,0.2231404958677686,1.18359375,0.11367623756662906,True
22,retina,fine_grained,short,36,256,a,8,264,0,0.9306240081787109,0.4593759775161743,0.23356799548491836,0.11406400799751282,2048,115,6.270286688870978,0.016646862030029297,107,13.0,2.0,0.08695652173913043,0.14782608695652175,0.2,1.310546875,0.1963886369016842,True
22,retina,fine_grained,short,36,256,b,912,1168,0,2.1236159801483154,0.9679680168628693,0.23219200409948826,0.1571040153503418,2048,122,6.460225246554129,0.013959407806396484,70,13.0,3.0,0.04918032786885246,0.07377049180327869,0.20491803278688525,1.1640625,0.14408847930408614,True
23,retina,fine_grained,short,47,256,a,0,256,0,2.1450560092926025,0.9550560116767883,0.24168000416830182,0.1666080355644226,2048,106,6.266748038954252,0.015467166900634766,65,15.0,2.0,0.07547169811320754,0.12264150943396226,0.16037735849056603,1.109375,0.10482478463432593,True
23,retina,fine_grained,short,47,256,b,1256,1512,0,0.9184160232543945,0.4615040123462677,0.22628800012171268,0.09833601117134094,2048,107,6.1874281660276775,0.018109798431396484,112,13.0,3.0,0.037383177570093455,0.07476635514018691,0.18691588785046728,1.21875,0.1970769905645023,True
24,long_10img_chart_mixed,multi_image,long,24,256,a,224,480,0,0.876479983329773,0.4691680073738098,0.21291200490668416,0.07047998905181885,2048,101,5.512305261904425,0.0350651741027832,198,8.0,2.0,0.09900990099009901,0.2376237623762376,0.33663366336633666,1.322265625,0.39988773677917056,True
24,long_10img_chart_mixed,multi_image,long,24,256,b,4800,5056,0,2.199855923652649,0.9718080163002014,0.24748800555244088,0.2017919421195984,2048,122,6.445788353991129,0.013822555541992188,55,12.5,2.0,0.07377049180327869,0.11475409836065574,0.22131147540983606,1.03515625,0.021705186299700068,True
25,long_10img_chart_mixed,multi_image,long,47,256,a,224,480,0,0.8872320055961609,0.4574879854917526,0.21236799331381917,0.08284801244735718,2048,105,6.103324496701892,0.019596099853515625,120,12.0,3.0,0.06666666666666667,0.08571428571428572,0.17142857142857143,1.236328125,0.36037934979245956,True
25,long_10img_chart_mixed,multi_image,long,47,256,b,3960,4216,0,2.063423991203308,0.9325119853019714,0.21275200322270393,0.15355199575424194,2048,113,6.476747667413084,0.012944221496582031,52,16.0,4.0,0.02654867256637168,0.05309734513274336,0.13274336283185842,1.201171875,0.16458482701392352,True
26,long_12img_broad,multi_image,long,24,256,a,2680,2936,0,0.8951040208339691,0.46537601947784424,0.2168639968149364,0.07782396674156189,2048,120,6.379199611245216,0.014632225036621094,59,12.0,2.0,0.08333333333333333,0.13333333333333333,0.21666666666666667,1.16015625,0.1724455639736195,True
26,long_12img_broad,multi_image,long,24,256,b,4832,5088,0,2.074687957763672,0.9382079839706421,0.2192479968070984,0.15508794784545898,2048,112,5.932936139883983,0.02533864974975586,176,11.0,2.0,0.08928571428571429,0.19642857142857142,0.2857142857142857,1.099609375,0.12736561593330561,True
27,long_12img_broad,multi_image,long,47,256,a,2344,2600,0,0.8992320001125336,0.45451198518276215,0.21801599580794573,0.09264001250267029,2048,106,5.93882752986742,0.023958206176757812,113,11.0,2.5,0.0660377358490566,0.10377358490566038,0.1792452830188679,1.38671875,0.27238567228797744,True
27,long_12img_broad,multi_image,long,47,256,b,7648,7904,0,2.0935360193252563,0.9447999894618988,0.2196000050753355,0.17059189081192017,2048,112,6.464453687689616,0.012882232666015625,49,15.5,3.1000000000000014,0.05357142857142857,0.08035714285714286,0.13392857142857142,1.134765625,0.10577573956289847,True
28,long_6img_natural_fine,multi_image,long,0,256,a,104,360,0,0.8838079869747162,0.4566720277070999,0.2091200016438961,0.09319999814033508,2048,128,6.655097121209656,0.012141227722167969,73,13.0,4.700000000000001,0.015625,0.03125,0.1015625,1.103515625,0.0828870905231365,True
28,long_6img_natural_fine,multi_image,long,0,256,b,2272,2528,0,2.0606240034103394,0.9408959448337555,0.20534399943426251,0.1544319987297058,2048,106,5.89620002696164,0.023471832275390625,136,10.0,2.0,0.08490566037735849,0.19811320754716982,0.32075471698113206,1.119140625,0.10409441667547695,True
