task_id,request_id,source,layer,budget,rank,interval,expert_ms,wall_ms,dispatch_ms,combine_ms,expert_cv
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(256, 288)",0.5375361442565918,3.6785600120201707,2.024863975122571,0.1439037322998047,0.053159351279523405
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(495, 511)",0.40598416328430176,0.7709121704101562,0.09779214859008789,0.0698237419128418,0.03934555767474421
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(416, 495)",0.9912958145141602,1.4151039123535156,0.09641599655151367,0.11686420440673828,0.6130737410731364
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(0, 128)",0.4287996292114258,0.8084158897399902,0.11129570007324219,0.11027193069458008,0.0158483147939172
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(160, 224)",0.3774394989013672,0.7303037643432617,0.09078407287597656,0.08723163604736328,0.0432185774835098
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(400, 416)",0.3581123352050781,0.7054719924926758,0.08985614776611328,0.08707141876220703,0.03637004401216713
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(32, 160)",0.3880643844604492,1.0504636764526367,0.10150432586669922,0.4364156723022461,0.011770977748315127
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(384, 511)",0.4025592803955078,0.7570562362670898,0.09910392761230469,0.13987207412719727,0.034932978644211805
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(0, 96)",0.37497615814208984,0.7264642715454102,0.08934402465820312,0.11750411987304688,0.018163121165192163
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(0, 112)",0.3765125274658203,0.7185287475585938,0.09283161163330078,0.1175680160522461,0.04104726756577483
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(160, 288)",0.383392333984375,0.671295166015625,0.09964752197265625,0.08092784881591797,0.02495976762604323
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(128, 224)",0.35523223876953125,0.705439567565918,0.09040069580078125,0.10521602630615234,0.05213497616258415
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(224, 352)",0.4015045166015625,0.6997756958007812,0.09430408477783203,0.09103965759277344,0.04817579845554562
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(368, 495)",0.3798398971557617,0.6776313781738281,0.08963203430175781,0.10028839111328125,0.01873016773423175
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(96, 128)",0.7794561386108398,1.1434879302978516,0.08108806610107422,0.08816051483154297,0.24368231559639267
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(96, 224)",0.4165763854980469,0.8044795989990234,0.11110401153564453,0.08172798156738281,0.03833408338049253
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(128, 256)",0.3900156021118164,0.9287376403808594,0.09424018859863281,0.32137489318847656,0.010814455623572007
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(272, 288)",0.3716163635253906,0.747776985168457,0.09971237182617188,0.1129608154296875,0.04490087650807634
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(144, 224)",0.6920318603515625,1.064096450805664,0.09446334838867188,0.078399658203125,0.02172593065186732
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(112, 160)",0.3979530334472656,0.914337158203125,0.11347198486328125,0.20572853088378906,0.04538903219331936
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(288, 384)",0.37865447998046875,1.000478744506836,0.10428810119628906,0.39638328552246094,0.0349387106123439
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(272, 368)",0.3788795471191406,0.7532157897949219,0.10511970520019531,0.1551361083984375,0.05077360577635577
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(96, 144)",0.6776962280273438,1.0603523254394531,0.08329582214355469,0.11955070495605469,1.774392755877771
coffee_rocket:0:128,coffee_rocket,short,0,128,0,"(272, 352)",0.42668914794921875,0.7885780334472656,0.1089630126953125,0.09734344482421875,0.04985327734146262
