source,budget,strategy,tasks,expert_ms_median,expert_reduction_vs_fixed_median,expert_positive_fraction,chunks_median,size_cv_median,correctness_all
short,128,fixed,12,0.39099207520484924,0.0,0.0,11.5,0.15198928116035149,True
short,128,balanced,12,0.3888399600982666,0.009124794256153423,0.75,11.5,0.0038340916993247556,True
short,128,tile_same_count,12,0.39193981885910034,1.0834129319681196e-05,0.5,11.5,0.15010667869084793,True
short,128,true_gpu,12,0.3893521726131439,0.002784123696698171,0.6666666666666666,11.5,0.10917844784457764,True
short,256,fixed,12,0.4357439875602722,0.0,0.0,6.0,0.18656627885403204,True
short,256,balanced,12,0.4269360452890396,0.0040361552040451,0.6666666666666666,6.0,0.001967994109115049,True
short,256,tile_same_count,12,0.4297959804534912,0.0013734714690222805,0.6666666666666666,6.0,0.1834927224005784,True
short,256,true_gpu,12,0.4310799688100815,0.004534933398040564,0.6666666666666666,6.0,0.15365383344251865,True
