pair_id,request_id,category,source,layer,M,candidate,assignments,active_experts,entropy,hhi,max_expert_load,median_active_load,p10_active_load,tiny_le_1,tiny_le_2,tiny_le_4,rank_imbalance,rank_cv,start,end
0,logo,chart_document,short,0,128,a,1024,113,6.352571810940078,0.015848159790039062,44,7.0,2.0,0.07964601769911504,0.1415929203539823,0.3185840707964602,1.2109375,0.16471225501803136,8,136
0,logo,chart_document,short,0,128,b,1024,122,6.463442793374197,0.014530181884765625,35,6.0,2.0,0.09016393442622951,0.1721311475409836,0.36065573770491804,1.15234375,0.10249720127657755,144,272
1,logo,chart_document,short,24,128,a,1024,109,6.138752641911828,0.018461227416992188,44,5.0,1.0,0.1743119266055046,0.24770642201834864,0.42201834862385323,1.1171875,0.1477936282218173,0,128
1,logo,chart_document,short,24,128,b,1024,112,6.123932290784343,0.018835067749023438,40,4.5,1.0,0.125,0.3125,0.5,1.265625,0.17260586793191954,144,272
2,logo,chart_document,short,47,128,a,1024,104,6.256398913384406,0.016241073608398438,48,7.0,2.0,0.07692307692307693,0.125,0.33653846153846156,1.359375,0.26333166709404937,8,136
2,logo,chart_document,short,47,128,b,1024,107,6.339940681272779,0.014951705932617188,34,8.0,2.0,0.07476635514018691,0.14018691588785046,0.2803738317757009,1.3203125,0.24117732875676767,136,264
3,histology,fine_grained,short,24,128,a,1024,106,6.014119578720926,0.020677566528320312,53,6.0,1.0,0.18867924528301888,0.27358490566037735,0.44339622641509435,1.28515625,0.22415885524068083,0,128
3,histology,fine_grained,short,24,128,b,1024,109,6.188186957939259,0.017316818237304688,39,6.0,1.0,0.12844036697247707,0.23853211009174313,0.42201834862385323,1.19921875,0.13093223251636227,144,272
4,histology,fine_grained,short,47,128,a,1024,101,6.201584349701382,0.0169219970703125,42,7.0,2.0,0.07920792079207921,0.1485148514851485,0.2871287128712871,1.3515625,0.22614117613333656,0,128
4,histology,fine_grained,short,47,128,b,1024,108,6.3047366872011175,0.0159149169921875,45,7.0,2.0,0.07407407407407407,0.14814814814814814,0.35185185185185186,1.29296875,0.1861728749186324,144,272
5,coffee_rocket,multi_image,short,24,128,a,1024,104,6.074960100223375,0.0201568603515625,64,6.0,1.3000000000000007,0.10576923076923077,0.21153846153846154,0.38461538461538464,1.09375,0.05767509007903672,0,128
5,coffee_rocket,multi_image,short,24,128,b,1024,119,6.279663079391894,0.017688751220703125,53,5.0,1.0,0.11764705882352941,0.24369747899159663,0.42016806722689076,1.0234375,0.014352478961620185,256,384
6,coffee_rocket,multi_image,short,47,128,a,1024,112,6.409327911838288,0.014217376708984375,36,7.0,2.0,0.07142857142857142,0.16964285714285715,0.32142857142857145,1.21875,0.15681051805991444,0,128
6,coffee_rocket,multi_image,short,47,128,b,1024,108,6.343630474147234,0.014711380004882812,35,8.0,1.700000000000001,0.10185185185185185,0.2222222222222222,0.3055555555555556,1.28515625,0.2140076058720665,280,408
7,model_card,chart_document,short,12,128,a,1024,116,6.393832562696121,0.014558792114257812,29,7.0,2.0,0.09482758620689655,0.19827586206896552,0.3706896551724138,1.21484375,0.16533638621147115,40,168
7,model_card,chart_document,short,12,128,b,1024,114,6.202066570514333,0.018930435180664062,62,6.0,1.0,0.15789473684210525,0.2631578947368421,0.3684210526315789,1.1875,0.1405435962305158,472,600
8,model_card,chart_document,short,47,128,a,1024,106,6.458679383160174,0.013124465942382812,29,8.0,3.5,0.04716981132075472,0.0660377358490566,0.1792452830188679,1.16796875,0.15311802439468467,40,168
8,model_card,chart_document,short,47,128,b,1024,107,6.144761585542312,0.017879486083984375,38,7.0,1.0,0.11214953271028037,0.308411214953271,0.411214953271028,1.09375,0.058658818037817216,456,584
9,retina,fine_grained,short,12,128,a,1024,90,5.71461925394197,0.02579498291015625,63,5.5,1.0,0.14444444444444443,0.2777777777777778,0.4444444444444444,1.08203125,0.07014955076589051,8,136
9,retina,fine_grained,short,12,128,b,1024,109,6.273023091745263,0.016290664672851562,40,7.0,2.0,0.05504587155963303,0.21100917431192662,0.3761467889908257,1.40234375,0.26479073953253635,1824,1952
10,retina,fine_grained,short,47,128,a,1024,87,5.945235726273145,0.021074295043945312,50,9.0,3.0,0.034482758620689655,0.08045977011494253,0.2988505747126437,1.23828125,0.17958132053082176,8,136
10,retina,fine_grained,short,47,128,b,1024,102,6.085755294842333,0.019330978393554688,53,6.0,1.0,0.11764705882352941,0.19607843137254902,0.37254901960784315,1.2734375,0.2131681820256602,1328,1456
11,long_10img_chart_mixed,multi_image,long,24,128,a,1024,84,5.324644824858997,0.0388031005859375,104,5.0,1.0,0.19047619047619047,0.30952380952380953,0.4642857142857143,1.32421875,0.4093369793890023,272,400
11,long_10img_chart_mixed,multi_image,long,24,128,b,1024,111,6.360390105682566,0.014820098876953125,35,7.0,2.0,0.09009009009009009,0.18018018018018017,0.3063063063063063,1.1171875,0.07271293151947768,4912,5040
12,long_12img_broad,multi_image,long,0,128,a,1024,118,6.153204723838304,0.021238327026367188,75,5.0,1.0,0.13559322033898305,0.2627118644067797,0.423728813559322,1.171875,0.12156536187183933,264,392
12,long_12img_broad,multi_image,long,0,128,b,1024,95,5.778263406462317,0.025754928588867188,73,6.0,1.0,0.17894736842105263,0.28421052631578947,0.45263157894736844,1.10546875,0.08373418402432038,2296,2424
13,long_6img_natural_fine,multi_image,long,0,128,a,1024,118,6.153204723838304,0.021238327026367188,75,5.0,1.0,0.13559322033898305,0.2627118644067797,0.423728813559322,1.171875,0.12156536187183933,264,392
13,long_6img_natural_fine,multi_image,long,0,128,b,1024,95,5.778263406462317,0.025754928588867188,73,6.0,1.0,0.17894736842105263,0.28421052631578947,0.45263157894736844,1.10546875,0.08373418402432038,2296,2424
14,long_6img_natural_fine,multi_image,long,47,128,a,1024,106,6.437010816565411,0.013118743896484375,26,10.0,2.0,0.05660377358490566,0.11320754716981132,0.2358490566037736,1.19921875,0.13769184946886381,520,648
14,long_6img_natural_fine,multi_image,long,47,128,b,1024,100,5.861424077322002,0.025651931762695312,64,5.0,2.0,0.09,0.14,0.41,1.34375,0.2506552691743059,2392,2520
15,long_8img_mixed,multi_image,long,47,128,a,1024,104,5.9365556752103785,0.022489547729492188,49,5.0,1.0,0.11538461538461539,0.25961538461538464,0.49038461538461536,1.1796875,0.16730884177220356,3184,3312
15,long_8img_mixed,multi_image,long,47,128,b,1024,96,6.043237954927708,0.019376754760742188,55,8.0,2.0,0.07291666666666667,0.20833333333333334,0.3645833333333333,1.20703125,0.20241010012549399,6800,6928
