pair_id,request_id,source,category,layer,M,wall_a_ms,wall_b_ms,wall_abs_gap_pct,expert_a_ms,expert_b_ms,expert_abs_gap_pct,dispatch_a_ms,dispatch_b_ms,dispatch_abs_gap_pct,combine_a_ms,combine_b_ms,combine_abs_gap_pct,shape_score,delta_active_experts,delta_entropy,delta_hhi,delta_max_expert_load,delta_p10_active_load,delta_median_active_load,delta_tiny_le_1,delta_tiny_le_2,delta_tiny_le_4,delta_rank_imbalance,delta_rank_cv
0,logo,short,chart_document,0,128,2.207568049430847,2.1561919450759888,2.3827240646262497,1.0806560218334198,0.9953440427780151,8.571104601912127,0.24259200040251017,0.24511999683454633,1.0420774089177276,0.19158399105072021,0.1743680238723755,9.873351085830704,,9.0,0.11087098243411919,-0.0013179779052734375,-9.0,0.0,-1.0,0.010517916727114468,0.030538227187001304,0.04207166690845787,-0.05859375,-0.06221505374145381
1,logo,short,chart_document,24,128,0.9099200069904327,2.1164640188217163,132.5989100758359,0.43959997594356537,0.971919983625412,121.09191010287599,0.22804799769073725,0.22417600406333804,1.727211457612218,0.11787199974060059,0.1748000979423523,48.296540592365155,,3.0,-0.014820351127484699,0.00037384033203125,-4.0,0.0,-0.5,-0.0493119266055046,0.06479357798165136,0.07798165137614677,0.1484375,0.02481223971010224
2,logo,short,chart_document,47,128,2.1446239948272705,2.0945279598236084,2.391757759484909,0.9726399779319763,1.0117119550704956,4.01710581767305,0.22745600249618292,0.2237279969267547,1.6663116018728314,0.1509760022163391,0.18446403741836548,22.18103189276407,,3.0,0.08354176788837275,-0.00128936767578125,-14.0,0.0,1.0,-0.002156721782890017,0.015186915887850455,-0.056164629762760654,-0.0390625,-0.022154338337281698
3,histology,short,fine_grained,24,128,2.06825590133667,2.1116960048675537,2.1003253757336977,0.9391040205955505,0.9668160378932953,2.9508996543503936,0.22635200154036283,0.21412800392135978,5.708733745770319,0.17931199073791504,0.16044801473617554,11.757064138660434,,3.0,0.17406737921833315,-0.003360748291015625,-14.0,0.0,0.0,-0.06023887831054181,-0.03505279556863422,-0.021377877791241118,-0.0859375,-0.09322662272431856
4,histology,short,fine_grained,47,128,2.060544013977051,2.114143967628479,2.601252547281195,0.9842239916324615,0.974431961774826,1.0048962104855774,0.2225119979120791,0.20998399564996362,5.9661700518354,0.13705593347549438,0.16174399852752686,18.013131154549175,,7.0,0.1031523374997354,-0.001007080078125,3.0,0.0,0.0,-0.005133846718005139,-0.00036670333700036806,0.06472313898056475,-0.05859375,-0.039968301214704155
5,coffee_rocket,short,multi_image,24,128,2.1199679374694824,2.090127944946289,1.4276634401900297,0.9461760222911835,1.0006079971790314,5.752838119490686,0.2206399985589087,0.21707199979573488,1.6436936898961227,0.16129589080810547,0.16857600212097168,4.513513193914776,,15.0,0.20470297916851887,-0.002468109130859375,-11.0,-0.3000000000000007,-1.0,0.011877828054298642,0.0321590174531351,0.035552682611506126,-0.0703125,-0.04332261111741653
6,coffee_rocket,short,multi_image,47,128,2.0952959060668945,2.067328095436096,1.3528481856624999,0.9387359917163849,0.9753439724445343,3.8997099345488375,0.21726399892941117,0.21715199807658792,0.05157716890256546,0.225600004196167,0.1611999273300171,39.95043790206346,,-4.0,-0.06569743769105418,0.0004940032958984375,-1.0,-0.29999999999999893,1.0,0.03042328042328042,0.05257936507936506,-0.015873015873015872,0.06640625,0.05719708781215205
7,model_card,short,chart_document,12,128,2.137407898902893,2.0924479961395264,2.148674798433018,0.9783840179443359,0.9911519885063171,1.3050060434151143,0.22254400420933962,0.21980799455195665,1.244727091459927,0.19068795442581177,0.17564797401428223,8.56256981951105,,-2.0,-0.19176599218178847,0.00437164306640625,33.0,-1.0,-1.0,0.06306715063520871,0.06488203266787657,-0.0022686025408348853,-0.02734375,-0.024792789980955354
8,model_card,short,chart_document,47,128,2.0616480112075806,2.10372793674469,2.041081955229674,0.9333600103855133,0.9599199891090393,2.8456306706943355,0.22137599671259522,0.2275519990362227,2.7898247395111953,0.16183990240097046,0.14487987756729126,11.706266679996265,,1.0,-0.31391779761786154,0.0047550201416015625,9.0,-2.5,-1.0,0.06497972138952565,0.24237347910421442,0.23196967025216012,-0.07421875,-0.09445920635686744
9,retina,short,fine_grained,12,128,2.106112003326416,2.071695923805237,1.6612514957293851,0.9909599721431732,0.9631200134754181,2.890601200082495,0.2216639993712306,0.28995199501514435,30.80698527393652,0.14966392517089844,0.22478395700454712,50.192477410886106,,19.0,0.5584038378032936,-0.009504318237304688,-23.0,1.0,1.5,-0.0893985728848114,-0.06676860346585117,-0.06829765545361871,0.3203125,0.19464118876664582
