M,pairs,expert_gap_median_pct,expert_gap_p25_pct,expert_gap_p75_pct,wall_gap_median_pct,dispatch_gap_median_pct,combine_gap_median_pct,expert_gap_ge_5_fraction,expert_gap_ge_10_fraction
128,16,3.958407876110944,2.8793585677354554,19.48351559583151,2.1245000870833577,1.8055392910652075,17.543783541299145,0.4375,0.25
256,16,8.694136511543553,1.5112198496930902,10.09181648415088,1.3958164889381983,2.2027191711268066,14.18399574860101,0.625,0.25
512,8,8.776965133114146,7.5695661446811195,10.201293653055322,0.3767609758109819,1.7791834606590744,16.88138053672834,0.75,0.25
