phase,stage,logical_layer_invocations,median_critical_ms,p95_critical_ms,sum_critical_ms,share_of_observed_block_sum
all,prepare_attn,2528,0.19244800508022308,0.22086079791188243,487.97276847064495,0.07834092086246837
all,attention,2528,0.61980801820755,0.7488272070884705,1705.6123527288437,0.2738252029226032
all,prepare_mlp,2528,0.23712000250816345,0.41433760076761256,684.5449279695749,0.10989932941738464
all,mlp,2528,1.313599944114685,1.5060352206230163,3335.576418220997,0.5355055550119014
all,postprocess,2528,0.003008000086992979,0.013140799803659323,15.129792108433321,0.0024289917856423916
all,block_critical_sum_ms,2528,2.3759519712766632,2.89909758574795,6228.836259498494,1.0
early,prepare_attn,160,0.1955839991569519,0.21789440438151358,31.582079991698265,0.06721417415322993
early,attention,160,0.6360960006713867,1.8300832152366637,171.09497624635696,0.3641307834439116
early,prepare_mlp,160,0.258543998003006,0.4622127905488012,48.67539218068123,0.1035928060428279
early,mlp,160,1.3964319825172424,1.5338863968849181,217.95145624876022,0.4638525119658054
early,postprocess,160,0.002976000076159835,0.008553599612787307,0.5684160084929317,0.0012097243942251602
early,block_critical_sum_ms,160,2.5040800381684676,3.9046399885206484,469.8723206759896,1.0
middle,prepare_attn,992,0.19364800304174423,0.2310048013925552,195.35004813969135,0.0797193594447641
middle,attention,992,0.618800014257431,0.7038000136613846,639.9461445212364,0.26115220961654795
middle,prepare_mlp,992,0.23764800280332565,0.4255920112133025,271.1257278621197,0.11064225251026223
middle,mlp,992,1.3553119897842407,1.5222320199012755,1339.5841615200043,0.5466637571666323
middle,postprocess,992,0.002976000076159835,0.012671999633312225,4.465792044764385,0.0018224212617934119
middle,block_critical_sum_ms,992,2.4140960122458637,2.73695196439512,2450.471874087816,1.0
late,prepare_attn,1376,0.190528005361557,0.21698400005698204,261.04064033925533,0.07890018631801932
late,attention,1376,0.6193280220031738,0.6924159824848175,894.5712319612503,0.2703863918842396
late,prepare_mlp,1376,0.23521599918603897,0.3832479938864708,364.743807926774,0.11024472804834225
late,mlp,1376,1.255791962146759,1.4701280295848846,1778.0408004522324,0.5374172782230371
late,postprocess,1376,0.0030720001086592674,0.013504000380635262,10.095584055176005,0.00305141552636173
late,block_critical_sum_ms,1376,2.317215992952697,2.6428639691439457,3308.492064734688,1.0
