request_id,iteration,selected_sequences,block_starts,physical_rows,live_positions_before,accepted_positions,live_to_physical_ratio,accepted_per_forward,phase
measured_16,35,15,"[128,128,128,128,128,128,128,128,128,128,128,128,128,128,128]",480,288,37,0.6,37,middle
measured_16,36,14,"[128,128,128,128,128,128,128,128,128,128,128,128,128,128]",448,251,40,0.5602678571428571,40,middle
measured_16,37,13,"[128,128,128,128,128,128,128,128,128,128,128,128,128]",416,211,33,0.5072115384615384,33,middle
measured_16,38,13,"[128,128,128,128,128,128,128,128,128,128,128,128,128]",416,178,31,0.42788461538461536,31,middle
measured_16,39,12,"[128,128,128,128,128,128,128,128,128,128,128,128]",384,147,25,0.3828125,25,middle
measured_16,40,11,"[128,128,128,128,128,128,128,128,128,128,128]",352,122,14,0.3465909090909091,14,middle
measured_16,41,10,"[128,128,128,128,128,128,128,128,128,128]",320,108,16,0.3375,16,middle
measured_16,42,10,"[128,128,128,128,128,128,128,128,128,128]",320,92,18,0.2875,18,late
measured_16,43,10,"[128,128,128,128,128,128,128,128,128,128]",320,74,14,0.23125,14,late
measured_16,44,8,"[128,128,128,128,128,128,128,128]",256,60,15,0.234375,15,late
measured_16,45,7,"[128,128,128,128,128,128,128]",224,45,7,0.20089285714285715,7,late
measured_16,46,7,"[128,128,128,128,128,128,128]",224,38,8,0.16964285714285715,8,late
measured_16,47,5,"[128,128,128,128,128]",160,30,7,0.1875,7,late
measured_16,48,5,"[128,128,128,128,128]",160,23,12,0.14375,12,late
measured_16,49,5,"[128,128,128,128,128]",160,11,7,0.06875,7,late
measured_16,50,4,"[128,128,128,128]",128,4,2,0.03125,2,late
measured_16,51,1,[128],32,2,1,0.0625,1,late
measured_16,52,1,[128],32,1,1,0.03125,1,late
measured_16,53,1,[128],32,0,0,0.0,0,late
